may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,186,201,231,307,240,343,363,345,213,301,216,159,108,114,82,64,71,67,46,78,110,117,156,166
02,192,225,202,231,315,427,466,324,335,255,222,163,146,89,74,75,70,64,66,71,90,105,150,149
03,189,212,223,213,259,255,288,293,358,177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,-1,-1,-1,-1,-1,-1,-1,-1,168,207,221,141,122,198,41,84,54,57,52,79,99,139,159,150
13,166,221,197,186,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,56,88,100,141,148
14,154,193,226,-1,83,261,291,284,275,250,192,166,124,104,61,57,84,83,97,87,111,137,172,185
15,200,252,274,249,275,271,275,286,264,195,129,95,66,64,34,37,38,41,40,32,63,56,93,96
16,113,129,141,171,154,163,180,182,244,166,146,107,58,62,45,57,55,45,-1,-1,-1,-1,-1,0
17,37,203,226,209,270,259,276,295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,1,-1,-1,-1,0
19,1,-1,-1,1,191,246,257,262,275,237,173,102,88,67,67,60,57,81,55,56,74,85,102,119
20,136,159,146,133,210,279,283,256,275,286,223,190,131,103,86,84,77,81,62,88,93,130,140,186
21,179,238,245,234,234,284,275,331,304,275,239,152,109,87,111,126,80,73,93,127,123,130,156,177
22,230,226,256,251,251,299,302,289,269,329,198,156,151,124,117,82,74,84,68,74,112,137,170,199
23,234,253,248,226,302,283,302,318,328,312,198,151,92,75,150,199,82,190,150,181,100,115,147,192
24,192,219,227,242,272,247,271,269,263,313,261,201,150,78,376,230,110,-1,-1,-1,-1,-1,-1,0
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,191,281,341,222,273,292,79,67,82,102,138,152,140,165,176
26,206,211,256,236,274,221,271,274,271,573,297,623,525,68,104,159,121,124,124,127,162,162,217,263
27,280,327,318,327,403,385,397,414,458,506,107,462,500,172,227,600,318,553,158,175,323,706,400,314
28,251,296,319,348,350,273,291,317,315,305,199,135,344,148,72,60,85,67,89,81,73,121,131,180
29,188,186,190,233,211,211,276,286,272,269,200,132,84,129,72,63,70,74,66,84,87,130,151,178
30,227,229,230,235,257,322,311,326,295,247,194,150,223,165,216,44,152,66,47,80,97,120,178,181
31,229,234,251,235,293,283,335,324,294,273,181,165,204,181,303,190,38,-1,-1,-1,-1,-1,-1,0
