apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,115,134,134,152,122,139,150,135,146,153,168,206,152,53,24,28,37,23,30,47,50,70,63,120
02,114,165,166,137,168,166,179,179,191,93,222,184,166,116,94,66,20,10,47,57,74,125,132,150
03,126,154,143,154,145,196,183,170,206,202,238,249,157,140,76,68,52,60,55,36,59,90,104,131
04,123,149,114,110,151,177,195,198,0,210,246,308,189,138,84,25,61,48,32,37,72,-1,0,127
05,174,204,218,196,207,234,256,96,214,267,275,278,185,165,117,79,22,48,66,48,89,87,137,161
06,229,287,239,227,208,212,235,205,221,187,279,291,163,138,106,64,25,23,59,59,32,74,150,180
07,185,224,203,204,209,222,209,198,221,193,200,-1,-1,158,109,36,36,15,-1,0,42,-1,95,107
08,159,176,142,150,160,180,155,163,128,159,192,175,117,31,77,45,37,26,31,60,63,86,112,117
09,122,146,165,161,130,169,201,184,112,136,173,146,99,90,73,46,32,34,35,28,-1,0,41,12
10,106,135,112,155,126,153,189,121,138,172,163,147,112,98,69,42,51,53,36,31,44,-1,42,42
11,109,115,135,152,162,137,193,164,183,188,174,163,168,119,79,52,22,32,44,38,61,74,51,89
12,126,128,143,132,129,163,176,119,126,175,196,190,131,88,60,43,35,36,47,35,55,55,99,128
13,116,146,195,172,154,182,186,110,148,174,187,210,133,123,71,30,42,27,33,50,54,78,77,134
14,118,113,120,117,113,121,116,117,-1,-1,-1,105,210,186,94,73,37,32,21,15,15,42,64,86
15,142,151,167,133,128,126,141,150,163,162,204,232,127,82,94,37,37,32,20,23,20,37,25,77
16,136,143,171,187,174,164,153,79,52,107,152,181,75,175,121,67,36,17,28,12,10,25,49,64
17,99,121,142,136,162,159,164,105,112,-1,172,189,210,172,124,43,52,14,13,10,21,54,52,0
18,81,56,55,52,72,111,98,92,74,74,94,93,82,48,67,20,16,21,22,14,27,33,61,51
19,52,43,55,63,88,120,104,72,97,57,57,113,94,58,61,25,17,14,10,15,43,56,104,200
20,205,204,258,323,276,334,291,300,97,176,318,314,280,241,118,52,42,27,36,28,56,75,99,111
21,171,201,166,202,205,219,237,183,184,324,158,257,137,107,90,55,26,33,32,28,34,57,92,121
22,159,167,177,171,193,198,213,213,227,253,296,303,210,106,100,66,53,21,29,44,57,57,147,143
23,166,204,218,230,217,313,267,160,151,295,210,442,358,399,178,63,51,19,32,61,23,94,162,221
24,315,313,325,327,346,366,251,288,410,503,434,470,378,299,276,39,54,29,21,22,57,90,103,171
25,245,303,269,260,330,322,202,294,410,377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,146,190
26,206,353,268,281,256,338,312,204,293,295,291,299,274,184,167,80,44,45,26,23,29,54,69,130
27,133,218,190,192,204,267,276,228,233,267,276,316,288,260,198,66,41,39,19,21,30,34,93,140
28,189,208,215,190,203,178,206,123,247,238,306,270,177,125,90,60,39,32,27,21,31,30,46,63
29,73,81,88,86,79,150,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
[E]n&gt;`s,I}lel`z`fg'o0'jf',b
