Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,26,46
2,18,31,38,23,15,29,38,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,32,23
3,13,31,24,19,27,29,37,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,34,20
4,18,29,21,14,25,29,42,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,21,27
5,23,13,27,29,45,26,37,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,30,32
6,26,11,27,20,24,32,47,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,22,40
7,25,17,24,20,12,26,47,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,30,33
8,10,21,22,15,33,26,33,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,20,32
9,11,23,34,26,21,18,22,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,24,23
10,20,25,16,14,21,30,19,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,23,26
11,7,19,14,13,14,5,16,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,14,17
12,8,23,22,27,14,29,31,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,26,20
13,8,10,18,15,26,26,36,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,28,21
14,15,18,20,13,15,15,38,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,24,16
15,6,18,13,23,24,277,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,17,14
16,24,30,34,21,22,50,36,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,14,21
17,23,19,25,25,17,30,58,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,16,24
18,25,21,16,24,23,26,40,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,30,23
19,17,26,27,14,27,63,37,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,29,27
20,11,27,58,21,27,27,40,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,22,11
21,24,21,29,17,20,45,46,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,29,20
22,15,18,14,18,24,34,49,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,31,27
23,22,20,29,26,16,25,37,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,30,19
24,12,20,23,25,19,36,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,14,30
25,18,19,24,17,26,44,34,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,27,20
26,13,10,22,21,15,27,33,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,31,25
27,18,20,24,30,25,45,79,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,34,28
28,20,16,10,13,24,19,34,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,15,25
29,18,17,21,17,23,28,35,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,22,36
30,17,17,23,26,29,39,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,23,28,11
31,21,21,14,22,28,45,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,21,20,17
