Jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,6,141,72,130,138,179,168,138,208,100,171,225,107,169,155,40,5,48
2,3,83,157,131,120,56,105,64,70,155,124,49,44,25,39,35,32,64,20,12,28,12,43,4
3,-1,5,10,1,5,3,93,111,137,117,141,80,95,96,84,68,118,65,134,71,55,49,64,13
4,7,83,101,119,41,55,31,42,10,81,103,34,39,46,43,51,109,130,106,41,2,24,24,-1,-1
5,-1,38,50,42,45,41,44,-1,60,144,117,100,129,88,88,62,25,32,24,67,24,56,29,36
6,20,65,77,31,79,59,63,55,34,20,40,25,16,8,111,38,54,38,20,31,54,116,51,57
7,4,63,77,64,64,99,85,32,34,48,56,52,50,20,46,52,44,84,40,47,102,103,130,26
8,5,58,122,104,55,43,34,116,116,76,19,28,30,6,90,23,59,119,100,68,118,101,36,11
9,12,133,103,114,29,37,23,74,107,95,33,77,96,82,108,35,2,39,156,80,110,129,104,154
10,19,22,27,106,4,27,67,55,63,77,64,79,83,37,61,24,30,35,38,17,36,38,64,38
11,3,13,11,16,24,27,19,24,12,41,52,66,71,69,73,14,20,42,40,26,45,55,66,91
12,38,28,25,2,9,2,4,41,102,93,90,13,20,36,127,66,87,30,46,8,11,7,5,123
13,17,10,100,43,9,3,37,3,33,41,68,91,102,108,107,63,36,51,74,94,20,12,22,8
14,5,9,34,9,41,84,128,119,68,101,54,32,43,5,13,24,28,62,42,26,43,26,18,7
15,-1,43,17,22,11,37,43,130,24,96,132,41,59,44,22,57,80,75,43,39,97,34,17,76
16,22,79,136,86,45,22,29,10,9,112,121,72,92,2,23,45,100,60,101,8,108,66,81,19
17,33,39,58,112,101,10,3,21,9,26,81,30,16,36,20,36,43,18,51,24,29,33,13,10
18,18,86,61,14,25,16,12,30,26,46,29,24,26,47,7,15,23,14,58,19,8,13,10,9
19,43,38,50,85,41,8,28,-1,41,66,86,23,64,119,101,32,41,49,64,94,28,38,19,65
20,73,82,49,51,79,35,19,12,54,26,67,13,-1,79,33,50,64,48,61,17,27,53,-1,33
21,15,35,40,7,29,2,14,21,28,104,23,22,23,15,62,77,69,62,89,18,66,27,23,9
22,2,26,37,36,73,36,25,26,3,18,63,32,16,45,15,35,40,21,21,58,13,54,15,47
23,15,12,21,33,92,21,63,29,25,41,22,42,137,21,9,32,25,30,50,59,26,13,60,4
24,1,55,41,14,22,23,26,18,50,53,46,-1,-1,33,62,96,209,100,65,159,23,69,89,86
25,71,20,69,29,35,41,9,59,43,54,180,32,47,203,269,257,232,78,166,162,171,174,185,149
26,49,178,164,150,89,61,109,-1,10,96,132,44,129,132,133,88,141,108,94,58,193,76,176,153
27,85,183,229,223,153,151,137,100,68,49,42,86,74,46,90,24,162,285,234,47,69,102,120,79
28,8,159,177,141,18,20,91,83,52,173,173,250,133,55,85,42,184,172,101,80,60,19,58,77
29,82,95,126,86,40,105,126,130,66,21,20,5,204,122,261,161,24,120,196,197,46,75,76,105
30,27,156,170,127,161,55,147,91,86,90,126,87,81,92,154,133,82,68,59,35,36,45,35,48
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
