aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,17,5,7,11,12,11,5,10,7,10,36,27,11,27,7,16,11,5,17,8,8,6,17,11
02,17,5,15,10,10,15,7,8,18,15,10,19,4,6,13,19,9,11,9,12,12,12,3,9
03,8,9,7,14,6,13,15,11,13,15,12,11,9,9,17,12,7,8,6,4,11,19,5,14
04,8,13,15,9,17,17,8,11,14,18,17,8,21,9,8,14,16,5,12,13,10,15,10,18
05,15,9,19,20,10,12,7,10,10,14,11,17,19,13,14,9,13,7,12,13,13,9,12,16
06,8,10,18,11,15,12,4,8,11,10,18,10,14,15,8,6,12,14,4,11,18,16,17,15
07,17,8,10,14,12,16,11,12,10,8,15,8,20,9,8,10,13,5,12,11,13,13,11,11
08,11,12,9,8,11,8,11,10,11,8,7,11,4,15,18,7,11,19,12,13,8,11,12,13
09,14,3,5,3,6,6,7,8,4,7,7,15,13,10,5,7,8,15,13,12,7,14,14,8
10,14,8,9,11,15,7,10,12,10,9,10,15,13,10,7,18,10,9,12,8,8,11,13,13
11,5,14,8,21,13,17,8,12,13,11,13,11,9,11,12,11,16,6,13,9,9,8,16,8
12,7,14,11,11,9,8,10,8,8,10,15,12,20,12,15,12,8,11,19,8,8,9,18,11
13,15,13,18,14,9,8,17,10,13,14,10,14,13,17,14,12,7,4,13,12,14,17,12,8
14,11,14,10,11,16,8,12,8,10,12,23,10,10,9,12,24,9,13,16,21,11,10,13,11
15,10,15,18,13,12,9,16,9,15,11,10,14,10,10,9,11,18,14,6,9,11,10,17,19
16,7,9,17,10,8,8,6,18,9,10,7,19,12,6,7,8,10,16,13,11,5,10,13,10
17,12,12,12,13,10,8,13,9,17,12,11,12,10,8,18,9,9,17,8,19,9,15,8,14
18,15,14,8,18,12,17,9,13,11,17,11,23,8,18,14,12,5,9,15,16,9,9,6,14
19,13,11,9,7,15,13,6,13,12,10,11,12,14,14,19,7,8,21,14,17,11,16,16,12
20,16,9,13,11,16,17,4,8,13,11,14,14,7,13,10,10,10,32,33,10,15,14,7,8
21,15,7,8,11,9,6,10,25,12,7,14,16,7,9,12,7,10,11,14,12,10,11,14,16
22,15,8,10,15,7,10,15,12,13,12,14,10,13,12,6,16,11,16,10,17,23,10,8,12
23,12,13,10,12,8,6,12,14,18,11,10,13,11,5,14,15,14,18,7,7,12,12,11,9
24,16,14,5,12,9,7,12,17,15,15,13,12,11,9,11,7,11,10,10,13,14,13,15,8
25,6,18,15,9,13,4,9,9,17,8,5,16,9,11,13,9,17,11,16,8,10,8,8,6
26,8,10,16,17,7,7,11,11,19,11,8,13,13,13,6,9,10,9,7,8,12,16,9,14
27,19,13,17,11,6,6,9,16,16,10,12,9,11,16,8,10,8,11,14,7,10,11,9,14
28,7,10,6,8,5,8,9,9,11,19,8,10,6,9,12,16,10,7,9,16,9,9,15,10
29,9,15,16,15,9,13,14,12,9,15,8,10,11,17,14,14,11,11,10,13,12,16,17,16
30,11,8,6,10,6,11,7,16,8,4,13,10,14,17,9,18,14,10,14,5,9,9,18,13
31,10,18,9,11,17,14,10,10,8,23,16,9,22,7,16,11,10,21,10,13,15,9,11,14
