LAT	LONG	PEAK	MEAN	MAX	MIN	ERR	FIT
N050d49'29	E003d59'14	5	25.62822014051522	115	2	0.3748091849983419	0.8279943860796215
N054d05'27	W000d11'02	14	5.325032765399738	111	1	0.13762891687270942	0.63394579555139685
N050d37''2	E026d14''5	0	12.31264	148	1	0.23787310892749575	0.60297717697900499
E046d40'17	N020d40'21	8	27.85025817555938	374	1	1.2262373490642138	4.0405008369028774
N044d51'31	W000d33'29	4	61.87125220458554	395	4	2.0098733624368896	6.1299758447155721
N051d46'00	E006d37'00	8	13.832116788321168	140	1	0.27717907884621135	0.57132869104244732
N041d36'15	W074d20'36	22	8.333333333333334	35	1	5.475196597180577	3.9225671194524776
N053d45'00	E012d11'00	8	44.06847175214788	201	1	0.46292606579093465	1.9107107072631142
N046d49'59	W000d51'28	10	63.99145299145299	203	17	3.168876229608195	3.4534095554641979
N050d32'02	E015d25'10	5	78.22033898305085	251	1	1.5808046394983144	3.1825957138845791
N052d15'00	E020d57'00	8	25.101135190918473	175	1	0.2948433673535096	1.7982953476910448
N004d40'50	W004d35'15	12	12.404761904761905	24	4	0.8635471803251578	1.7407543077244716
N047d18'00	W003d11'00	7	43.85957446808511	120	1	1.3582395966535372	2.4635103032918098
N050d52'09	E000d20'41	7	15.951734539969834	111	1	0.7456490633981024	1.8781251314983938
N052d15'27	E018d10'05	11	23.782608695652176	63	4	1.4335767855726977	2.0909245975111723
N051d29'30	W001d03'00	19	13.99438202247191	124	1	1.5579843560404196	2.9840362245453327
N051d09'07	W114d13'15	16	17.427249153641142	260	1	0.08652434994470873	0.63912451902363998
N042d21'08	W007d51'27	12	25.988372093023255	64	1	2.0498903367983328	5.2466341714595801
N039d48'57	W074d56'26	11	54.93288590604027	139	11	2.5217117139384193	3.5440473367460279
N052d58'37	W001d05'15	4	12.326794471689702	112	1	0.12399003070846665	0.67937374626101277
N045d51'52	E011d00'27	4	92.701169517626	406	1	0.3573805254631238	3.9844540603191527
N046d41'07	E020d44'11	1	12.5	24	1	0.5312645889686828	1.6321556064020704
N050d36'54	E003d04'17	18	23.0	23	23		2.9214692212749247
N051d46'00	E006d37'00	3	79.48995983935743	248	1	0.5892812684324596	3.8444845700050818
N044d46'25	E001d45'28	3	301.4492753623188	704	7	14.854344376632607	46.911444983539624
N035d39'00	E139d19'00	22	11.311795503541731	164	1	0.04798158836053128	0.42828217057881157
N050d30'28	E016d00'44	8	42.996532156368225	389	1	0.38170223688908184	1.3494344024091021
N046d34'26	E015d36'50	4	42.59718775847808	182	1	0.696733918487746	2.5862110438687225
N042d21'08	W007d51'27	0	48.916666666666664	83	13	6.467234823525915	9.0197149265489216
N042d21'08	W007d51'27	4	31.818807339449542	310	1	1.912866084733612	3.4631506320444738
N048d47'25	E011d31'30	12	132.8658536585366	454	1	5.313320720270692	18.756780950488494
N046d49'56	W000d51'25	7	83.93493678692569	225	1	0.441152301470245	3.3411735095947241
N029d52'50	W085d12'54	17	54.166666666666664	217	1	12.428005230513136	25.045898848793424
N034d34'21	W082d51'24	13	88.28947368421052	277	1	12.126813799883164	9.2678374382837951
E049d44'34	N013d35'40	22	129.9903978052126	650	3	4.60428122266484	11.227174742693421
N044d40'50	W004d35'15	7	16.74061433447099	85	1	0.4104890350331604	1.089586623347985
N000d54'05	W000d12'00	6	70.29193568035083	343	1	0.5019130138432828	1.6419751908227749
N044d17'26	W093d16'06	15	12.940379403794038	101	1	0.3920107992623538	0.43712844180863203
N046d49'57	W000d51'26	8	82.04981171470116	511	1	0.492454024712465	2.8058322240122502
N046d48'04	E009d13'50	14	28.94275161588181	196	1	0.5237111722038542	1.5615003184268363
N049d27'46	E017d58'24	8	55.114097451014395	469	0	0.41667899513269324	1.1871673307330064
N050d30'23	E016d04'01	6	29.31158320687911	152	3	0.33572866194349593	0.85899735571689129
E049d15'36	N014d43'06	9	21.050776332354175	104	0	0.3419988155009246	0.81586520385613537
N047d38'30	E026d14'44	2	141.11601781909744	752	1	1.1412130141243773	4.5458843150953099
N051d43'56	E000d41'23	6	5.545966539672023	67	1	0.0630058336443829	0.60065555719971997
N048d39'11	E017d32'14	1	16.6462289744981	86	0	0.237056224104712	0.69292667553671206
N055d39'32	W004d42'02	5	21.20812182741117	201	1	0.10268265736524934	1.4466597107137873
N034d34'21	W082d51'24	0	6.0	9	3	2.9999999999999996	1.358219473678812
N050d00'00	E008d42'00	20	100.51773049645391	621	1	8.087919887653829	23.019695465269404
N040d38'15	W004d01'20	7	19.92654028436019	296	1	0.15302029941443915	0.59472630978152363
E037d16'10	S108d59'21	13	117.51436031331593	343	1	2.61671204479859	2.5682211778227328
