LAT	LONG	PEAK	MEAN	MAX	MIN	ERR	FIT
N035d42'00	E139d12'00	21	9.669910537458172	752	1	0.07107762081268487	0.44883552655816172
N055d35'24	E037d24'10	5	12.520325203252032	79	1	1.05804796343815	2.1178299933113225
E042d55'43	S072d48'46	7	162.86865431103948	758	1	4.650305882316096	13.006890871772832
N038d33'35	W121d19'36	19	71.14987714987716	116	16	0.7222675289672463	1.7056810465351537
N047d13'31	E009d33'08	5	16.53956513990376	80	1	0.09007987425270297	0.96041719562472372
N050d30'24	E016d04'01	6	89.31037649219468	664	0	1.5119174700975224	2.2836917635131377
E050d30'45	N016d00'55	6	17.228813559322035	73	0	0.27817608308695807	0.53343870452392328
E050d30'45	N016d00'55	4	55.80246913580247	100	2	0.5272451117567134	1.1140138472773857
N050d43'12	W003d30'27	8	71.34234234234235	738	1	2.251217451430265	3.7833099870748366
N049d27'48	E017d58'30	6	67.36541598694943	163	1	1.8193652906215774	1.6686546099173623
N045d27'55	E009d11'09	6	35.820454545454545	84	3	0.7143502011792855	3.3010733550407343
N051d10'31	E005d07'17	4	42.751969975141755	284	1	0.09046578498208037	2.4366920818067759
N050d36'54	E003d04'17	5	226.96137339055795	904	5	3.464526786322685	4.0026475177478806
N043d38'00	E005d06'00	7	61.00047755491882	669	1	0.794781974769908	4.8115624677953601
N040d00'00	E000d00'00	23	4.0	4	4		1.026668978939081
N053d03'25	W000d51'06	4	6.100928381962865	82	1	0.05869358387842236	0.36147333237887569
N041d37'19	W004d48'33	8	190.31728045325778	466	4	3.6240751666315103	5.7957752682886383
N040d41'00	W105d00'00	4	24.42043795620438	204	1	0.5009800910965506	1.4860229833288363
N051d54'56	W002d04'56	6	72.96251018744907	338	1	1.1729975240912698	3.9703050420693318
N051d02'10	E000d32'10	18	83.10826210826211	629	1	3.9047531496192986	9.4312404010861055
N044d38'09	E011d10'56	8	22.470680300500835	287	1	0.1270235616066108	0.58376925700435534
N050d52'00	E004d27'00	7	43.2464415294446	300	1	0.5356868868532035	2.874683338725772
N050d53'35	E005d37'36	23	19.417624521072796	59	1	0.32970434359466116	0.95581620735966544
N045d03'26	E012d03'21	12	12.375	41	1	4.9495219826911425	4.6001902801259842
E050d21'19	N015d55'06	6	30.39145496535797	480	0	0.3557478469545012	0.91322994843631522
E042d55'43	S072d48'46	1	120.30476900149031	772	1	1.636194243623021	12.244439098841983
E048d00'53	N015d35'47	7	10.751161294933182	182	1	0.06811684997065283	0.42248900490414959
N039d54'24	W001d22'11	2	17.841201716738198	342	1	1.7010646065185913	1.842869614741387
N050d47'03	W001d44'10	17	25.24590163934426	94	8	1.6568545711027594	4.3630220416509378
N049d17'02	E017d01'21	5	76.00265721877768	306	1	1.4383283732439367	1.8370455751730677
N033d26'38	W104d30'55	12	76.66903553299493	492	1	2.806689543960678	4.6776571854678002
N043d00'00	E013d00'00	20	24.9375	41	8	2.400466534516433	6.7063245062733277
N028d08'34	W015d26'52	8	109.95310649074793	921	1	0.816158283987508	4.1728426591273067
N040d30'26	E022d58'58	10	158.0764119601329	11843	2	28.816389528578945	53.600801648128993
N052d45'05	W001d43'41	5	28.13884992987377	216	1	0.4942537289769352	2.0380159654681398
N050d36'54	E003d04'17	7	97.25397096498719	916	1	1.1871771792576868	2.1480277650557511
N044d41'07	E008d29'01	4	158.945	7672	1	43.06017845107856	54.656808373592447
N041d32'40	W004d42'10	6	85.1320447135538	361	2	0.6671978114076714	2.7322834346396956
N054d40'13	W002d45'04	8	4.304347826086956	25	1	0.16272476534989147	0.52722356430910733
N055d00'38	W001d40'31	4	39.28002414001207	197	1	0.7348137911943462	2.2834837725948449
E048d09'06	N015d45'14	6	3.9077809798270895	63	1	0.11007270689099595	0.5639332223207898
N051d47'01	E000d08'59	16	130.3846153846154	260	1	11.556737662694403	19.264912847651527
N050d41'16	E003d13'07	7	138.59003391859537	882	1	0.7179858070260506	6.1514509176368755
N054d39'56	W002d44'00	7	55.29896907216495	147	5	1.2933554731178163	3.1662995257344502
N045d25'00	E012d22'35	3	150.33406113537117	287	5	0.5820508046732467	2.4368022366986595
N052d00'22	E020d54'31	15	62.41304347826087	216	7	4.513957548601499	8.4666191904891406
N054d33'17	W001d23'01	19	89.90845070422536	500	1	9.486969360472635	17.309907328285043
N044d46'05	W094d59'22	4	42.693473193473196	380	1	1.1365994610961179	4.3479654898606492
N053d12'00	W000d35'00	5	16.595722537336734	147	1	0.07207038186948517	0.89522761253404326
N045d28'39	E005d16'58	5	453.72222222222223	607	75	21.299065152415565	31.222974429770957
N048d01'50	W002d49'25	8	6.785260930888575	131	1	0.1823909160531942	0.76566706678090846
N051d21'56	W002d23'17	8	109.31593406593407	522	1	6.493508880542096	7.3167423986292341
N055d00'00	W001d40'00	4	12.073842302878598	63	1	0.2997710951749185	1.2725187019943569
N050d44'50	E014d29'20	6	26.24745269286754	199	0	0.410849296176196	2.5531925208034112
E046d40'17	N020d40'21	5	12.375471698113207	48	1	0.3621944168030137	0.75895509055723431
N050d41'16	E003d13'07	7	164.44377342773845	869	1	2.1480349921780806	4.3317275367266754
N054d38'23	W005d41'22	8	170.3935849056604	668	1	1.5963096116656923	7.7451215023548663
N054d56'00	W001d41'00	23	1.3	3	1	0.21343747458109494	0.97486571324286764
E046d08'13	N006d07'56	19	32.42857142857143	88	1	14.556715260788522	10.974357055502077
N050d04'46	E014d29'21	11	8.989232839838493	30	1	0.16852742702060058	0.49058874620336834
E053d34'03	S001d55'34	7	3.4205955334987594	12	1	0.07140764886150887	0.33788416630191698
N047d38'01	E021d34'33	4	58.04651162790697	509	1	17.699721062187965	61.273451632559137
N046d46'38	E010d10'08	11	39.72695541805489	399	1	0.6342276370620926	2.6764401552415849
N045d25'00	E012d22'35	3	89.32125263898664	285	1	0.6171831558289045	2.8663238395192945
E050d00'00	N015d00'00	8	208.54853911404336	576	1	2.415773163859842	6.5180085182351757
N051d46'00	E006d37'00	5	52.75094517958412	166	1	0.34667424574390504	1.7779705807046366
N051d52'30	E036d54'30	5	53.16115702479339	210	3	1.002942534769864	8.5569071829407068
N065d05'43	E017d07'43	4	117.1151832460733	258	1	4.322649423984386	13.085226326709488
N050d32'45	W004d08'00	4	116.76751162947482	614	1	0.4545617669147933	5.0575347829217456
S042d58'12	E147d16'34	18	82.65489415216936	818	1	1.155341572972416	2.9985725878967013
N032d39'25	W099d50'37	6	114.52533333333334	746	1	6.521921082932725	11.685848772424354
N049d17'02	E017d01'21	6	52.080396319886766	463	1	0.21571935832499725	0.78895793615104326
S019d36'21	W043d54'18	5	16.75	59	1	1.2860827705531679	3.1076690506549971
N047d38'30	E026d14'47	5	148.3577371048253	417	1	2.297575675966906	7.9413825029472971
N051d46'00	E006d37'00	6	8.887961522138916	91	1	0.06982955096053022	0.55889588715066996
N055d00'38	W001d40'31	3	19.766666666666666	70	1	0.7050937074004515	2.8421267656646898
N051d03'09	E004d21'06	7	21.36235757490505	250	1	0.151022523483077	2.0061375122139165
N046d56'47	E002d20'05	14	1.896551724137931	19	1	0.12501061616206424	0.76824676979485962
N043d09'18	W071d55'44	11	64.74123128468223	319	1	0.28628012598418623	2.7369127422063571
N052d38'55	W001d42'30	9	32.238140719516075	760	1	1.1041125241267686	2.7574306633620997
N046d49'49	W000d51'25	6	49.214341387373345	512	1	0.26357179420620797	1.0017014457253506
N050d47'18	E003d10'36	6	19.782161803713528	124	1	0.2482568921921871	0.98624258289510691
N050d43'59	W002d43'59	6	21.9312567132116	588	1	0.14633594355388688	0.67598121295419533
N048d40'13	E002d19'38	5	183.77415221662253	864	1	0.970101962863607	5.3648899834092942
N050d13'48	E014d10'39	6	59.69675456389452	337	0	0.3103898476987371	2.5054394475403052
N004d32'26	W000d22'18	9	11.42533288386988	414	1	0.19105739129391294	0.60200531695860504
N037d46'00	W003d47'00	10	95.58280147799799	350	4	0.8189660879513276	3.594792946871006
N047d21'45	E008d02'15	13	22.516693163751988	237	1	0.8054312948267102	2.3434419724100808
N040d30'29	W090d49'23	9	72.42939071614137	544	1	0.41338342676109413	3.4306817166760792
E056d50'26	N053d19'25	7	240.24096385542168	481	77	7.798751927946804	11.664778868674377
N043d38'00	W005d06'00	13	232.5	268	181	21.511624764298954	35.806664841481357
N033d00'08	W111d32'12	14	25.44104134762634	76	2	0.4878020072996095	2.9388989803629153
N051d13'21	E004d01'21	2	85.07142857142857	209	11	4.528174650318966	8.4524001595930756
E041d17'00	N001d14'50	7	56.62187055178766	511	1	0.5258683154239074	3.9762382336665745
S030d00'00	E150d00'00	4	4.182027649769585	55	1	0.10068636426224843	0.75185554275946831
S022d27'00	W047d35'00	9	3.91037793918503	25	1	0.030907150959285794	0.25591551182116329
N050d30'24	E016d04'10	6	43.02096074434164	245	0	0.1668185890305438	0.82731621494283136
E049d16'40	N016d59'58	15	67.33333333333333	231	1	3.2174666706661634	3.1012523811735835
N035d39'00	E139d19'00	20	10.452527161076995	157	1	0.12675606598538386	0.38257913865245813
N050d57'00	E004d36'00	8	4.171492204899777	77	1	0.05460562352545331	0.21032773149250472
E050d06'21	N001d50'01	22	19.38235294117647	298	1	9.152696991642637	16.163018734541691
N053d45'28	W122d50'57	16	46.27051633600373	655	1	0.2365864932556833	2.0329620923272906
N047d42'49	E005d16'23	12	244.97916666666666	959	1	28.87943396186294	44.789820501345162
N045d37'05	E013d25'12	10	84.95833333333333	180	1	8.25158727959962	22.455013105259226
N023d06'32	W082d25'31	13	5.051792828685259	14	1	0.19647599300759416	0.53315706779730043
N048d25'10	E017d47'48	8	18.90015620932049	268	1	0.16633047879404994	0.70001376867540432
N044d46'25	E001d45'28	9	3.4893390191897655	52	1	0.15958131800608377	0.30166526317237718
N042d21'08	W007d51'27	17	45.632183908045974	735	1	2.4267318229025276	4.6265935303372441
N049d20'39	E017d59'47	2	16.25520233172914	279	1	0.1651798949710767	0.40006875115445756
N041d32'44	W004d42'13	7	214.96907216494844	386	23	6.109342813474059	9.6246930531411721
N000d47'59	E000d00'10	23	174.7	451	1	58.05592131729544	60.24840660295439
E045d02'41	N009d54'26	19	9.166666666666666	25	1	3.9700265882121135	2.9403149830104987
N051d46'00	E006d37'00	7	9.039036330842567	120	1	0.070796402913893	0.3031458136869094
N047d23'52	E007d45'09	3	11.40159045725646	53	1	0.29628615150134	0.47497687790628168
N054d39'56	W002d44'00	7	50.58386581469649	277	1	0.20460933901918904	1.2875270050007557
N051d02'11	E000d31'48	13	41.92314857941314	629	1	0.6935314801934233	2.8993312382961487
S051d14'28	W002d48'10	7	18.41704131877542	504	1	0.2733938353619501	0.74782401826970424
N049d20'39	E017d59'47	7	56.32940051020408	677	1	0.383650656077025	8.4848157225504046
N035d39'00	E139d19'00	21	4.009589947089947	30	1	0.05443977887139204	0.40738894931240982
N053d11'00	E048d26'00	7	353.19827586206895	1114	75	21.625253921527783	29.975043937600574
E041d07'32	N016d51'43	0	24.10762331838565	121	1	0.7383746774090764	3.1480566702313708
N050d24'33	E015d24'53	6	10.402045979540205	102	0	0.11058148928134204	0.38875061653495957
N041d40'28	E013d05'00	6	181.05777777777777	379	2	5.746193096042089	12.211605938317089
N044d24'38	E001d34'26	12	22.279325988334413	328	1	0.21789518799038357	1.3332967783312601
N053d58'30	W123d05'57	16	153.75200036788374	505	1	0.6009428166647747	4.7009381865101156
N045d25'42	E014d34'04	1	222.5983606557377	557	1	9.904664833852872	13.227282654980911
N051d25'17	E007d40'03	14	25.38888888888889	68	2	0.7751271206509069	2.6670587335292186
N051d14'00	E005d06'00	7	34.61227373584024	1063	1	0.12518778839331426	1.1616622172763238
N044d37'52	E008d27'19	14	2.926829268292683	38	1	0.2691673061761354	0.84742364402248649
N050d53'35	E005d37'36	4	17.163480837235973	193	1	0.0991411188918663	0.55065746016385053
N048d59'13	E014d28'03	5	40.245448239986125	461	0	0.36493304156519885	1.4426411880934045
E033d36'21	S079d01'36	9	167.16034597471725	1209	1	1.6525450744081565	4.0855534462703087
N051d02'14	W000d32'25	7	15.612997090203686	291	1	0.937665556509423	1.8465293634719033
N051d23'39	E006d58'43	7	47.24826601387189	295	1	0.5644246855219662	2.6537153070709154
N035d52'34	E014d23'58	6	26.685603615235635	178	1	0.6238803129720659	1.9729649343396209
N053d19'08	E006d51'10	8	46.245390070921985	279	1	0.8719255043449676	1.9870406788197581
N046d46'38	E010d10'08	11	44.341719077568136	226	1	0.6277101560020187	1.9622080367751309
N049d24'33	E036d57'08	18	25.622355430183358	141	1	0.28276752713352044	1.0971060615598465
E048d58'29	N014d28'27	6	37.979959337786816	199	1	0.3253934038599297	2.2494637562310711
N041d37'19	W004d48'33	10	193.52269399707174	393	1	3.7614874874604975	8.9055883448879811
N050d36'54	E003d04'17	7	48.014925373134325	289	1	1.853075102408928	2.8493924070622998
N050d41'16	W003d13'28	7	96.75298726738491	865	1	1.9322308877290082	3.1116131917879613
N052d00'00	E006d00'00	5	272.23633577388046	569	9	1.4337867174713799	5.6227265527437336
N052d44'22	W001d22'00	5	23.551493783633326	282	1	0.19695519442657855	1.2888221781460967
N049d52'25	E013d53'55	5	68.4418330451187	635	0	0.38263387230697316	0.95712487109764799
N050d53'35	E005d37'36	1	15.843272171253822	56	1	0.3076499251481362	1.0409911303339985
N050d36'54	E003d04'17	5	194.54244737450844	883	1	2.7576539263142124	4.9671683964161453
N051d40'05	E016d32'22	9	82.1875	155	30	6.858071166222157	8.115532120910709
N045d24'07	E011d52'06	5	18.92323042610635	311	1	0.15394388231307804	0.34901841901302411
N053d10'00	E048d26'00	2	277.78498609823913	793	63	3.7284800191563714	9.4845983432282068
N049d12'25	E015d52'33	7	12.873063683304647	36	0	0.13985569291990863	0.58908167619426566
N051d00'00	E005d00'00	6	60.83783783783784	217	2	1.7120402194917157	3.3229917374114755
E048d09'06	N015d45'14	11	8.43020594965675	83	1	0.6284860008737454	1.2406754523229775
N053d53'39	W122d47'31	12	105.24779309733991	736	1	0.38168132172856317	5.3916241048288018
N051d01'51	E004d49'11	1	29.773829531812726	406	1	0.47293328265020274	1.7474681927737676
N047d42'49	E005d16'23	12	280.64761904761906	1086	1	30.60824478022347	45.28520151597283
N049d40'52	W124d55'33	9	84.97633136094674	407	3	6.605985915810555	15.203699422168155
N050d57'02	E004d35'39	8	4.640937293907052	128	1	0.018565331483509154	0.18418550753025081
N039d30'18	W085d48'01	13	5.146067415730337	29	1	0.5678100148119744	2.4867801205015256
N053d58'31	W123d05'56	8	148.2396694214876	357	6	3.5861634971552	4.9776172744132126
N023d36'00	E109d36'00	23	26.554117647058824	192	1	0.6086822402394885	3.0453539687991946
N051d04'50	E005d05'30	4	20.899996473782572	198	1	0.05654756142433634	0.6154837289186661
N052d34'28	W003d39'11	9	158.22635814889335	268	1	1.3614979618302019	8.6309212938162538
E034d33'49	S083d06'05	14	72.6867469879518	314	1	11.558866033824675	14.436467510790131
N050d51'24	W003d19'46	4	11.809113449967922	110	1	0.04403739642529991	0.73576778213969396
N051d46'00	E006d37'00	12	8.425629949604032	98	1	0.08866773234292225	0.64476887237888469
N040d37'37	E022d57'35	12	65.65714285714286	110	6	3.912475812934147	10.741118009620349
N048d45'00	E002d30'23	1	202.123006833713	747	7	7.729928091424769	8.3365606274760804
S030d16'14	E150d21'45	21	31.41726618705036	297	1	1.0171590727195676	1.1069626174383966
N050d32'45	W004d08'00	5	75.70467589466577	614	1	0.3942638621274327	4.6049948237947103
N049d12'25	E015d52'33	6	10.949869451697127	109	0	0.13375561335767278	0.32712182891117586
N057d00'00	W002d10'00	14	28.687368421052632	322	1	1.2263753973340001	2.2027266457610697
N049d40'36	W125d00'36	12	197.2293371522095	469	1	0.9958334250611549	9.4956425757184082
N038d39'08	W009d04'07	21	78.85064935064935	715	1	8.506650845328219	20.550499445557943
N053d19'08	E006d51'12	5	53.00741694250337	535	1	0.4384731207951076	1.054102943523274
N050d26'00	E004d38'00	9	17.75	558	1	5.22500231396114	10.663208766043244
N040d15'25	E044d51'17	7	44.18948339483395	357	1	0.5208205912191807	2.7047027280741776
N032d39'26	W099d50'38	8	122.60283172989654	794	1	1.7024208450010725	2.730692105425736
N047d22'20	W003d13'26	23	99.66666666666667	252	3	77.08076572300281	32.664004024448374
N043d17'40	W003d00'05	10	108.5607476635514	194	3	4.571657133417677	7.1286836953609436
N047d15'30	E016d36'16	6	2.48	7	1	0.1614796447719516	0.74887063326331482
N037d58'32	W121d18'03	9	39.0931799045748	905	1	1.5598260239668995	1.4821217652509771
N050d30'28	E016d00'44	4	12.942028985507246	81	1	1.4882297865559986	2.1422854742885109
N045d25'00	E012d22'35	7	69.85517471516422	255	1	0.2847566550365034	1.4377055324538199
N040d05'00	W088d12'00	11	142.63883751651255	492	1	0.8786226902417769	4.7850425277885451
N048d40'13	E002d19'38	9	216.15035286897822	663	1	1.9299241449918603	9.57186853002991
N050d48'06	W003d11'04	21	30.38767174155217	867	1	0.8801204108903599	1.6857190281984016
N035d39'00	E139d19'00	16	5.563572679509632	39	1	0.07117202985672816	0.34940056275353987
N044d41'07	E008d29'01	8	68.78538472987051	259	1	0.6665408684837865	0.80899106682712385
N041d39'24	E013d06'17	5	54.86381390504297	375	1	0.5939812138038716	1.6684781963129849
N050d54'00	E002d55'00	4	37.84373549285604	251	1	0.1271159446421774	2.0749787295764897
N044d17'26	W093d16'06	11	11.406758720930233	100	1	0.07832740787561887	0.48840093095724491
N051d30'28	W000d07'41	3	114.99194198227237	576	1	2.329159999010983	4.6533635108543301
N051d20'00	E007d00'00	7	24.160367722165475	240	1	0.16889446175742465	1.4763210085769152
N051d03'00	W003d55'00	7	27.680445151033386	766	1	2.6793953073972907	1.5009930928819331
N040d41'00	W105d00'00	12	47.63517915309446	152	1	1.5650205587916652	3.3135572160309139
N045d37'01	E004d46'59	0	15.581920903954803	323	1	0.8224780459610239	4.4260119254144392
N037d46'06	W003d57'08	6	35.142857142857146	183	1	6.1835584057905635	11.05891229860325
N040d41'00	W105d00'00	12	55.329166666666666	152	1	1.6495688325187003	3.3236707745762821
N033d23'08	W111d32'12	14	26.057900983384197	228	1	0.09460637138417594	1.7982465822018163
E049d00'00	N014d00'00	7	61.771137458317895	416	0	0.2511686155983727	1.3098137864182164
N046d15'00	E014d40'00	23	215.94444444444446	389	7	25.437925499930504	31.030673788405949
N010d00'00	E010d00'00	8	63.18050541516246	188	1	2.9211390053529973	4.1229730178331536
N051d46'00	E006d37'00	5	26.199532691455506	272	1	0.20330181192540414	0.68735530992673854
N049d06'08	W000d22'13	11	33.78102912072378	329	1	0.23233265023436614	2.201143920328537
N039d46'53	W001d02'38	14	62.66418703506908	742	1	4.213219368827646	10.892034117015921
N023d36'00	E109d36'00	10	31.524366471734893	254	1	1.7157541290290081	2.4933058497961413
S033d45'43	E150d49'28	17	3.9723214285714286	39	1	0.14742280999571442	0.59701717668092347
N046d58'00	E032d00'00	0	87.3778014941302	618	1	0.7489060531685428	1.1352089911579446
N023d12'00	E113d09'00	23	33.78135593220339	190	1	0.444325557971932	1.9355156688479094
S021d00'00	W098d00'00	6	194.50716332378224	404	4	5.022851669796721	34.335557530957807
N037d46'00	W003d47'00	7	83.73907699184267	383	1	0.47594609331574333	2.5203711395659485
N052d27'34	E013d21'11	7	3.630017357344326	75	1	0.03276949174450491	0.19270300676347038
N040d46'30	W111d52'56	14	43.228362351753724	318	1	0.34551629983203275	1.4436720895935586
N049d15'38	E014d41'29	5	71.34078549848942	137	0	0.5666808089044655	1.1172992621301048
N050d54'25	W002d47'53	6	124.16652138821631	797	1	0.33698284783073545	2.60418670443251
N051d00'44	E004d28'57	2	27.383405402017925	305	1	0.1683154382166871	2.1339824547490056
N033d26'38	W104d30'38	12	37.78234422522031	348	1	0.23686495908212604	1.2207507102985879
N033d26'37	W104d30'54	11	32.813306025792826	703	1	0.2070458717221863	0.75292108575854
N023d06'32	W082d25'31	9	49.46263795910983	385	1	0.7112122944119533	2.5129953093748427
N033d00'00	W111d00'00	11	114.14518059181897	626	1	0.49777614031661915	3.8454561736245312
