LAT	LONG	PEAK	MEAN	MAX	MIN	ERR	FIT
50.82472222	3.988055556	5	25.62822014051522	115	2	0.3748091849983419	0.8279943860796215	-0.04076514278848066
50.6199N	26.251617E	0	12.31264	148	1	0.23787310892749575	0.60297717697900499	-0.22530200874537204
46.6724	20.6688	8	27.85025817555938	374	1	1.2262373490642138	4.0405008369028774	0.10083984349740931
44.858674	-0.5579498	4	61.87125220458554	395	4	2.0098733624368896	6.1299758447155721	0.38240933796495047
51.7667	6.6167	8	13.832116788321168	140	1	0.27717907884621135	0.57132869104244732	-0.094451347480184772
53.8	12.2	8	44.06847175214788	201	1	0.46292606579093465	1.9107107072631142	0.33480733279072816
46.8329487	-0.857744	10	63.99145299145299	203	17	3.168876229608195	3.4534095554641979	-0.26585928443122664
50.1772	15.8386	5	78.22033898305085	251	1	1.5808046394983144	3.1825957138845791	0.45319781045148227
52.3	20.9	8	25.101135190918473	175	1	0.2948433673535096	1.7982953476910448	-0.13393264207693695
-3.1898	47.3155	7	43.85957446808511	120	1	1.3582395966535372	2.4635103032918098	0.45338192755675955
50.86908909282268	0.34471750259399414	7	15.951734539969834	111	1	0.7456490633981024	1.8781251314983938	0.47236091534046781
52.257624141317	18.168227991874687	11	23.782608695652176	63	4	1.4335767855726977	2.0909245975111723	-0.12731141553017222
		19	13.99438202247191	124	1	1.5579843560404196	2.9840362245453327	0.014445849500134242
51.1518709	-114.2207169	16	17.427249153641142	260	1	0.08652434994470873	0.63912451902363998	-0.1067488353006817
42.352103	-7.857644	12	25.988372093023255	64	1	2.0498903367983328	5.2466341714595801	0.15673122571513884
		11	54.93288590604027	139	11	2.5217117139384193	3.5440473367460279	-0.17566324556829119
52.97699826472545	-1.0876048781540248	4	12.326794471689702	112	1	0.12399003070846665	0.67937374626101277	0.60044884118092223
45.86439	11.00749	4	92.701169517626	406	1	0.3573805254631238	3.9844540603191527	0.14282679431768441
46.4107	20.7363	1	12.5	24	1	0.5312645889686828	1.6321556064020704	-0.33915851761480076
51.7667	6.6167	3	79.48995983935743	248	1	0.5892812684324596	3.8444845700050818	-0.21614595119487118
44.7789N	01.725E	3	301.4492753623188	704	7	14.854344376632607	46.911444983539624	0.62811201141900586
35.66	139.32	22	11.311795503541731	164	1	0.04798158836053128	0.42828217057881157	-0.22580698400893615
50.5123648	16.0150267	8	42.996532156368225	389	1	0.38170223688908184	1.3494344024091021	-0.058895998974191087
		0	48.916666666666664	83	13	6.467234823525915	9.0197149265489216	0.54881832964822619
42.35238096579852	-7.857568879941596	4	31.818807339449542	310	1	1.912866084733612	3.4631506320444738	0.66746806628885413
		12	132.8658536585366	454	1	5.313320720270692	18.756780950488494	-0.28168970837451196
46.8323516	-0.8570252	7	83.93493678692569	225	1	0.441152301470245	3.3411735095947241	-0.15582813366201978
29.8817837	-85.2158426	17	54.166666666666664	217	1	12.428005230513136	25.045898848793424	1.6666740259207058
49.7517917	13.6051069	22	129.9903978052126	650	3	4.60428122266484	11.227174742693421	0.1247336460985448
		7	16.74061433447099	85	1	0.4104890350331604	1.089586623347985	0.14957234009767822
44.302616	-93.242954	15	12.940379403794038	101	1	0.3920107992623538	0.43712844180863203	0.20177424450649459
46.8325162	-0.857131	8	82.04981171470116	511	1	0.492454024712465	2.8058322240122502	-0.28794204112811123
46.8011641	9.23059790000002	14	28.94275161588181	196	1	0.5237111722038542	1.5615003184268363	-0.33071758975959464
049.463040	017.973407	8	55.114097451014395	469	0	0.41667899513269324	1.1871673307330064	-0.41771590719512275
50.506546	016.011471	6	29.31158320687911	152	3	0.33572866194349593	0.85899735571689129	0.038632578275595332
049.2607110	014.6914880	9	21.050776332354175	104	0	0.3419988155009246	0.81586520385613537	-0.24293650901386563
47.641742177794185	26.245530525823938	2	141.11601781909744	752	1	1.1412130141243773	4.5458843150953099	-0.27127085094709963
51.732495	0.689793	6	5.545966539672023	67	1	0.0630058336443829	0.60065555719971997	1.0585315706218681
048.653153	017.537400	1	16.6462289744981	86	0	0.237056224104712	0.69292667553671206	-0.37152871931995829
55.6588	-4.7004	5	21.20812182741117	201	1	0.10268265736524934	1.4466597107137873	0.11308446970370113
50.0180105	8.6855363	20	100.51773049645391	621	1	8.087919887653829	23.019695465269404	0.7167346479489467
40.637429	-4.022337	7	19.92654028436019	296	1	0.15302029941443915	0.59472630978152363	-0.055414882832017169
35.7274	139.2090	21	9.669910537458172	752	1	0.07107762081268487	0.44883552655816172	-0.0017278764812926359
38.559836	-121.326662	19	71.14987714987716	116	16	0.7222675289672463	1.7056810465351537	0.022181555717627519
47.225187	9.55234599999	5	16.53956513990376	80	1	0.09007987425270297	0.96041719562472372	-0.0382920920805934
050.5067062	016.0116627	6	89.31037649219468	664	0	1.5119174700975224	2.2836917635131377	0.2381421180198077
050.5067062	016.0116627	6	17.228813559322035	73	0	0.27817608308695807	0.53343870452392328	-0.0897467385125406
050.5067062	016.0116627	4	55.80246913580247	100	2	0.5272451117567134	1.1140138472773857	0.096262384278826149
50.7201855	-3.507724000000053	8	71.34234234234235	738	1	2.251217451430265	3.7833099870748366	-0.380772653585289
49.463611	17.975	6	67.36541598694943	163	1	1.8193652906215774	1.6686546099173623	-0.37222101811718061
45.4654219	9.18592430000001	6	35.820454545454545	84	3	0.7143502011792855	3.3010733550407343	1.5322703986062709
40	0	23	4.0	4	4		1.026668978939081	3.0962810792528401
53.0569	-0.85177	4	6.100928381962865	82	1	0.05869358387842236	0.36147333237887569	-0.15365920843410241
