Jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,49,68,80,102,94,89,85,89,74,58,63,64,65,46,42,35,27,26,39,32,42,48,53,69
2,64,83,94,94,130,99,103,79,74,97,52,66,73,55,50,32,49,29,48,30,51,57,52,51
3,79,99,93,96,118,124,138,138,166,173,144,147,125,151,149,152,133,130,156,102,116,146,143,181
4,112,134,128,145,135,115,117,83,60,67,62,80,46,38,35,24,47,30,44,35,46,40,40,51
5,55,66,74,98,82,90,86,60,86,62,61,60,58,41,44,29,22,21,34,28,34,30,39,49
6,54,71,76,68,81,62,69,47,64,51,60,60,43,38,41,41,34,37,52,38,33,32,29,39
7,49,49,59,57,70,60,69,79,72,96,57,61,43,40,39,25,25,29,38,32,49,49,35,34
8,45,59,76,78,74,88,72,101,128,136,93,78,57,46,38,58,22,39,46,46,37,47,42,63
9,46,53,54,63,89,87,98,92,82,52,62,56,42,66,37,32,38,25,38,28,45,60,48,60
10,46,51,55,80,65,82,86,71,62,72,46,76,53,45,32,52,37,30,30,35,31,32,41,58
11,49,47,55,69,70,74,92,90,79,63,68,72,42,42,66,36,47,52,65,22,53,26,35,45
12,70,89,89,120,96,111,118,62,57,54,54,44,62,43,33,36,41,30,31,30,27,40,39,48
13,67,39,76,64,72,81,79,68,61,43,48,57,47,28,35,52,48,41,21,31,24,41,45,52
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,23,1,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,-1,24,48,30,56,40,44,39,28,48,18,38,20,30,31,22,25
16,29,60,52,68,57,56,65,49,65,55,49,55,39,30,21,18,30,12,18,16,19,19,23,22
17,19,31,33,34,45,44,62,29,34,29,34,33,43,38,25,20,14,28,18,8,36,12,13,26
18,36,42,43,39,50,51,44,37,50,41,32,44,26,27,19,16,23,33,28,27,20,22,32,34
19,30,34,39,42,41,41,56,46,36,42,33,40,48,33,19,22,17,12,14,10,19,15,27,21
20,44,28,49,58,48,36,31,39,33,22,31,32,38,35,20,19,29,7,11,19,15,23,18,20
21,28,26,28,36,34,35,32,28,30,44,43,30,33,21,15,18,19,24,28,15,32,24,24,18
22,22,42,38,35,37,36,55,34,45,43,27,37,28,24,22,28,21,27,28,14,20,18,32,27
23,30,29,35,36,25,39,57,44,40,48,45,36,35,27,31,20,19,17,25,12,29,18,19,28
24,26,28,39,40,55,46,52,41,53,45,32,30,45,32,37,32,21,16,16,35,20,19,23,16
25,22,31,26,26,36,84,47,35,35,40,32,35,54,108,92,43,17,22,12,7,20,19,14,11
26,16,25,25,35,39,33,34,31,34,31,34,36,32,25,18,7,6,2,6,12,12,13,14,14
27,19,22,25,26,38,70,78,34,21,26,25,24,19,25,16,9,18,14,22,17,11,19,17,17
28,19,30,31,31,40,38,40,29,47,25,15,32,30,36,46,36,6,13,19,5,14,37,18,21
29,17,25,31,35,25,35,52,33,54,58,36,28,35,20,22,24,15,22,19,16,20,14,10,23
30,25,20,50,31,23,35,42,28,40,40,37,43,15,61,100,13,23,17,13,9,20,17,21,26
31,28,24,44,71,114,141,46,36,48,33,38,23,31,25,91,29,26,32,22,12,18,6,24,23
