apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,030,000,034,047,049,040,056,028,030,036,040,033,033,027,038,031,028,029,029,021,031,030,027,043
02,050,050,043,044,055,048,036,047,039,046,040,035,038,036,045,032,024,028,023,027,020,023,043,025
03,031,032,038,043,031,038,031,043,040,054,038,048,038,029,036,020,026,027,031,025,034,022,029,037
04,037,029,031,031,029,036,025,034,046,054,054,046,041,020,019,025,026,015,017,019,026,021,026,022
05,030,028,026,036,023,022,003,012,007,015,021,037,024,015,015,-1,021,016,016,023,028,031,031,048
06,043,036,036,041,048,035,032,048,056,054,046,036,042,027,027,024,020,027,012,025,039,039,029,034
07,034,034,029,023,040,034,039,048,060,077,064,050,037,032,036,028,020,025,033,025,032,032,022,023
08,030,032,024,027,022,023,014,001,024,050,030,033,028,023,023,025,016,023,022,027,023,037,037,034
09,036,034,041,046,045,018,018,033,055,046,043,054,046,034,041,033,010,005,012,004,006,005,004,006
10,006,007,009,006,009,005,009,005,012,013,052,037,030,025,022,032,018,019,017,021,020,020,029,030
11,034,031,031,038,030,040,039,057,063,066,062,050,045,050,025,028,032,026,025,023,033,030,037,043
12,042,039,044,047,044,039,051,061,066,074,067,056,039,035,032,032,018,024,021,024,024,027,032,027
13,033,040,043,045,056,048,037,057,063,070,076,051,040,024,041,039,034,028,025,017,032,030,033,039
14,054,049,052,049,048,059,048,065,057,062,061,058,043,046,044,036,036,035,037,018,027,046,042,040
15,033,038,034,045,043,042,045,045,054,039,033,044,049,032,032,033,030,028,023,034,029,025,035,032
16,042,038,036,040,027,042,036,000,050,049,042,041,048,030,031,036,034,033,027,026,025,029,028,022
17,024,017,024,029,022,025,035,030,054,046,054,048,032,042,035,030,031,031,025,020,017,023,034,024
18,042,028,032,029,029,021,036,035,036,041,046,045,040,024,027,031,028,027,027,020,023,028,031,027
19,036,037,030,034,037,041,040,049,052,062,057,055,061,041,033,030,036,028,027,027,038,045,025,039
20,036,044,046,051,045,064,055,067,060,073,054,054,055,047,034,028,030,023,041,028,029,045,040,054
21,033,041,044,050,039,060,063,054,063,061,062,055,041,050,028,022,009,010,018,014,019,017,030,022
22,029,036,031,038,018,028,059,071,065,062,063,058,043,033,033,021,033,020,035,036,036,034,042,036
23,051,057,050,041,046,043,046,054,054,064,065,047,039,054,034,034,032,018,019,022,028,029,032,026
24,032,018,030,028,033,039,049,044,044,064,049,041,046,032,036,032,021,020,022,036,021,033,033,036
25,041,030,024,036,045,042,058,049,061,060,060,050,040,041,031,030,028,020,017,032,036,036,037,044
26,045,048,041,046,057,056,070,060,048,056,063,054,048,042,048,034,032,047,036,029,034,039,036,047
27,044,045,039,056,053,059,074,076,069,056,070,064,056,060,034,049,042,038,039,036,035,037,047,045
28,053,047,052,059,065,059,071,090,071,074,071,059,056,045,045,058,028,031,030,030,031,042,033,065
29,046,053,048,049,062,071,054,070,081,080,073,052,044,031,024,036,033,022,014,025,033,023,032,028
30,021,033,038,029,051,070,054,053,050,050,042,040,038,039,035,035,033,006,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
