Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,2,-1,173,151,258,-1,1,-1,1,126,2,8,12,-1,1,-1,1,-1,86,28,143,93,-1,72
2,12,13,138,76,84,-1,7,1,-1,21,-1,1,-1,1,-1,1,-1,2,-1,52,153,1,84,17
3,7,2,338,124,118,23,63,50,3,1,-1,9,17,125,147,57,132,92,47,35,164,96,9,74
4,41,11,16,10,11,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,13,41
5,57,-1,210,22,-1,1,-1,-1,14,6,1,1,-1,3,2,2,90,174,-1,-1,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,19,164,333,3,-1,-1,-1
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,182,53,282,118,104,66,115,315,145,-1,52
8,1,19,138,65,27,-1,2,-1,1,-1,-1,1,2,-1,-1,-1,7,61,53,70,7,-1,-1,20
9,6,4,69,13,21,6,10,1,3,-1,1,1,-1,92,23,316,398,329,251,183,79,61,20,301
10,219,370,111,8,44,37,-1,-1,-1,-1,-1,-1,-1,-1,79,231,171,118,269,31,85,66,1,14
11,42,1,1,2,16,3,-1,1,-1,2,2,1,13,1,1,5,167,79,57,80,89,75,1,85
12,59,18,-1,10,2,2,2,1,3,2,-1,3,1,1,1,5,7,70,31,145,193,89,4,110
13,44,53,83,32,36,66,66,39,4,1,1,2,1,11,12,111,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,122,2,6,205,62,13,94,101,-1,73,95
15,161,-1,180,27,60,224,135,84,127,217,287,2,1,-1,117,1,1,-1,2,26,1,-1,15,174
16,203,3,36,110,288,95,48,219,11,263,215,255,423,417,184,69,414,341,155,71,24,95,26,3
17,2,10,1,3,-1,3,97,457,36,2,-1,-1,-1,-1,-1,56,92,92,169,29,39,92,-1,132
18,88,306,42,1,181,367,146,296,9,-1,-1,1,-1,1,-1,2,-1,1,15,17,4,-1,1,28
19,-1,5,27,84,-1,-1,105,101,3,-1,-1,64,10,2,2,4,2,-1,1,-1,1,-1,3,1
20,47,-1,2,-1,1,-1,68,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,60,46,-1,86,94,56,248,249,-1,11,95
24,82,245,173,97,-1,29,31,118,43,92,38,96,71,83,206,237,68,155,281,27,275,441,88,112
25,3,15,1,3,-1,2,234,1,37,155,162,10,-1,2,-1,2,10,-1,1,61,1,-1,1,1
26,2,2,-1,231,165,2,2,2,2,3,2,4,-1,-1,-1,1,-1,4,-1,-1,1,-1,1,4
27,13,4,34,144,100,5,4,8,7,11,2,267,316,147,1,3,235,315,272,168,1,-1,1,16
28,4,60,142,231,16,-1,51,67,2,-1,-1,81,-1,-1,-1,12,2,11,-1,27,16,9,-1,253
29,234,103,443,242,33,1,-1,32,157,1,-1,1,19,6,-1,1,-1,3,190,541,168,39,1,2
30,-1,4,-1,8,-1,1,-1,1,-1,1,1,1,-1,-1,15,34,2,-1,-1,285,192,60,82,432
31,51,81,159,181,214,234,178,123,7,-1,3,-1,-1,-1,117,250,400,306,165,138,-1,-1,24,1
