Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,8,-1,-1,3,6,76,16,23,4,9,5,4,7,4,2,9,1,1,2,6,2,3,9,-1,-1
2,6,1,3,4,8,-1,5,40,25,23,12,6,17,2,3,2,6,9,13,9,29,19,3,13
3,2,2,6,11,39,46,15,31,10,53,44,25,72,15,1,6,4,1,6,5,3,6,22,2
4,2,-1,-1,1,7,10,10,11,-1,-1,-1,11,39,2,1,3,1,1,2,2,4,9,1,-1,-1
5,1,-1,1,6,11,-1,13,18,8,13,7,5,7,1,5,5,1,2,3,6,6,16,5,-1,-1
6,8,-1,-1,9,6,27,22,15,14,14,12,17,5,6,5,13,6,1,7,3,7,5,3,-1,-1
7,3,-1,-1,2,2,7,10,19,9,8,10,13,5,8,8,2,1,2,6,7,7,5,5,-1,-1
8,8,-1,-1,9,16,11,9,27,6,9,5,14,2,3,3,4,1,5,1,3,4,6,3,11
9,3,-1,-1,5,7,7,6,6,3,7,3,5,7,2,2,6,6,1,-1,5,10,10,2,-1,-1
10,-1,-1,-1,2,7,5,4,4,5,5,9,10,1,1,10,14,3,15,1,1,9,4,1,3
11,-1,1,1,1,10,4,4,6,6,5,14,3,6,2,1,1,1,3,4,8,3,3,6,2
12,6,-1,-1,5,5,11,6,9,11,21,5,14,3,1,2,8,-1,2,-1,4,3,14,2,-1,-1
13,-1,-1,-1,4,5,24,10,5,10,6,4,11,3,2,1,1,1,1,3,3,2,2,2,-1,-1
14,1,-1,-1,-1,3,11,15,5,8,11,16,12,14,5,4,2,1,1,6,4,4,9,11,22
15,6,11,12,5,9,25,31,15,14,12,6,8,3,2,4,-1,3,6,4,9,3,10,26,-1,-1
16,-1,-1,3,8,11,20,15,18,13,7,10,4,3,3,1,4,1,1,4,20,34,11,6,3
17,-1,17,-1,5,16,-1,17,12,7,11,8,9,10,4,5,3,1,2,-1,-1,2,7,8,-1,-1
18,-1,-1,-1,14,19,29,8,29,6,15,4,4,4,7,2,1,-1,2,4,1,5,6,10,1
19,-1,-1,-1,15,19,15,15,9,20,13,11,11,3,21,3,4,3,4,1,10,9,13,6,-1,-1
20,-1,-1,-1,6,10,10,7,18,14,22,13,12,10,6,3,15,6,6,1,4,6,8,2,-1,-1
21,-1,-1,-1,3,13,8,10,16,15,4,3,8,6,3,4,4,9,7,12,2,8,13,8,-1,-1
22,-1,-1,-1,6,8,17,11,21,9,15,7,5,3,5,1,3,1,4,2,8,2,6,3,-1,-1
23,-1,-1,-1,14,22,12,29,19,20,7,3,21,11,2,7,1,-1,-1,5,5,5,4,7,-1,-1
24,-1,-1,-1,1,35,29,26,20,18,10,14,10,3,2,2,1,1,7,1,2,6,14,7,-1,-1
25,-1,-1,-1,5,9,18,10,13,8,4,6,4,2,4,3,1,-1,3,2,3,3,12,8,-1,-1
26,-1,-1,-1,3,13,30,20,7,14,12,3,15,5,4,2,2,-1,2,2,3,2,8,2,-1,-1
27,1,-1,-1,4,8,11,14,26,18,5,10,7,14,8,5,1,1,-1,2,6,5,16,12,2
28,3,-1,-1,10,5,36,16,18,16,8,9,4,3,6,2,5,5,1,1,3,9,9,-1,-1,-1
29,-1,-1,4,12,9,14,12,3,9,1,10,14,7,5,1,4,4,6,15,1,-1,-1,-1,-1,-1
30,-1,-1,-1,3,62,3,21,19,3,16,15,15,-1,10,2,3,1,5,3,12,-1,-1,15,10
31,17,2,7,9,59,9,13,8,7,25,7,4,24,-1,3,2,1,1,3,44,2,-1,-1,-1,-1
