Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,34,36,44,64,57,58,36,54,51,42,79,43,49,51,43,34,17,21,17,10,10,16,30,45
2,33,43,32,58,65,75,24,54,52,48,51,59,64,41,42,30,36,7,7,13,7,14,27,27
3,32,31,36,102,61,52,37,24,52,40,60,37,43,50,35,25,18,13,10,18,14,25,23,30
4,27,46,44,54,63,43,32,37,52,59,57,52,49,52,36,23,30,17,14,13,15,15,25,32
5,20,44,60,66,69,65,54,43,67,56,84,60,55,50,34,20,17,20,12,15,20,27,26,27
6,43,43,46,43,50,50,33,58,71,61,56,79,41,54,53,60,31,21,16,15,22,20,33,39
7,47,40,34,75,61,60,43,28,49,57,72,57,55,42,35,25,13,16,11,14,26,37,44,40
8,31,31,52,73,53,55,33,27,58,64,59,67,62,56,54,27,20,19,9,12,26,22,39,38
9,34,61,61,69,60,74,57,53,59,80,88,79,68,73,59,40,35,15,9,22,27,41,35,36
10,49,42,60,73,59,66,52,38,64,70,81,75,81,75,59,34,30,13,16,16,22,38,48,47
11,45,44,65,70,67,81,73,50,68,78,84,73,100,64,56,32,36,23,12,15,19,22,28,44
12,42,43,57,67,76,57,48,57,71,77,76,50,61,50,43,33,27,20,14,18,26,32,41,55
13,58,46,57,80,82,52,61,69,87,83,68,61,62,80,52,41,28,29,19,23,21,29,34,48
14,59,39,67,63,85,69,65,51,52,56,-1,-1,-1,-1,60,36,37,27,18,18,22,14,34,32
15,45,59,59,63,63,59,60,43,61,89,91,86,79,88,61,33,31,19,24,15,21,30,37,29
16,39,48,52,92,76,63,53,43,71,71,53,70,48,70,62,43,27,37,21,5,23,22,34,41
17,37,52,58,63,74,68,54,60,58,58,96,57,70,61,53,36,26,17,15,14,19,10,35,40
18,43,58,48,65,79,53,54,58,73,89,84,73,45,63,50,30,24,19,18,12,23,17,32,24
19,31,31,49,58,55,50,40,60,61,70,80,68,65,54,47,41,20,17,15,10,10,18,41,33
20,34,45,51,61,63,58,42,34,55,62,52,69,53,48,43,37,22,17,13,17,14,9,19,23
21,39,39,54,57,54,37,43,30,52,71,70,47,58,42,41,38,23,8,16,10,16,20,32,34
22,43,42,56,67,66,50,48,48,76,70,67,62,50,64,41,38,21,15,23,10,12,11,23,40
23,31,51,42,62,71,65,39,53,54,71,72,64,72,48,51,40,13,16,21,10,11,15,24,40
24,44,52,63,58,59,54,69,68,87,55,74,76,46,50,60,38,26,12,9,14,16,27,39,43
25,42,42,80,64,75,51,56,37,74,65,54,69,48,53,45,38,31,11,15,5,12,23,27,32
26,33,55,56,65,48,45,45,58,62,79,69,62,66,63,63,41,25,20,11,10,19,14,30,32
27,61,42,54,51,47,41,44,52,49,75,78,64,55,44,41,38,31,20,15,10,26,29,32,32
28,56,80,53,75,66,60,53,75,92,70,75,54,79,58,47,46,26,17,19,9,13,15,32,42
29,39,50,57,74,60,69,59,74,97,88,69,63,80,69,43,36,30,29,17,21,14,30,38,40
30,49,44,50,66,59,69,39,74,71,78,82,81,84,73,51,29,33,18,11,9,20,21,43,38
31,50,55,65,67,70,58,71,71,100,84,90,72,53,50,29,37,28,25,23,14,19,30,37,41
