Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,57,73,79,68,58,76,80,75,55,63,56,44,64,57,18,-1,-1,35,76,85,82,84,78,79
2,76,70,93,94,73,75,78,63,71,72,50,67,29,70,72,58,62,66,55,68,70,78,68,78
3,76,79,86,73,76,68,77,66,61,70,75,63,78,94,79,76,68,84,87,72,71,74,70,59
4,84,83,90,85,84,84,82,67,65,77,80,77,77,79,72,86,74,72,81,74,58,83,78,73
5,-1,-1,-1,-1,1,3,2,3,4,1,2,1,1,-1,1,9,-1,-1,-1,1,-1,2,2,2
6,-1,-1,-1,-1,-1,1,-1,-1,2,5,2,3,53,39,47,62,44,50,42,47,53,73,81,76
7,59,65,71,69,68,55,54,49,52,55,60,67,49,48,50,55,57,51,71,40,52,85,72,86
8,58,65,70,76,69,53,47,68,42,52,58,54,74,50,59,40,56,64,62,44,45,68,58,69
9,68,72,68,68,63,62,55,64,58,62,56,51,63,53,59,42,53,42,33,47,34,30,47,55
10,55,58,73,60,58,50,54,38,34,46,46,52,50,44,25,46,36,57,55,63,50,52,58,74
11,75,71,82,103,63,63,75,62,42,47,55,45,60,48,74,62,65,60,52,58,52,60,58,53
12,61,63,85,69,75,69,62,56,46,58,47,49,48,50,32,50,62,49,49,51,52,53,45,68
13,49,79,86,61,61,50,45,56,44,38,38,30,32,29,24,34,42,30,34,30,36,61,24,71
14,85,64,77,59,33,41,47,49,42,51,39,50,53,40,37,30,41,20,32,28,34,44,62,54
15,57,64,36,35,42,37,44,44,33,39,35,34,39,45,25,34,32,36,35,31,26,35,36,27
16,42,32,23,39,16,28,35,35,30,29,36,44,32,38,33,38,40,35,44,30,38,42,38,46
17,43,43,32,37,33,24,47,44,34,27,26,28,26,37,19,32,26,34,21,27,29,22,23,56
18,59,24,26,28,41,43,62,43,53,46,36,26,34,28,35,27,18,-1,-1,-1,-1,-1,-1,-1,-1
19,-1,-1,13,37,48,50,68,51,47,48,38,47,37,40,51,38,57,49,51,44,38,51,62,71
20,63,46,48,38,46,48,50,51,33,43,26,31,32,18,14,33,36,29,13,32,35,54,69,117
21,95,87,38,45,36,30,45,43,36,67,49,34,38,16,22,20,35,31,16,26,22,27,43,62
22,50,47,43,38,48,44,63,55,35,34,44,52,41,40,31,16,30,33,26,38,45,24,35,58
23,45,49,33,48,55,52,55,59,44,48,35,33,21,33,21,29,33,34,21,27,33,17,25,35
24,55,54,79,55,60,63,76,46,35,43,31,42,52,36,34,24,28,34,35,36,28,22,49,49
25,34,56,72,84,72,62,78,71,46,31,39,42,52,42,33,51,42,38,24,46,30,34,25,40
26,55,70,64,49,75,73,74,56,55,52,46,48,65,41,25,48,36,65,41,27,7,48,83,71
27,86,44,82,57,68,60,59,36,26,20,48,41,51,39,37,44,47,37,45,44,54,87,86,89
28,99,117,-1,133,66,71,69,77,56,51,31,41,61,28,35,22,34,14,13,16,19,61,51,41
29,30,52,60,49,42,51,57,35,12,38,25,26,31,23,25,50,22,26,15,22,17,20,25,30
30,42,33,37,33,30,43,25,23,19,24,27,25,30,23,33,26,15,17,10,21,21,13,21,34
31,39,24,30,32,31,45,35,25,26,26,25,29,18,14,4,11,20,11,6,8,11,6,13,22
