Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,-1,232,225,208,198,177,161,145,126,95,92,247,103,99,111,131,-1,-1,-1
2,-1,277,236,232,236,-1,-1,-1,210,247,222,152,182,142,94,220,85,77,74,94,109,48,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,93,181,178,151,132,125,99,78,55,64,70,71,106,86,114,110,157
4,187,205,189,176,159,161,130,143,165,189,227,180,176,-1,-1,86,75,54,56,65,77,84,117,165
5,205,270,-1,-1,-1,-1,249,156,296,168,156,159,133,115,86,65,58,57,62,82,81,106,137,160
6,172,191,176,161,173,147,156,169,179,183,155,177,133,177,121,216,93,57,62,78,112,130,182,182
7,217,214,215,-1,-1,-1,-1,-1,-1,137,142,-1,157,108,115,69,65,57,46,70,93,111,141,188
8,194,181,193,239,-1,-1,161,156,177,197,220,166,162,153,122,86,69,65,70,94,103,132,194,203
9,217,230,188,222,206,209,192,212,179,187,220,173,166,134,88,85,77,75,67,101,103,134,161,170
10,228,241,203,218,170,173,172,177,185,195,181,185,145,153,112,76,54,67,76,98,100,127,131,193
11,204,158,203,180,177,168,188,169,158,195,227,177,162,136,102,79,66,82,66,84,95,124,138,198
12,225,238,237,192,185,206,203,216,210,226,208,206,135,128,115,74,69,59,71,81,91,115,164,210
13,236,205,209,197,183,160,182,203,212,194,167,196,149,145,121,80,64,66,54,70,102,123,161,207
14,212,203,216,213,177,159,181,185,185,184,206,188,162,134,110,85,67,74,69,84,108,129,163,180
15,216,202,207,200,149,176,180,215,187,179,165,173,173,111,97,82,72,66,57,69,90,105,145,186
16,207,207,205,209,164,174,179,188,215,241,235,196,140,136,112,68,68,67,56,80,104,98,152,162
17,187,197,188,169,170,188,166,190,215,218,210,163,138,145,110,71,55,63,63,72,99,120,139,173
18,204,233,169,208,185,189,168,190,199,176,191,175,156,130,117,76,62,65,70,78,75,127,141,168
19,163,187,170,191,180,161,178,172,165,195,234,190,147,134,117,67,56,61,60,71,104,111,148,165
20,205,224,212,197,156,147,150,218,204,215,197,217,171,116,94,82,69,46,51,64,78,110,159,155
21,196,202,215,215,171,150,208,196,210,212,192,211,160,146,91,73,68,50,58,72,98,124,154,178
22,192,186,188,190,144,182,191,199,213,224,204,195,172,135,107,85,71,75,78,78,79,102,141,144
23,195,243,212,192,184,182,179,209,212,222,200,193,144,122,118,60,58,66,60,91,106,121,171,181
24,220,242,178,162,172,174,159,202,198,246,203,193,-1,155,95,88,53,65,62,71,72,112,160,181
25,185,196,200,169,190,152,216,229,258,220,215,167,162,151,113,92,63,59,74,80,100,111,167,199
26,204,226,219,173,191,169,209,207,213,248,226,191,154,147,115,67,63,58,63,74,110,135,151,190
27,201,237,237,194,182,170,174,255,231,206,210,225,209,122,101,84,65,61,50,86,78,118,146,179
28,199,238,211,235,108,192,255,312,278,287,304,245,240,187,116,123,76,72,92,78,117,174,161,229
29,279,276,287,244,219,221,239,266,308,262,280,238,207,173,127,102,100,82,96,94,124,186,193,250
30,252,260,265,225,263,213,262,277,295,283,296,259,221,202,148,87,92,79,91,99,96,149,174,213
31,229,221,236,221,232,227,263,265,287,257,260,216,193,153,107,82,63,54,54,66,94,136,163,200
