jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,77,92,83,130,97,91,101,110,67,97,79,80,71,62,73,43,46,40,29,41,42,37,40,73
02,104,104,108,105,119,122,93,85,80,83,78,107,71,38,46,43,36,39,39,28,36,49,41,63
03,51,70,101,103,114,120,116,131,85,90,89,104,81,74,117,75,89,77,98,114,117,100,80,101
04,136,191,214,187,189,188,169,171,115,97,103,135,114,60,88,53,42,51,44,40,54,67,57,52
05,64,87,87,134,105,104,106,102,91,74,83,109,89,55,52,41,36,36,26,32,36,57,65,40
06,34,59,128,129,132,119,127,102,78,65,66,64,63,76,55,38,30,31,19,29,29,67,34,45
07,44,51,95,106,119,110,84,93,76,72,84,73,61,41,35,35,36,34,32,28,61,61,35,45
08,41,69,124,128,119,99,101,76,84,96,79,70,40,55,64,59,28,26,20,23,35,30,29,46
09,53,67,76,96,82,77,76,74,64,71,74,72,55,52,41,47,27,24,17,13,26,24,13,0
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,29,44,76
12,73,84,117,118,106,95,86,81,79,52,88,88,69,46,46,41,36,32,31,35,47,44,34,75
13,56,81,96,94,108,98,85,85,63,80,86,66,53,44,31,33,30,17,26,12,28,37,28,53
14,69,96,103,111,136,102,85,77,95,59,53,44,50,39,53,34,40,30,17,15,37,34,25,56
15,60,85,110,119,127,113,96,78,77,90,77,74,71,55,50,38,48,25,24,30,32,26,50,33
16,53,79,88,105,91,93,95,87,71,73,74,79,72,48,40,41,37,33,17,17,26,27,27,41
17,61,82,79,106,89,93,93,62,58,82,84,91,70,71,54,43,22,19,13,26,25,30,25,32
18,46,79,96,98,94,92,98,76,67,92,78,86,50,62,49,37,37,31,26,34,31,22,17,47
19,65,71,99,106,105,91,83,90,80,89,83,67,60,46,35,40,49,37,19,26,32,38,18,37
20,48,67,84,106,99,82,72,67,62,48,51,35,37,30,26,20,30,28,22,21,19,33,22,28
21,36,48,83,119,98,98,90,79,44,39,36,56,67,46,26,21,27,14,15,21,25,24,43,35
22,33,37,112,119,124,131,73,48,85,77,85,84,58,40,53,37,22,31,23,37,48,44,35,34
23,74,93,107,123,115,92,93,78,93,74,75,68,54,52,41,37,32,28,34,34,34,36,31,27
24,39,50,74,94,81,76,69,60,78,72,68,47,31,38,47,-1,-1,-1,-1,-1,25,23,22,31
25,54,67,82,89,86,90,68,73,55,74,72,65,49,24,38,17,28,24,25,38,45,36,30,54
26,46,59,77,72,60,59,73,43,65,78,36,49,42,44,27,37,23,17,29,29,16,30,39,44
27,49,55,62,71,93,71,72,74,56,53,50,58,40,49,40,34,27,23,10,8,28,36,31,41
28,49,62,54,79,70,67,71,62,57,55,58,52,40,30,19,15,13,9,12,15,20,20,18,33
29,43,46,52,65,69,65,69,43,57,47,53,43,27,36,24,32,20,14,13,26,25,21,24,16
30,24,54,53,59,53,45,57,51,54,61,45,35,21,23,35,26,17,15,14,20,23,21,23,28
31,39,50,44,69,61,50,56,49,40,58,52,44,46,34,30,21,20,22,16,12,19,39,41,39
