Jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,261,289,348,351,324,259,281,268,298,244,181,157,130,130,87,62,50,56,54,106,122,157,203,183
2,244,284,298,285,246,27,5,15,160,206,218,174,168,136,90,76,67,67,86,119,179,199,227,193
3,216,291,329,364,367,190,207,258,286,278,252,185,188,165,125,62,54,59,82,82,144,183,219,193
4,221,269,320,353,306,263,269,291,306,217,211,175,186,167,118,78,64,55,57,104,157,194,205,197
5,208,267,310,345,348,315,323,293,294,250,149,126,91,94,100,70,49,51,67,107,133,145,183,160
6,205,257,330,365,303,316,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
7,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
8,18,270,333,300,293,246,266,264,186,172,188,163,152,143,118,72,60,77,82,88,134,175,193,191
9,207,298,319,337,304,244,254,299,259,223,205,164,151,138,80,66,75,55,74,105,136,157,164,177
10,136,219,280,332,272,263,283,279,188,232,186,155,187,150,126,58,75,56,79,81,144,189,167,190
11,249,265,326,356,307,270,249,300,280,214,204,202,174,156,118,81,53,53,73,92,141,185,163,183
12,227,230,304,299,295,262,274,253,254,207,186,154,166,129,97,75,58,29,55,82,122,156,159,150
13,184,192,277,291,231,225,251,226,275,176,157,151,131,111,77,72,47,38,58,94,119,148,146,139
14,187,227,288,291,277,224,200,229,229,192,148,139,131,131,87,63,47,47,67,74,115,140,155,159
15,203,263,335,321,297,233,237,283,272,219,226,186,180,166,112,73,57,50,64,83,109,147,147,160
16,198,248,301,341,262,249,253,283,277,216,187,151,139,157,108,55,60,83,64,92,104,154,154,126
17,192,240,271,304,292,231,256,274,291,204,173,155,178,144,102,81,52,61,80,96,127,159,137,152
18,193,211,247,277,267,227,142,27,227,210,163,178,159,152,102,89,41,68,53,75,65,107,133,176
19,192,201,27,295,293,271,253,262,165,235,150,132,170,147,107,63,59,38,62,98,126,155,166,189
20,202,261,319,336,280,266,266,278,253,212,192,153,171,136,83,67,54,45,68,81,129,148,151,173
21,197,234,300,283,245,241,240,243,265,187,173,149,149,130,101,68,43,41,61,92,130,153,123,126
22,188,245,278,300,264,238,224,241,222,189,178,155,134,131,96,79,54,50,79,71,114,123,140,135
23,143,214,239,216,228,195,195,237,222,161,164,139,155,141,103,75,60,44,61,84,113,180,152,147
24,187,242,280,310,257,208,226,243,237,181,139,150,180,132,109,68,40,42,58,59,124,139,144,142
25,154,203,260,271,213,212,224,253,258,187,162,184,161,130,98,59,47,39,56,78,88,133,139,158
26,160,196,247,260,230,223,203,243,230,199,148,142,158,111,94,80,45,36,77,92,104,132,133,179
27,175,221,292,262,270,245,269,277,272,196,203,216,175,127,100,64,53,36,61,85,122,122,142,169
28,186,245,262,289,251,202,235,259,279,205,158,144,130,131,108,67,51,55,47,67,70,78,10,39
