dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,7,22,30,27,38,23,45,36,53,37,20,57,37,30,7,17,12,28,29,10,22,33,52,53
02,28,48,57,57,68,59,62,55,41,20,37,34,39,39,29,29,18,33,31,27,24,43,33,17
03,24,26,21,17,20,28,9,48,44,67,37,32,11,16,29,17,22,10,27,35,7,25,31,37
04,17,29,49,42,45,29,37,34,41,50,36,34,20,22,33,28,17,22,26,37,32,65,64,42
05,26,49,45,54,62,64,70,52,53,52,23,22,37,33,27,29,10,11,31,33,58,27,53,51
06,50,42,63,55,51,56,73,57,56,52,41,26,26,31,19,30,22,17,28,38,29,49,63,55
07,36,58,67,50,32,55,60,48,51,30,45,32,22,22,22,16,3,19,33,34,31,33,38,34
08,39,55,49,45,48,40,52,46,55,44,36,38,26,12,7,15,14,21,26,46,45,44,97,96
09,84,54,47,61,63,54,47,52,50,33,47,22,8,26,7,6,10,9,32,47,48,46,59,69
10,36,62,58,40,34,59,42,44,51,39,19,28,21,16,11,21,16,34,28,52,55,72,85,102
11,62,85,86,57,45,74,77,70,76,43,41,28,33,16,26,11,25,31,43,54,80,67,94,105
12,108,38,39,88,116,143,158,109,113,74,51,46,25,32,20,18,28,35,69,104,120,111,162,153
13,150,158,156,124,143,138,142,115,105,112,71,64,37,34,15,19,40,66,83,81,98,106,151,136
14,167,162,137,140,140,107,126,97,87,86,59,41,39,31,32,16,19,41,47,32,42,60,42,49
15,21,38,40,26,30,28,32,61,54,63,67,59,28,18,22,33,27,23,29,17,21,22,21,38
16,46,36,61,49,57,65,48,63,27,33,26,30,43,22,29,30,14,24,9,24,39,43,45,37
17,43,20,51,53,56,60,61,76,61,28,45,46,43,31,26,17,23,16,18,46,33,42,36,52
18,59,46,42,63,57,66,69,75,48,50,42,35,39,32,38,10,34,28,34,29,23,24,40,39
19,38,31,53,62,43,59,70,57,115,75,32,29,40,38,12,31,30,23,24,34,44,22,40,30
20,28,23,19,31,39,47,35,55,66,41,30,28,21,29,20,13,17,30,30,42,38,48,35,42
21,20,23,33,18,25,24,29,49,46,17,27,32,20,22,16,19,9,27,24,30,48,49,37,46
22,36,26,47,49,69,71,103,80,86,64,44,53,38,48,34,26,19,20,33,40,47,41,51,69
23,53,35,49,36,53,64,54,57,57,47,28,52,33,32,7,29,23,41,29,32,44,47,44,61
24,39,45,30,48,36,41,55,56,56,48,31,65,22,31,33,13,50,70,22,33,34,30,36,46
25,56,34,47,38,49,59,65,55,30,40,50,41,33,29,20,12,20,23,33,35,33,41,28,38
26,43,45,24,43,46,43,38,56,51,50,43,40,50,25,31,14,24,12,16,26,35,14,15,31
27,41,44,56,55,53,43,61,61,56,62,38,41,45,35,16,12,21,26,36,27,23,45,62,40
28,34,37,50,46,49,55,47,59,54,43,32,33,41,32,19,10,20,32,23,27,25,38,44,46
29,32,30,47,58,34,35,53,58,40,38,-1,20,43,27,13,13,12,8,10,35,54,41,44,49
30,32,44,50,35,50,62,55,69,58,50,32,40,48,36,25,19,16,22,32,31,47,36,39,26
31,23,32,39,24,13,20,44,67,63,66,46,27,32,36,17,2,20,24,26,50,30,25,36,48
