dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,42,35,22,12,25,-1,-1,-1,9,15,10,14,33,42,40,37,49,53,67,62,71,73,56,-1,-1
02,37,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,41,58,39,62,71,62,63,77,106,88,73,63
03,32,23,21,31,29,-1,-1,-1,9,14,4,19,40,51,49,52,62,76,64,73,70,58,51,47
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,18,26,29,53,50,40,63,65,57,65,61,52,-1,-1,-1
05,16,13,12,-1,4,11,7,7,7,10,-1,23,50,28,24,51,58,71,70,90,72,77,64,26
06,16,6,-1,8,4,-1,-1,-1,10,6,9,15,34,51,52,19,37,45,63,66,58,62,51,36
07,-1,-1,15,9,21,7,13,6,-1,-1,-1,27,33,48,54,45,24,35,48,58,55,62,33,29
08,18,24,14,4,-1,7,1,9,9,12,9,28,57,54,61,60,58,82,89,67,67,74,66,39
09,13,-1,-1,-1,-1,-1,-1,18,-1,7,5,-1,31,62,61,64,68,73,69,52,84,88,-1,-1,-1
10,44,22,25,28,22,24,9,13,9,7,15,31,43,61,75,63,37,61,90,75,77,81,51,45
11,-1,-1,16,13,8,13,8,-1,8,10,10,22,34,51,71,70,50,76,105,95,66,60,59,36
12,15,-1,-1,15,14,13,10,2,12,23,28,61,72,96,138,39,37,69,113,97,36,-1,59,28
13,13,27,17,28,16,12,13,5,13,15,35,60,86,121,154,28,56,137,217,166,144,133,100,58
14,41,17,18,22,11,19,15,17,10,22,25,35,41,39,68,49,65,131,196,158,94,98,90,60
15,-1,-1,-1,-1,-1,-1,-1,8,9,8,10,14,21,16,10,50,30,45,67,41,36,30,64,40
16,19,19,14,11,14,8,24,10,5,6,6,4,9,7,11,15,27,33,42,46,40,60,46,38
17,22,33,31,39,13,21,12,6,9,7,5,10,15,14,15,13,16,12,16,17,22,29,38,28
18,39,28,15,21,-1,-1,11,17,10,8,9,8,15,17,13,14,17,14,36,21,25,29,72,41
19,34,28,15,19,18,6,5,4,4,4,7,8,16,21,15,13,11,11,21,22,25,36,59,42
20,32,27,24,26,30,12,9,1,7,15,3,11,8,14,12,13,12,27,28,40,43,35,58,36
21,22,17,-1,-1,9,3,3,5,7,17,11,11,30,39,23,12,33,23,21,30,24,27,60,36
22,29,18,14,14,20,31,26,28,24,23,16,10,34,21,30,39,60,62,31,23,19,31,49,50
23,32,21,18,-1,-1,-1,10,4,9,19,10,19,23,27,26,34,40,56,64,66,67,50,40,51
24,40,20,-1,18,12,6,10,14,11,10,13,18,21,35,41,26,41,43,48,48,67,55,40,54
25,36,32,21,23,25,13,26,-1,-1,4,12,16,35,17,34,41,48,56,51,43,41,53,64,48
26,28,25,35,33,28,15,24,4,8,10,10,16,24,29,17,35,22,45,40,46,47,51,51,60
27,24,12,-1,7,14,13,5,9,7,6,12,20,25,32,34,23,33,47,39,39,54,70,51,37
28,27,26,28,19,10,9,-1,9,6,6,8,27,29,34,22,50,43,61,69,58,71,65,64,51
29,-1,25,-1,-1,-1,-1,-1,7,5,7,8,16,20,26,39,41,42,48,53,70,48,55,67,50
30,29,26,35,21,18,-1,-1,-1,14,9,13,19,27,33,40,26,38,49,63,64,64,64,60,-1,-1
31,38,42,37,26,28,-1,13,10,13,-1,6,6,18,26,20,37,44,59,48,41,67,60,54,51
