Sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,5,4,8,19,15,18,12,50,15,-1,-1,18,9,-1,3,4,7,9,6,4,25,11,1,7
2,7,2,25,23,5,7,7,6,3,13,3,15,6,17,-1,-1,2,15,4,7,2,2,-1,-1,-1
3,1,3,25,42,5,8,14,5,22,17,20,21,2,6,6,5,16,1,55,45,13,3,-1,1
4,4,2,34,45,4,10,5,22,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,1,2,11,6,6,9,8,6,2,6,2,1,1,5,18,2,1,1,15,9,17,22,3,-1,-1
6,6,14,30,78,41,20,9,13,7,8,11,2,3,14,11,3,10,1,11,2,5,12,4,3
7,4,8,20,52,44,20,29,21,10,17,35,20,29,10,10,4,11,1,6,4,11,9,-1,5
8,10,1,35,50,21,7,17,12,14,7,10,12,13,2,11,5,9,2,1,8,4,20,10,3
9,21,30,30,59,9,7,7,20,10,15,15,21,9,10,7,5,18,41,22,13,1,3,-1,-1,-1
10,-1,6,1,16,4,17,7,6,4,10,7,12,7,2,7,19,16,5,14,8,4,1,-1,-1,-1
11,-1,3,10,4,5,24,20,13,10,12,5,32,6,3,4,2,20,4,2,2,7,3,-1,1
12,2,2,4,12,8,4,13,29,8,7,19,25,19,4,4,3,7,4,3,3,7,2,2,1
13,4,7,25,22,7,4,1,11,7,2,7,5,7,3,14,-1,-1,-1,-1,-1,9,3,1,1
14,3,8,10,14,45,12,5,3,-1,-1,-1,-1,-1,-1,-1,-1,22,9,4,3,6,4,1,2
15,2,4,9,26,11,13,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,3
16,1,5,1,8,9,18,7,9,17,5,5,8,7,11,3,1,4,4,3,4,7,4,1,6
17,1,7,25,9,11,8,6,38,8,9,6,16,4,4,1,3,9,2,11,10,6,3,1,3
18,3,13,11,9,3,15,5,3,2,15,14,6,2,1,5,4,2,4,2,7,4,3,3,1
19,12,10,15,16,15,18,6,17,10,14,14,14,5,2,5,4,2,16,2,2,3,4,1,1
20,2,9,16,13,14,9,9,7,13,14,12,9,6,6,6,5,2,3,4,3,2,4,3,3
21,12,20,14,14,7,28,26,22,13,22,11,5,28,9,12,5,2,3,18,9,8,12,2,7
22,8,12,12,20,18,16,13,22,28,13,12,28,11,3,3,14,9,6,5,10,9,6,2,4
23,13,6,11,21,17,22,14,17,14,7,34,7,6,20,4,13,6,4,2,8,6,2,2,-1,-1
24,3,6,9,17,5,28,39,10,14,5,6,11,10,4,5,6,2,4,5,2,3,2,1,-1,-1
25,2,5,6,23,18,57,10,12,37,10,8,8,11,8,3,3,3,2,6,9,7,10,2,3
26,8,12,14,38,26,24,13,18,10,17,14,18,8,22,12,9,7,10,3,11,4,4,6,2
27,-1,-1,-1,-1,3,15,20,11,14,13,11,30,14,4,14,6,1,14,4,3,9,7,20,23
28,15,8,23,31,20,16,23,14,24,-1,38,35,30,7,27,1,1,2,18,7,21,15,-1,11
29,11,25,20,21,36,33,21,32,25,10,30,23,12,17,-1,16,12,11,11,15,11,16,4,13
30,13,15,27,24,13,21,44,18,15,25,31,19,8,9,5,4,15,8,18,21,10,9,3,10
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
