Dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,7,22,11,11,11,5,6,6,9,13,14,18,23,11,22,21,16,11,10,22,20,-1,-1,-1,-1
2,-1,-1,9,10,16,16,5,13,12,13,-1,-1,-1,-1,20,15,24,12,16,14,-1,-1,-1,-1,-1
3,-1,-1,12,9,9,13,13,12,8,10,-1,-1,-1,-1,17,12,10,6,17,16,-1,-1,-1,-1,-1
4,-1,-1,14,14,21,18,6,15,15,9,-1,-1,-1,-1,-1,18,13,17,24,20,15,5,-1,-1,-1
5,-1,19,18,13,17,13,10,10,27,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,20,8,10,7,5,18,14
7,-1,-1,-1,22,8,19,12,16,13,13,13,14,9,21,9,17,16,10,10,17,18,15,7,-1,-1
8,21,22,18,5,17,15,13,14,11,6,12,18,24,25,19,9,17,20,23,15,-1,-1,-1,-1,-1
9,-1,-1,-1,17,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,-1,-1,-1,-1,19,14,22,17,14,11,18,26,20,25,19,9,5,12,7,11,5,8,16,20
12,10,9,10,-1,-1,-1,12,11,16,20,16,28,42,26,27,16,20,15,14,13,15,12,17,26
13,23,25,18,23,22,16,29,26,28,34,43,46,48,37,23,24,12,12,15,16,9,3,17,7
14,7,17,20,31,41,62,59,56,48,60,63,56,42,30,25,17,18,23,13,15,7,15,13,18
15,10,10,19,30,37,42,25,21,27,31,24,26,18,21,15,5,19,11,8,7,15,15,17,14
16,10,8,8,15,14,13,14,14,15,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,16,11,14,6,10,7,7,9,11
18,4,5,8,8,6,4,9,7,5,8,7,6,10,-1,-1,-1,-1,-1,14,17,18,8,3,11
19,6,10,13,18,5,2,9,6,11,17,11,16,19,19,19,10,10,11,14,16,11,10,11,-1,-1
20,-1,-1,-1,20,16,6,10,12,8,7,8,20,11,-1,-1,-1,13,12,16,21,12,11,21,-1,-1
21,-1,-1,15,12,9,15,21,17,17,18,21,21,25,21,19,11,22,21,18,9,19,7,14,-1,-1
22,-1,15,14,4,10,7,6,5,9,4,13,14,24,19,13,12,14,21,6,8,14,12,11,10
23,10,16,13,9,7,10,8,5,4,14,-1,-1,-1,-1,-1,-1,-1,-1,7,16,7,8,-1,-1,-1
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
