nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,000,000,000,000,000,000,000,201,182,173,193,181,162,135,142,143,108,135,120,140,138,126,149,175
02,168,145,117,125,161,173,180,146,210,192,179,169,163,156,128,155,136,120,132,131,162,136,141,137
03,123,110,179,175,191,118,161,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
04,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,124,000,000,136,135,129,124,158
05,170,176,180,191,141,190,194,205,197,210,181,188,132,119,116,123,125,124,099,122,135,144,166,162
06,136,128,140,128,158,163,156,176,170,196,165,166,142,102,100,128,126,124,128,121,146,151,141,154
07,175,168,165,167,203,222,212,189,210,166,199,179,161,147,121,129,117,128,125,145,142,141,135,150
08,146,173,173,166,193,176,160,163,162,158,151,151,140,117,145,145,118,000,000,000,000,000,000,000
09,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
10,000,000,000,235,000,000,000,000,000,185,170,162,153,153,129,142,123,140,132,133,133,142,158,153
11,158,168,191,198,216,210,239,193,189,207,209,189,160,149,158,139,128,144,146,166,154,119,130,168
12,156,183,172,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
13,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
14,000,000,000,000,000,000,000,000,000,000,000,000,000,120,000,140,000,000,000,000,000,179,185,167
15,183,171,189,202,187,193,190,195,181,188,185,198,174,168,142,125,126,143,129,127,117,124,134,138
16,132,172,180,191,214,174,181,179,174,175,165,172,167,161,156,155,121,117,120,143,117,135,115,126
17,155,176,171,163,184,188,184,157,152,185,000,000,000,000,000,000,000,000,000,000,000,000,000,000
18,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
19,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
20,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,129,000,000,000
21,166,173,172,207,217,209,191,188,204,203,174,158,162,156,138,134,119,112,103,093,131,128,137,122
22,133,139,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
23,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
24,000,153,000,000,000,189,188,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
25,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
26,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
27,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
28,000,000,000,000,000,000,000,000,000,000,000,000,120,000,000,000,000,000,000,000,000,000,000,000
29,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,093,115,126,126,122,128,129
30,147,150,119,154,137,128,143,163,168,158,132,107,151,122,120,095,103,098,097,096,097,120,085,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
