nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,21,24,19,26,21,38,48,46,48,77,76,102,110,73,53,72,61,42,47,27,33,22,25,19,""
02,16,20,26,32,29,49,33,39,58,64,81,84,83,92,77,62,69,56,36,39,29,27,23,17,""
03,15,22,24,27,29,40,43,31,49,62,85,99,98,86,61,72,58,67,56,37,36,-1,-1,-1,""
04,-1,-1,5,21,32,34,49,30,45,57,80,74,82,64,54,56,65,52,42,47,47,14,22,19,""
05,17,18,20,35,46,46,52,40,56,60,102,76,97,104,52,44,76,50,52,43,35,22,26,18,""
06,22,12,12,22,35,38,35,37,62,96,107,91,79,82,61,64,59,48,43,35,27,33,21,12,""
07,22,5,29,20,25,43,47,37,53,66,89,88,105,82,76,96,70,72,67,42,31,22,23,13,""
08,16,19,16,22,38,45,35,43,62,70,87,92,87,77,53,67,71,69,48,46,30,40,28,15,""
09,19,16,13,26,27,40,39,32,52,93,113,100,85,51,75,71,94,58,58,36,26,22,26,13,""
10,12,14,15,24,20,27,29,31,53,56,85,96,87,68,61,76,63,48,31,31,25,35,21,11,""
11,9,12,16,24,20,27,32,36,48,58,89,94,73,73,67,76,29,58,34,37,43,33,26,14,""
12,23,20,15,25,25,32,35,37,44,74,89,85,84,68,53,82,76,75,43,55,29,29,20,23,""
13,11,14,16,21,35,28,36,33,46,82,90,93,84,87,73,77,60,38,41,29,26,31,19,19,""
14,11,11,17,23,18,32,35,39,65,87,91,77,82,66,58,74,70,53,59,44,34,26,23,13,""
15,13,7,17,24,28,28,28,36,45,70,103,108,89,99,66,75,61,74,46,36,38,33,31,24,""
16,19,11,22,29,18,29,27,35,43,70,74,100,91,82,81,64,72,67,51,32,44,41,16,28,""
17,18,13,20,24,18,15,18,33,49,51,69,71,81,69,60,71,61,62,56,50,38,27,30,20,""
18,20,14,20,23,29,32,24,36,43,59,84,80,91,67,60,77,86,40,46,33,31,31,28,10,""
19,21,18,34,28,24,31,44,23,55,82,89,100,83,75,77,77,83,71,56,56,53,28,25,22,""
20,15,17,21,29,21,32,31,32,51,85,84,77,95,85,75,79,59,53,40,44,49,32,30,19,""
21,15,9,20,23,14,26,41,47,46,71,93,108,111,105,81,79,66,76,41,37,32,25,10,22,""
22,21,20,28,21,24,41,34,32,50,63,82,99,92,98,112,72,65,69,55,46,41,30,19,28,""
23,12,7,17,31,32,35,32,33,48,76,63,104,92,86,75,91,74,66,47,49,41,26,20,18,""
24,10,11,17,27,35,32,38,42,51,82,84,114,102,96,75,64,58,58,51,37,31,28,27,10,""
25,19,10,23,22,32,32,24,42,49,59,79,94,109,91,62,82,84,69,51,38,33,35,23,22,""
26,19,17,20,15,21,30,19,23,44,58,98,96,101,107,87,102,77,66,67,52,56,37,25,24,""
27,17,16,15,35,38,28,39,52,62,72,109,119,111,88,72,80,59,61,47,34,38,30,20,15,""
28,19,14,16,17,24,39,34,53,50,53,74,93,88,90,79,71,69,62,55,49,45,23,21,23,""
29,20,21,28,26,30,34,26,35,42,68,75,126,97,102,91,87,99,94,58,62,52,44,26,29,""
30,19,19,20,27,20,37,44,43,59,66,109,102,104,101,88,79,78,49,42,42,45,22,20,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
