feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,3,0,0,0,0,0,0,1,0,2,1,3,2,4,4,5,5,2,3,1,4,2,1,0,""
02,0,1,0,0,0,0,0,1,2,9,2,2,1,2,3,2,1,3,3,1,0,7,2,5,""
03,7,2,2,3,10,2,7,12,20,30,39,49,54,41,61,72,60,59,65,81,52,37,16,19,""
04,12,7,4,20,7,8,9,9,23,27,26,34,40,39,45,28,43,29,28,20,17,18,9,14,""
05,4,2,4,5,3,8,8,14,23,33,29,37,31,34,32,32,39,38,32,17,20,5,5,2,""
06,6,3,10,6,7,6,1,2,12,7,12,10,9,8,15,11,23,14,16,16,16,9,16,4,""
07,2,4,3,2,2,2,2,5,2,7,9,10,8,7,9,12,12,20,20,14,11,10,1,3,""
08,2,3,2,1,2,4,4,12,24,36,38,31,37,25,21,42,31,28,38,31,27,14,6,6,""
09,3,13,5,5,3,1,1,10,8,16,17,24,23,28,34,47,39,48,31,30,32,9,8,8,""
10,7,4,5,7,6,6,7,12,10,31,24,21,24,27,52,56,66,61,59,49,32,32,13,17,""
11,9,14,11,19,15,20,29,33,46,39,53,46,55,51,52,62,66,53,30,43,32,29,12,15,""
12,7,3,5,12,9,4,2,6,7,12,24,11,21,25,42,41,54,62,68,44,54,28,19,5,""
13,10,4,1,4,9,7,4,4,12,19,27,45,56,83,97,109,114,86,95,88,70,60,15,8,""
14,13,18,18,17,24,46,27,43,48,84,113,94,90,110,123,126,102,127,89,128,70,67,60,61,""
15,45,10,9,11,27,35,35,38,62,54,32,75,124,122,96,123,75,103,142,174,154,110,89,87,""
16,39,65,70,54,66,51,48,97,89,67,70,73,84,81,102,102,105,91,87,77,32,21,23,24,""
17,16,15,12,16,14,21,32,37,60,57,58,52,61,38,61,73,89,75,53,41,31,36,16,10,""
18,16,6,7,7,8,8,6,20,23,12,17,19,20,16,13,18,27,27,13,14,14,33,54,24,""
19,24,13,13,19,23,26,25,38,54,39,40,53,49,52,60,70,61,54,50,66,50,26,24,19,""
20,12,8,6,7,8,6,3,5,4,15,16,17,25,29,29,32,44,50,55,64,36,20,9,4,""
21,3,51,0,6,3,5,0,2,7,3,9,23,5,10,4,7,10,10,11,7,12,11,15,11,""
22,5,7,3,4,7,2,5,2,7,17,14,15,26,29,23,29,37,34,34,17,17,12,5,4,""
23,4,0,0,0,0,1,0,2,0,0,0,5,1,2,7,2,2,0,3,5,11,0,4,2,""
24,1,2,0,0,4,16,6,7,9,13,6,10,4,0,1,2,4,5,4,10,4,6,2,2,""
25,0,0,0,2,4,5,1,1,4,1,1,11,21,38,24,39,52,39,33,27,27,21,18,14,""
26,8,10,15,11,7,4,8,17,16,18,18,23,24,26,24,16,26,20,28,20,21,9,10,6,""
27,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
