aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
0,84,91,82,66,72,71,58,71,60,44,60,35,43,38,50,52,61,35,52,34,44,56,67,66
1,89,76,67,78,69,65,57,59,54,54,39,27,18,17,10,8,14,10,23,34,35,7,34,65
2,60,59,58,47,65,37,13,14,46,65,50,62,49,32,47,44,41,35,34,41,40,43,56,70
3,72,83,59,74,78,63,68,74,57,53,39,41,27,32,31,27,23,29,6,17,32,42,65,55
4,55,60,65,59,58,64,51,67,68,47,48,54,40,46,56,62,56,38,19,13,39,21,37,49
5,35,46,46,64,49,39,63,46,19,26,38,32,36,36,38,31,30,25,22,12,46,49,52,56
6,60,70,55,52,43,50,55,41,26,34,28,30,31,23,31,40,27,27,23,10,48,38,41,60
7,61,53,49,51,55,44,60,38,24,43,50,45,48,46,39,31,41,26,24,11,37,47,53,62
8,73,80,69,88,76,67,42,28,78,58,57,170,68,32,32,28,17,20,37,44,39,47,59,75
9,71,76,82,101,70,103,111,106,108,103,73,41,26,30,35,36,45,36,35,30,29,62,87,90
10,120,126,121,140,157,134,96,57,37,39,61,59,61,66,65,48,61,53,20,21,35,48,43,72
11,62,65,72,66,61,85,87,91,77,62,81,66,58,67,66,53,21,30,35,35,46,47,47,75
12,63,60,59,74,95,82,86,70,69,65,91,80,73,70,58,57,48,32,42,27,33,47,48,70
13,49,41,67,52,58,71,69,44,44,27,23,39,43,57,48,49,40,44,10,29,86,168,83,39
14,46,58,69,70,88,56,52,51,54,55,33,52,39,34,47,51,53,22,14,10,21,35,40,41
15,30,34,44,45,59,46,43,21,15,23,14,9,14,34,38,39,28,38,24,26,23,44,53,65
16,61,56,63,70,55,62,42,50,48,40,37,39,33,29,32,40,22,25,26,12,16,20,34,26
17,28,21,24,30,26,25,33,23,18,11,4,7,30,28,25,29,23,21,19,24,24,19,24,34
18,31,33,29,26,26,26,30,33,26,24,17,30,20,25,27,18,15,19,23,14,26,23,22,24
19,22,28,31,31,21,27,27,9,12,11,11,22,20,18,11,24,17,17,11,15,22,23,27,27
20,21,19,27,24,26,32,25,16,19,30,22,23,27,19,24,27,25,13,19,12,21,13,23,16
21,22,22,31,16,20,30,18,22,21,29,19,30,16,12,24,18,24,12,14,10,28,24,27,18
22,22,29,22,30,29,29,17,19,21,28,28,22,21,33,23,32,15,18,14,19,20,25,25,18
23,33,22,26,30,21,24,29,30,25,18,20,21,15,33,20,38,15,11,21,15,18,14,22,17
24,22,18,24,30,13,17,20,36,31,20,32,11,22,24,21,27,19,18,17,11,11,11,24,20
25,14,0,0,0,0,0,2,8,33,26,17,20,18,19,16,20,18,20,11,32,18,17,25,21
26,22,40,20,33,30,34,18,17,37,26,20,24,35,24,22,32,33,19,20,11,26,19,37,27
27,28,37,33,33,42,36,33,17,29,37,34,35,35,29,33,43,25,19,16,12,21,20,32,39
28,30,38,31,29,32,39,31,17,15,20,31,26,21,34,39,20,29,27,8,17,34,30,25,25
29,36,38,30,34,30,27,29,18,23,26,32,23,29,23,34,31,35,22,21,16,28,24,24,16
30,29,33,32,21,23,27,21,36,35,42,43,37,35,34,28,29,35,31,22,25,24,26,22,-1,-1
