aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,212,199,260,308,346,297,202,199,269,307,283,302,264,318,346,344,351,309,254,204,198,195,233,241,""
02,197,222,294,342,345,283,230,147,143,137,158,205,254,319,369,372,286,240,250,224,253,177,157,103,""
03,162,145,275,291,338,276,203,199,192,78,148,222,219,218,350,339,363,282,306,296,263,212,205,211,""
04,181,198,317,345,329,324,286,249,272,208,254,288,248,315,359,299,330,314,253,203,192,86,150,164,""
05,108,157,213,299,343,346,321,306,291,234,232,228,267,310,184,198,273,196,161,107,102,95,75,65,""
06,47,87,132,195,288,328,322,315,313,333,313,303,281,276,306,288,251,215,154,120,129,187,114,113,""
07,84,113,158,205,219,311,338,325,346,289,343,319,320,263,246,218,224,163,125,97,110,128,99,90,""
08,88,97,141,181,288,320,326,336,311,325,342,338,316,319,261,288,243,145,110,98,103,152,119,112,""
09,101,115,142,150,239,295,310,323,323,313,337,282,290,239,276,272,273,160,145,130,112,94,92,170,""
10,53,65,88,204,295,308,309,351,308,337,340,310,297,289,248,222,169,139,114,98,203,79,113,81,""
11,64,151,153,275,363,353,327,290,276,265,246,252,161,232,285,193,138,86,74,85,62,50,69,94,""
12,162,1,1,0,0,145,289,280,209,201,138,160,145,208,183,212,234,177,166,118,112,80,89,119,""
13,51,57,133,248,341,292,250,151,165,93,78,101,79,138,209,186,159,131,36,102,66,101,93,105,""
14,107,104,162,253,321,281,251,247,246,169,211,278,222,277,318,262,202,260,195,161,153,255,166,228,""
15,212,191,142,225,291,364,345,332,295,252,208,261,289,234,257,179,297,223,106,120,182,144,223,204,""
16,174,222,284,297,353,342,332,278,224,196,199,226,199,281,328,250,147,191,167,186,196,175,225,198,""
17,207,241,281,305,348,389,299,318,326,301,292,294,224,325,291,325,345,115,62,80,143,213,222,209,""
18,100,123,248,315,330,320,310,281,262,254,210,252,254,285,343,282,320,259,203,208,141,166,187,168,""
19,41,47,185,313,362,376,331,353,324,240,250,321,274,235,221,341,325,318,126,56,94,49,112,87,""
20,69,108,149,158,341,341,310,328,270,229,330,375,282,347,331,327,274,161,126,141,92,271,283,114,""
21,95,162,216,249,337,330,321,296,288,185,200,213,273,263,293,349,278,68,154,247,233,161,165,136,""
22,148,178,245,323,329,353,329,358,297,226,268,241,306,300,301,238,233,201,144,100,93,142,94,111,""
23,219,194,212,320,323,326,355,317,252,211,203,262,212,311,306,291,313,286,235,205,242,280,224,122,""
24,157,220,236,334,324,345,375,310,317,262,286,278,283,327,312,331,288,281,226,147,161,155,161,156,""
25,139,247,264,336,345,343,358,378,306,279,247,292,280,319,276,334,348,350,225,198,231,267,283,270,""
26,249,228,309,340,341,342,378,362,294,194,179,200,275,199,315,347,288,232,125,87,99,119,267,220,""
27,213,256,313,336,364,337,334,341,250,290,267,289,294,335,358,335,312,168,94,194,148,212,175,170,""
28,172,244,252,160,248,318,343,352,320,271,237,261,271,305,348,354,192,148,102,83,87,80,103,87,""
29,126,116,129,253,330,335,310,348,299,160,186,224,237,300,328,305,323,265,171,136,111,138,125,179,""
30,206,207,264,344,347,354,375,364,348,322,289,310,270,299,354,363,343,281,144,94,76,134,137,120,""
31,148,158,178,265,320,309,353,358,381,298,315,307,294,297,316,363,351,339,262,215,237,207,-1,-1,""
