apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,25,12,10,15,14,18,18,16,23,15,20,10,12,11,10,6,12,3,7,7,9,11,13,16,""
02,11,22,18,12,18,15,18,15,10,20,17,17,14,11,10,11,7,3,7,8,4,12,14,17,""
03,25,15,18,19,14,13,19,21,13,17,19,8,12,10,11,6,10,4,4,13,12,11,18,17,""
04,15,16,25,11,17,18,16,24,18,17,17,11,13,10,10,7,9,3,6,9,12,16,14,25,""
05,14,19,20,17,18,12,19,22,15,13,21,11,12,9,10,4,7,5,5,9,3,20,14,15,""
06,24,28,19,12,14,16,14,18,23,12,12,16,11,10,10,10,10,10,7,6,6,14,13,10,""
07,17,12,12,17,10,15,12,15,18,17,22,13,20,12,11,8,10,3,8,9,6,12,12,13,""
08,16,17,24,19,15,17,16,13,14,21,15,12,18,11,11,13,9,6,6,13,6,13,18,15,""
09,19,21,15,16,8,10,13,13,24,14,13,20,15,14,9,7,4,4,5,7,11,15,22,18,""
10,17,16,12,14,12,13,19,22,21,28,18,15,10,12,12,5,4,3,9,4,12,10,14,16,""
11,20,17,15,19,21,9,18,21,24,21,16,16,10,11,6,9,8,8,3,2,15,8,11,11,""
12,18,17,6,8,12,11,15,16,18,20,10,19,17,6,11,13,9,5,5,8,9,15,19,19,""
13,25,21,18,11,12,9,17,18,19,17,20,19,16,11,6,11,4,4,5,9,4,6,9,17,""
14,24,19,20,13,14,17,21,19,15,20,17,14,13,10,10,6,7,7,4,3,8,13,16,27,""
15,21,12,16,19,19,18,21,24,19,18,16,15,21,9,7,7,6,8,5,7,6,10,15,16,""
16,19,13,22,18,20,15,27,16,20,21,20,11,11,19,8,5,7,4,7,6,7,14,13,25,""
17,18,20,13,14,11,14,12,15,13,15,18,14,14,19,12,12,4,4,6,11,5,9,18,17,""
18,17,20,18,21,20,16,13,13,17,27,17,13,20,10,10,10,8,6,9,7,4,14,17,13,""
19,22,18,18,24,12,11,15,21,13,11,18,9,15,13,11,9,7,5,7,5,7,13,9,21,""
20,19,18,25,12,11,18,16,17,20,15,22,18,9,12,7,12,9,9,8,8,8,14,14,19,""
21,16,15,6,15,23,15,15,21,10,15,15,18,6,9,7,9,2,4,4,4,6,10,11,20,""
22,15,16,18,19,15,16,20,19,23,16,14,10,19,19,11,8,6,6,6,7,10,10,11,13,""
23,27,24,25,11,13,22,13,20,20,13,15,7,14,17,14,14,1,4,7,10,9,11,13,16,""
24,17,21,19,19,20,20,14,14,18,24,25,15,10,13,15,11,10,7,8,10,12,14,18,17,""
25,22,17,19,16,16,14,19,23,21,26,18,16,8,12,14,10,5,7,5,7,7,8,12,15,""
26,17,18,12,13,14,22,21,21,17,17,12,20,10,19,15,7,6,2,11,6,5,6,15,20,""
27,14,16,6,11,15,10,10,19,24,21,16,24,18,14,13,9,11,8,7,4,8,11,11,25,""
28,19,22,23,13,19,20,22,16,20,20,14,12,17,14,12,15,8,8,6,10,10,11,13,10,""
29,28,21,15,12,17,18,18,25,34,20,14,15,12,15,9,12,5,7,6,8,6,4,15,17,""
30,21,15,12,21,20,27,19,28,27,25,28,20,16,18,12,7,10,8,7,6,12,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
