apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,8,4,12,11,3,10,13,10,7,5,8,7,7,5,12,2,11,7,6,3,7,3,5,5,""
02,8,13,12,5,4,10,7,10,8,5,13,5,10,2,7,7,8,5,5,6,4,4,6,8,""
03,12,8,7,2,8,4,4,4,9,5,6,8,13,5,3,7,6,1,5,2,6,4,6,9,""
04,11,14,10,9,8,13,10,12,3,13,7,5,7,6,11,5,3,5,0,7,6,5,9,8,""
05,11,12,10,7,10,8,9,15,9,12,11,10,13,15,9,7,3,4,5,4,6,10,9,20,""
06,13,22,13,14,10,12,10,16,9,10,13,4,11,14,5,4,9,3,0,7,2,10,6,11,""
07,6,15,9,10,14,7,8,16,11,3,13,9,10,7,12,4,3,0,4,1,8,9,9,3,""
08,7,9,17,7,9,8,13,11,15,6,7,7,9,12,4,9,3,3,1,8,8,7,7,7,""
09,8,13,23,15,10,10,8,7,11,4,7,7,18,7,9,9,7,7,6,3,6,6,8,8,""
10,11,16,7,13,6,9,15,16,16,12,8,8,11,10,9,2,4,5,3,5,4,7,5,6,""
11,13,10,9,12,8,8,12,12,6,9,15,11,12,3,8,8,3,2,3,6,5,7,8,8,""
12,11,8,7,6,8,12,6,11,11,9,9,6,6,7,7,5,2,3,5,7,5,3,6,12,""
13,8,8,12,6,6,14,16,11,11,11,5,10,13,7,7,9,3,5,5,10,8,7,7,5,""
14,8,12,11,11,10,5,10,13,12,8,6,12,1,6,5,9,0,7,3,4,11,5,11,9,""
15,15,10,11,9,11,16,9,0,0,0,1,2,12,16,19,18,10,13,8,7,12,17,19,14,""
16,25,23,17,18,21,17,33,26,15,21,16,21,15,18,18,11,7,5,14,9,14,7,19,24,""
17,20,25,25,20,18,25,31,15,17,11,15,15,15,13,17,15,7,11,5,7,12,10,13,25,""
18,30,17,13,18,4,15,28,27,15,16,6,19,14,16,8,16,9,7,12,11,6,8,14,16,""
19,17,12,20,17,15,21,27,24,10,11,15,10,14,17,4,4,10,17,4,7,6,8,14,16,""
20,13,19,16,17,15,18,27,18,11,8,14,13,23,16,13,14,12,6,7,4,9,8,15,21,""
21,28,14,18,26,12,17,22,22,10,12,18,21,12,16,14,13,6,10,11,14,8,15,20,18,""
22,18,22,18,15,35,33,28,26,15,12,15,20,20,14,17,10,10,7,9,7,8,11,14,13,""
23,19,26,13,19,20,13,20,14,16,14,8,10,16,24,16,13,10,8,9,8,11,13,14,10,""
24,16,14,18,16,23,19,21,21,23,21,20,16,21,17,18,14,8,10,11,5,7,4,13,25,""
25,14,16,16,15,14,20,29,25,18,18,14,16,17,21,11,8,9,9,6,8,7,17,14,18,""
26,22,25,21,28,21,24,29,20,18,11,11,18,15,16,16,16,15,6,8,4,8,12,10,15,""
27,18,20,19,16,32,18,22,17,16,12,11,5,14,23,9,4,8,7,5,8,6,9,12,18,""
28,18,21,17,19,22,23,30,23,28,17,22,12,15,13,15,8,5,11,6,11,10,14,13,23,""
29,20,18,18,26,37,20,15,13,13,17,21,21,21,21,19,13,15,7,10,13,12,13,11,21,""
30,26,18,22,24,26,18,30,32,13,15,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
