oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,59,63,59,53,62,58,77,110,97,57,82,39,22,43,39,37,43,20,24,58,32,32,28,25,""
02,41,51,60,50,59,75,41,71,50,39,56,60,55,37,30,32,43,19,19,23,15,21,8,22,""
03,21,28,45,35,31,46,49,32,47,33,43,32,40,21,16,19,10,8,13,17,24,49,31,21,""
04,48,54,67,52,52,56,46,87,89,63,72,42,31,24,41,47,26,14,16,18,36,32,45,54,""
05,39,34,37,45,48,44,45,62,69,77,53,63,72,70,63,51,41,41,54,49,47,40,42,51,""
06,58,72,58,56,63,60,67,59,63,38,60,59,39,35,43,46,51,23,19,50,37,38,54,34,""
07,52,43,46,52,54,55,64,51,73,49,50,76,58,46,47,31,37,60,34,30,15,12,42,19,""
08,31,40,28,39,32,43,62,57,59,61,47,67,65,70,64,81,83,83,59,70,68,60,61,52,""
09,56,83,78,76,74,93,96,70,60,57,80,52,80,46,45,49,52,56,61,49,67,55,48,62,""
10,79,83,81,73,84,69,73,45,66,67,63,53,87,69,72,57,71,35,34,34,35,58,47,49,""
11,51,76,65,77,52,59,39,73,58,59,80,73,76,70,66,68,54,32,34,31,48,29,69,46,""
12,74,79,84,79,76,80,60,42,58,65,67,33,24,19,18,22,15,19,44,36,72,48,35,25,""
13,36,52,46,44,59,57,72,56,52,41,83,74,53,65,50,62,52,61,51,56,49,49,50,55,""
14,58,62,74,73,73,76,79,75,71,81,65,56,44,53,34,31,22,33,28,35,53,51,47,41,""
15,61,79,58,62,71,71,42,40,33,35,39,33,40,19,43,31,23,43,39,30,10,27,41,25,""
16,52,50,48,58,40,67,35,10,34,33,70,49,37,36,27,16,22,18,47,42,47,37,45,37,""
17,49,54,68,52,53,59,67,37,42,37,59,76,57,51,51,38,22,17,20,41,41,30,31,30,""
18,41,51,60,47,59,67,45,73,59,58,47,77,58,46,55,49,46,46,41,26,38,29,47,48,""
19,58,63,68,67,78,73,62,38,39,49,73,51,75,20,53,35,30,20,39,25,44,47,36,41,""
20,46,54,52,69,65,116,121,88,14,27,35,57,44,43,10,40,24,25,17,20,23,19,11,22,""
21,25,28,36,29,43,35,49,49,55,47,24,21,14,16,8,10,13,10,34,38,38,30,42,38,""
22,49,56,57,63,63,46,62,58,41,35,29,47,31,23,23,25,16,24,30,36,36,37,38,27,""
23,28,45,52,38,44,39,46,46,52,34,32,41,48,33,31,28,20,28,2,3,31,24,25,28,""
24,31,31,50,58,51,42,49,49,46,39,43,44,37,35,36,33,31,22,23,37,51,54,45,41,""
25,48,56,83,84,94,84,81,77,50,71,50,81,62,46,44,48,29,16,15,23,20,33,55,66,""
26,54,70,62,69,53,46,45,45,16,26,44,43,62,37,29,29,33,27,35,37,38,53,47,47,""
27,56,56,62,60,70,74,57,52,47,57,47,42,36,42,30,45,29,38,20,23,47,58,59,57,""
28,65,55,78,88,73,89,74,75,31,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
