jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,131,118,163,148,177,210,267,275,228,194,118,85,110,117,125,143,129,92,77,85,84,85,79,102,""
02,131,154,142,152,163,211,232,205,214,166,123,106,147,155,168,161,116,104,89,65,58,86,110,126,""
03,141,115,142,165,178,199,203,245,211,162,96,76,113,133,114,136,97,95,71,79,89,99,101,115,""
04,107,115,104,156,206,193,243,279,221,160,151,136,146,166,153,142,109,101,75,73,80,93,58,124,""
05,176,205,130,158,186,240,303,285,205,146,109,170,203,198,187,159,149,95,48,71,80,100,96,128,""
06,173,138,146,208,241,304,280,355,298,185,123,155,166,183,197,172,145,132,90,82,81,116,125,162,""
07,155,170,175,214,230,281,334,360,308,151,147,143,182,188,203,167,160,120,87,90,99,128,163,175,""
08,162,303,-1,254,331,339,326,384,384,255,196,191,209,250,248,199,137,110,86,87,94,124,139,128,""
09,160,154,185,254,279,309,345,389,327,306,214,184,233,245,217,215,226,166,124,77,89,95,130,146,""
10,123,161,203,216,271,311,326,369,262,210,166,179,222,268,235,197,207,97,128,122,132,130,173,195,""
11,225,235,269,320,307,343,418,401,330,262,226,265,298,358,440,317,248,171,164,120,166,173,194,220,""
12,229,258,268,325,318,422,436,459,344,197,200,251,283,314,289,243,217,216,159,127,147,160,203,232,""
13,244,224,230,261,342,364,427,409,292,247,294,358,333,446,418,233,204,169,138,140,129,246,297,191,""
14,226,215,250,284,347,391,395,391,347,301,291,379,314,338,313,275,208,203,168,333,134,135,198,189,""
15,186,184,253,286,336,371,410,383,345,257,199,311,479,257,235,224,200,158,134,106,97,122,145,164,""
16,156,153,217,264,289,332,380,383,299,211,137,174,183,200,172,191,198,194,150,124,117,135,148,203,""
17,200,203,221,249,281,341,378,385,278,333,363,288,251,263,256,259,207,149,112,101,104,154,170,197,""
18,224,197,225,284,324,338,417,393,331,279,179,178,244,277,140,243,143,147,127,106,151,192,225,246,""
19,243,253,297,278,333,376,405,386,297,201,185,220,203,215,218,363,272,233,171,160,152,150,155,185,""
20,219,227,254,289,364,349,350,324,313,224,174,131,166,191,166,164,155,157,149,118,124,151,189,170,""
21,172,192,216,240,288,293,344,294,252,197,184,106,-1,14,-1,74,105,129,106,93,117,183,323,220,""
22,223,233,243,259,256,322,292,300,238,214,70,36,115,72,80,89,140,205,209,165,172,151,169,202,""
23,222,247,340,357,354,375,417,349,382,302,263,250,243,260,257,250,249,224,146,138,181,300,344,418,""
24,318,331,510,511,526,483,502,460,509,460,470,294,301,505,637,528,284,282,175,269,230,222,256,318,""
25,300,325,364,386,369,400,435,405,343,317,466,456,308,224,218,219,221,180,157,143,160,189,240,271,""
26,250,274,280,308,245,297,299,297,266,203,207,177,143,179,176,219,194,164,140,149,131,162,204,245,""
27,243,239,280,291,309,349,361,370,316,240,275,236,261,268,201,196,184,165,143,133,125,166,179,225,""
28,229,239,251,295,265,280,284,318,280,233,154,135,170,166,217,178,176,160,128,152,155,145,167,207,""
29,208,213,259,275,283,278,323,316,280,232,166,173,177,211,232,219,181,144,145,142,146,190,193,242,""
30,257,277,299,270,293,343,357,329,295,246,200,146,198,238,260,228,201,178,168,161,180,185,184,226,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]{`jah{mI{hdo`ahs'jf',"b"
