jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,102,114,117,109,128,114,137,135,95,118,97,119,85,62,70,61,44,42,15,23,42,65,69,69
02,78,91,110,104,102,126,86,98,87,85,80,82,78,61,31,43,48,39,41,43,42,60,62,82
03,77,81,106,107,117,135,124,92,76,82,87,84,88,99,97,84,84,65,56,81,84,93,113,126
04,146,196,170,181,201,202,205,162,102,101,126,166,151,112,114,87,70,49,43,48,48,71,91,88
05,95,113,136,114,129,111,111,118,112,80,84,97,87,86,60,80,48,35,26,41,52,48,43,49
06,71,68,91,89,121,98,100,83,76,71,60,51,51,75,60,43,50,41,19,37,36,40,43,47
07,86,99,104,104,108,81,95,80,78,71,68,67,60,55,43,50,26,33,38,23,36,38,30,33
08,51,48,69,77,80,67,75,36,53,78,65,52,63,52,47,33,33,27,39,35,39,45,53,63
09,67,80,82,99,83,89,74,60,70,102,72,46,49,58,41,38,38,20,37,29,32,36,44,45
10,81,74,79,95,89,72,69,77,65,77,77,42,55,60,66,51,24,29,21,32,32,37,49,56
11,82,70,102,109,105,97,104,63,64,55,52,52,62,63,40,30,28,30,23,25,22,39,54,64
12,61,73,97,132,110,95,93,90,80,62,71,78,62,69,65,46,29,23,28,44,38,41,40,59
13,81,87,101,106,101,81,92,81,78,46,76,59,40,31,29,35,46,29,42,33,45,47,47,88
14,105,111,127,140,110,117,111,70,71,87,56,53,38,38,37,29,22,34,38,28,49,61,53,100
15,84,106,128,139,119,117,98,64,65,62,78,66,57,58,49,51,-1,-1,41,16,25,38,56,71
16,85,122,128,119,133,115,94,85,96,87,87,80,48,58,53,28,25,31,28,44,49,54,41,69
17,75,109,125,139,137,148,110,76,80,61,65,85,84,69,57,67,77,32,29,33,41,51,65,80
18,97,93,136,132,149,134,123,60,80,99,94,111,89,82,55,41,19,18,25,33,49,39,62,73
19,107,103,134,129,130,111,86,79,69,76,104,93,61,53,50,46,40,20,12,15,34,59,33,76
20,90,98,110,115,97,110,98,83,81,79,90,88,87,65,52,40,39,29,29,36,36,51,69,92
21,81,102,107,129,110,91,123,107,76,67,63,55,59,51,47,43,21,33,22,46,39,58,62,82
22,85,99,113,106,121,100,124,89,79,70,77,69,65,54,51,48,49,31,35,51,58,68,64,64
23,87,88,107,110,100,112,98,81,90,106,76,84,87,66,55,51,33,36,27,26,39,48,53,68
24,83,91,100,95,111,102,91,85,71,67,70,51,50,75,36,25,19,14,22,34,43,37,47,70
25,82,70,82,104,79,84,81,58,59,48,51,59,37,47,53,37,28,28,22,34,40,54,61,84
26,76,88,102,103,107,110,80,78,83,46,67,66,52,56,40,53,38,20,27,40,44,26,42,53
27,57,84,90,88,85,91,81,84,78,60,41,46,66,50,41,96,86,29,36,31,42,38,72,62
28,77,96,101,138,119,125,92,78,72,61,53,79,70,63,48,32,34,29,26,38,38,52,61,77
29,66,90,98,107,119,106,93,65,63,83,60,73,55,48,35,48,30,25,43,29,41,50,63,68
30,78,72,111,122,107,121,70,74,76,71,50,59,52,48,36,24,32,23,17,29,34,54,58,76
31,78,99,95,111,102,91,95,65,62,85,84,66,50,42,34,44,35,18,19,27,26,51,41,53
