Nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,25,23,16,7,10,3,7,7,13,10,11,24,26,28,15,16,23,24,27,18,27,28,29,28
2,29,20,17,3,8,4,4,9,7,18,23,31,31,32,16,19,23,24,28,23,25,27,23,15
3,20,13,9,-1,-1,8,-1,7,10,16,17,27,39,43,28,13,18,24,30,24,19,30,27,34
4,-1,-1,9,14,-1,-1,-1,-1,6,15,23,24,41,35,33,30,18,25,-1,-1,-1,-1,-1,-1,-1
5,30,28,21,14,9,6,5,-1,11,13,34,32,27,30,36,23,28,40,37,40,31,30,28,24
6,32,24,15,20,15,12,5,10,13,17,32,22,23,32,24,24,26,25,34,30,21,19,27,18
7,11,-1,-1,-1,8,6,-1,9,9,9,16,15,24,30,21,24,16,15,30,24,26,34,18,12
8,9,11,16,-1,7,8,5,12,5,6,19,18,24,13,9,24,26,27,20,24,29,27,9,17
9,13,18,9,17,5,4,2,4,8,3,15,27,23,19,14,12,12,14,20,11,13,19,20,17
10,18,24,7,7,7,11,3,7,11,17,20,20,29,38,27,9,8,10,11,9,5,13,8,6
11,33,28,20,18,9,10,5,12,13,19,20,29,31,26,25,20,23,27,28,16,27,17,15,20
12,18,18,9,9,3,5,6,5,3,8,11,28,33,37,27,10,7,29,28,30,23,24,20,21
13,29,20,15,18,6,3,5,3,8,9,31,21,30,41,15,17,30,18,26,24,16,19,13,12
14,24,21,7,9,2,-1,5,6,7,16,20,23,34,27,28,20,24,18,29,34,16,14,20,12
15,23,18,12,9,6,9,6,4,11,11,8,23,18,9,14,16,25,26,37,38,35,30,20,25
16,13,8,18,5,8,-1,7,6,10,8,9,6,11,19,11,10,11,11,16,16,13,16,25,-1,-1
17,18,11,17,12,12,8,8,3,12,21,24,28,33,34,28,14,17,21,44,22,22,15,20,15
18,30,26,-1,10,9,8,8,5,8,17,18,25,26,31,21,14,18,26,18,23,14,27,12,17
19,14,25,20,-1,-1,-1,6,6,9,10,16,17,26,21,26,16,22,34,24,35,26,26,30,19
20,24,23,19,16,11,7,4,10,7,17,19,23,28,27,13,34,39,48,45,36,33,21,14,11
21,22,22,14,13,10,4,10,4,9,8,18,21,31,26,19,12,12,23,31,16,19,22,17,24
22,20,14,22,23,16,8,15,12,8,14,24,20,30,17,18,22,20,26,33,23,15,26,21,12
23,20,17,-1,-1,4,-1,4,2,6,6,25,13,15,18,21,17,19,13,19,25,19,20,21,12
24,15,11,11,10,11,3,4,3,5,13,14,16,14,17,33,18,25,21,12,17,15,16,13,4
25,24,17,13,13,6,4,11,8,8,15,22,20,35,46,29,19,19,14,17,19,18,22,11,9
26,12,15,17,12,7,3,10,9,14,12,17,20,31,41,18,-1,-1,-1,-1,-1,24,16,19,22
27,17,23,11,25,11,5,8,6,11,12,16,20,23,29,17,17,19,19,11,11,13,11,8,10
28,7,13,13,-1,-1,-1,-1,-1,7,17,18,26,46,30,20,12,19,19,20,18,12,8,5,14
29,20,34,20,14,11,10,5,11,7,16,11,33,25,19,15,24,29,13,20,21,18,22,26,25
30,20,27,19,15,9,15,8,10,10,14,21,24,20,29,23,13,26,35,16,16,32,28,15,27
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
