feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,13,20,21,17,12,12,10,9,16,9,11,8,11,3,7,6,5,2,5,9,8,18,16,15,""
02,15,16,19,15,14,9,6,9,12,14,12,8,9,8,6,4,5,13,10,13,13,22,18,13,""
03,16,14,20,21,13,8,11,9,10,11,9,10,10,6,9,5,5,4,9,10,14,14,13,17,""
04,12,21,15,16,20,14,11,9,7,13,10,9,3,9,8,5,3,6,6,14,13,17,10,15,""
05,13,13,16,9,9,7,10,15,10,9,14,10,10,13,4,3,8,6,6,7,14,19,24,10,""
06,16,20,18,20,15,11,10,9,10,12,11,6,7,9,4,4,5,14,6,6,16,13,17,14,""
07,15,16,18,15,19,16,9,12,9,8,10,8,6,7,4,2,2,6,5,6,12,7,12,15,""
08,17,15,17,15,26,14,11,13,8,9,10,7,6,8,3,3,4,4,9,9,14,17,11,12,""
09,11,10,11,11,13,12,11,5,7,8,5,4,7,9,8,7,6,6,7,6,14,6,9,13,""
10,12,12,19,22,11,9,10,6,10,7,14,8,6,5,7,8,5,6,2,9,7,6,11,12,""
11,11,18,16,20,18,10,11,8,11,8,7,9,7,8,3,3,4,7,5,8,7,14,11,15,""
12,9,13,18,15,9,10,9,3,8,6,4,8,7,8,4,7,6,3,9,12,12,12,20,18,""
13,17,14,24,21,18,13,11,12,10,16,10,7,9,9,7,5,6,3,5,9,11,10,12,14,""
14,27,20,25,15,14,11,8,12,20,8,3,8,3,5,6,1,3,2,2,8,8,7,9,11,""
15,14,20,16,30,17,15,9,6,16,8,6,9,8,7,5,6,5,9,6,12,7,14,11,13,""
16,15,22,16,19,14,15,13,9,12,10,13,14,4,9,6,7,10,4,9,5,6,9,11,15,""
17,9,14,15,11,8,10,13,11,10,9,6,9,4,6,3,2,3,6,7,6,10,8,7,8,""
18,12,10,10,7,9,7,11,7,11,7,2,7,4,6,4,4,2,6,6,9,11,7,10,12,""
19,13,14,15,16,10,4,8,7,11,8,7,8,10,4,4,6,4,7,5,7,10,12,13,17,""
20,17,8,13,22,12,6,10,9,7,8,9,8,10,3,6,7,4,7,5,10,11,10,10,9,""
21,8,10,16,10,15,9,5,6,11,7,6,6,7,3,3,3,3,6,4,3,8,7,11,8,""
22,11,17,10,15,9,10,6,8,3,11,7,8,6,3,3,5,6,6,4,4,11,4,15,12,""
23,8,9,11,15,15,7,5,12,9,7,2,6,5,5,5,3,3,4,4,10,9,7,8,9,""
24,8,7,10,13,8,8,5,7,2,7,11,3,5,5,7,6,7,4,3,6,9,5,12,6,""
25,11,13,8,10,10,5,3,10,8,6,1,4,4,2,7,2,3,3,4,4,8,8,9,17,""
26,10,12,16,9,9,9,11,11,12,8,8,5,9,12,7,5,7,5,5,8,10,8,12,12,""
27,14,11,11,18,10,8,7,5,8,5,4,3,3,2,3,2,3,4,5,5,6,9,7,9,""
28,9,17,14,9,10,13,12,8,5,11,11,13,4,8,9,7,4,4,2,8,7,11,14,6,""
29,11,14,14,8,7,9,6,4,7,12,7,9,8,7,8,3,5,2,6,5,9,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
