dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,20,18,15,13,12,17,13,15,8,6,8,15,19,33,17,34,28,""
02,16,32,22,23,18,29,18,19,16,13,15,20,12,17,20,10,5,12,12,19,22,24,28,26,""
03,20,28,25,21,20,24,18,17,18,18,10,13,14,7,10,12,15,9,13,14,21,34,28,20,""
04,31,26,29,28,26,27,20,21,18,15,18,16,10,12,10,15,12,12,14,18,22,32,27,24,""
05,18,20,28,36,18,21,23,23,16,20,16,20,11,12,12,8,11,12,10,25,25,25,26,20,""
06,25,23,22,25,27,24,28,29,27,21,16,22,14,15,11,11,8,13,15,26,25,31,25,30,""
07,18,29,23,35,32,30,24,20,28,19,24,20,12,10,13,8,13,13,17,19,17,30,26,27,""
08,33,26,36,31,29,22,21,29,21,17,13,6,12,15,14,17,13,9,18,23,25,35,29,33,""
09,26,24,18,28,23,29,31,26,31,18,17,12,19,11,16,11,10,14,13,23,30,30,42,33,""
10,31,27,32,25,22,30,26,27,27,16,14,15,23,12,7,5,11,12,18,30,38,41,40,34,""
11,32,29,19,31,22,22,39,40,22,22,14,14,18,11,12,12,14,16,28,36,48,71,76,68,""
12,66,44,37,54,29,61,39,44,43,22,19,15,11,17,10,12,16,23,35,50,66,80,96,96,""
13,74,36,43,44,40,34,50,50,52,40,19,14,19,17,13,8,8,21,48,70,77,95,108,127,""
14,94,66,46,75,56,58,65,70,38,34,25,15,14,12,15,9,13,18,28,34,28,44,39,52,""
15,41,31,25,23,31,37,25,25,27,19,15,16,16,17,9,12,11,8,13,25,22,24,26,20,""
16,22,23,19,23,25,25,21,33,22,16,20,14,16,11,9,7,18,12,13,20,21,20,26,22,""
17,26,17,31,25,17,21,24,18,19,23,15,17,13,14,9,10,6,11,18,17,17,19,17,25,""
18,19,20,23,28,23,15,21,19,19,10,12,17,19,13,8,11,9,14,10,9,19,17,23,24,""
19,30,25,20,26,16,19,13,21,15,15,20,8,9,11,10,14,14,12,14,14,19,21,19,26,""
20,29,28,24,26,24,22,16,22,15,19,18,15,10,14,14,9,8,10,7,16,15,25,16,20,""
21,20,13,20,17,20,23,24,19,19,16,15,14,10,11,11,15,11,18,10,12,14,14,24,26,""
22,24,16,20,26,23,17,31,24,18,24,17,15,17,15,14,12,13,11,12,15,15,16,17,21,""
23,28,25,23,21,28,29,17,20,24,19,20,21,15,12,6,9,7,13,9,16,15,15,21,22,""
24,22,29,28,18,29,19,24,24,24,23,15,18,12,15,13,4,5,14,13,16,18,20,26,18,""
25,21,24,27,24,20,21,22,21,26,20,13,15,13,10,16,14,8,1,11,11,7,19,17,18,""
26,21,22,25,17,23,30,29,27,20,20,15,21,14,14,11,8,8,14,12,15,9,14,27,18,""
27,19,22,21,20,26,12,15,17,19,16,20,21,19,8,8,11,7,8,9,12,13,23,16,26,""
28,22,30,27,29,22,20,28,22,18,25,17,17,20,11,11,10,8,12,6,17,14,17,20,17,""
29,17,19,19,24,20,20,24,15,13,22,24,9,20,12,8,7,8,11,9,6,15,28,19,25,""
30,11,23,28,20,23,19,15,17,16,14,23,15,17,22,11,9,4,8,9,10,8,17,20,18,""
31,20,20,26,31,20,24,22,15,20,15,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
