jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,11,8,5,2,5,5,6,2,2,2,4,13,8,16,20,16,28,16,18,14,25,21,12,11,""
02,12,4,-1,-1,5,5,8,4,1,4,7,8,9,19,16,9,19,14,25,22,31,32,27,17,""
03,12,7,4,4,8,6,2,4,2,1,6,6,6,9,10,16,13,26,16,33,26,30,33,28,""
04,4,6,5,5,7,6,11,4,3,4,6,10,7,14,15,16,12,8,13,29,38,35,36,31,""
05,12,7,3,4,8,4,6,3,4,8,4,5,9,13,11,17,19,19,17,21,24,22,26,23,""
06,15,11,9,9,7,9,4,6,2,3,5,8,6,13,20,22,23,15,16,31,30,46,23,14,""
07,19,15,8,12,6,12,8,4,5,6,7,8,6,10,19,11,19,17,12,26,26,32,23,33,""
08,14,6,7,14,11,9,14,2,5,5,4,2,11,12,9,13,19,6,25,27,33,32,40,16,""
09,15,6,4,8,6,12,9,12,4,3,3,2,16,17,16,20,14,16,16,31,27,32,25,17,""
10,14,8,4,7,3,7,10,4,2,2,1,5,15,13,14,23,25,22,31,37,31,30,32,24,""
11,16,8,15,11,12,5,11,5,4,-1,3,12,8,14,17,16,16,18,23,28,40,27,36,47,""
12,23,12,9,5,8,12,11,7,5,4,6,8,11,11,13,21,17,20,15,22,38,39,29,25,""
13,17,9,11,6,3,9,14,10,3,-1,2,4,7,19,18,24,15,14,19,25,30,32,28,19,""
14,16,6,6,11,12,8,9,5,7,4,4,11,9,11,9,20,10,9,16,20,23,38,32,27,""
15,21,10,5,8,10,16,7,3,4,5,1,2,10,12,16,14,14,17,16,19,28,23,24,26,""
16,6,6,6,11,11,10,4,5,2,2,2,10,12,12,13,21,8,11,12,25,20,44,19,22,""
17,8,8,8,7,3,3,7,1,3,-1,2,10,10,15,16,16,9,8,18,18,17,13,34,20,""
18,8,8,3,3,6,6,13,11,2,4,2,3,8,15,11,15,9,18,23,27,13,22,10,15,""
19,9,5,2,6,7,8,3,9,5,2,1,6,1,13,17,14,17,16,14,17,23,27,24,10,""
20,11,6,1,1,2,7,6,6,3,1,5,5,15,14,6,10,7,22,16,21,29,23,9,11,""
21,8,5,2,1,2,7,5,3,-1,3,4,8,17,18,21,16,13,17,24,19,26,25,28,17,""
22,9,2,3,4,7,7,3,6,2,3,3,4,9,8,15,16,13,25,20,21,11,17,10,13,""
23,14,3,5,8,5,3,6,2,4,4,4,6,10,15,15,8,9,12,19,16,18,14,27,13,""
24,12,4,6,6,6,7,9,3,6,5,8,5,6,17,12,16,15,8,15,12,22,15,16,6,""
25,2,6,3,6,7,9,3,6,5,-1,2,7,9,3,12,6,9,10,15,21,18,21,12,24,""
26,10,8,8,4,5,5,7,5,5,4,7,4,11,9,16,21,20,16,28,19,11,20,31,31,""
27,11,8,4,7,5,10,6,1,3,2,2,10,9,14,10,16,12,20,14,11,19,21,19,15,""
28,15,10,4,5,5,7,6,2,3,4,4,3,3,17,16,15,18,20,11,13,26,18,18,15,""
29,6,3,3,4,3,3,7,4,5,-1,2,4,1,4,8,11,20,8,19,15,10,13,16,5,""
30,-1,3,3,5,2,4,-1,3,2,-1,2,8,11,16,14,13,19,12,19,14,13,16,15,2,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
