Jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,66,81,101,111,142,139,155,162,174,167,120,93,143,134,133,58,-1,-1,-1,-1,-1,61,89,63
2,80,86,116,143,110,137,123,154,136,154,110,81,111,116,129,111,53,31,37,-1,-1,-1,24,69
3,100,94,125,137,145,141,154,182,158,114,95,-1,-1,-1,-1,-1,-1,43,14,20,9,20,27,68
4,73,80,107,128,121,110,115,140,135,92,115,89,99,101,76,100,57,52,29,-1,-1,-1,55,59
5,59,75,114,141,162,156,123,124,132,155,118,72,84,-1,-1,69,55,38,19,35,41,66,32,48
6,40,45,76,101,63,136,142,131,133,137,-1,-1,-1,94,94,78,73,63,49,22,93,42,41,28
7,95,-1,-1,-1,124,112,94,106,156,-1,-1,-1,-1,-1,68,81,42,66,96,28,15,59,71,70
8,64,70,68,103,114,127,179,141,153,182,119,120,141,63,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1
9,64,62,86,85,119,109,67,191,-1,-1,-1,-1,-1,-1,65,-1,-1,-1,-1,-1,-1,18,-1,-1,-1
10,1,-1,91,92,104,132,86,70,-1,75,75,67,148,142,162,68,59,34,28,34,29,31,37,25
11,32,32,57,41,57,89,117,65,119,118,115,70,78,-1,74,62,51,52,34,29,23,22,28,51
12,64,71,115,108,129,121,115,127,180,-1,169,70,80,112,92,79,64,28,30,27,21,18,27,52
13,56,100,83,213,140,141,148,144,200,149,134,197,144,66,88,108,45,40,30,-1,22,57,32,38
14,76,87,92,132,112,123,102,112,132,100,109,84,94,77,59,57,52,34,28,6,24,23,45,78
15,76,66,109,116,123,115,110,109,133,116,134,18,-1,-1,-1,-1,-1,39,37,12,21,13,22,26
16,31,38,88,85,103,110,101,140,120,135,137,124,108,86,75,93,81,86,-1,-1,-1,-1,26,35
17,70,85,89,102,119,123,136,-1,-1,-1,-1,-1,-1,-1,-1,54,51,59,26,21,27,36,24,30
18,37,39,89,91,105,132,104,101,111,133,110,106,88,93,-1,-1,70,131,-1,-1,-1,-1,24,21
19,38,50,44,66,91,132,121,136,173,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,-1,-1,-1,-1
20,44,71,75,104,121,155,125,145,-1,-1,-1,-1,-1,-1,-1,-1,80,59,55,41,-1,-1,-1,34
21,76,-1,-1,-1,132,146,137,135,137,161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,122,61,41
22,53,50,121,104,157,144,148,161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1
23,134,72,58,222,131,163,109,-1,-1,-1,-1,-1,-1,-1,-1,87,57,36,54,-1,-1,-1,33,33
24,57,106,101,157,172,180,-1,173,175,144,-1,180,97,103,82,93,69,41,24,36,26,22,25,27
25,40,63,142,159,191,168,154,118,149,135,111,126,68,86,103,74,78,43,54,26,32,19,21,34
26,59,87,122,172,179,189,147,119,119,87,183,188,54,29,26,59,38,74,36,40,107,43,28,28
27,42,67,131,140,152,184,177,162,116,80,67,43,39,86,79,74,68,56,111,59,-1,-1,65,35
28,49,91,138,-1,160,183,158,164,-1,188,205,105,-1,-1,-1,59,62,64,77,54,29,34,32,33
29,96,162,166,183,185,199,198,129,137,123,107,91,100,90,96,67,53,33,27,31,24,26,23,35
30,57,55,94,183,193,199,168,140,111,130,138,177,-1,-1,80,96,66,39,72,59,93,22,20,37
31,41,83,118,177,191,208,157,105,107,125,131,97,92,79,66,60,54,71,56,36,24,20,16,44
