Jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,442,381,344,401,473,405,456,453,379,377,365,353,292,292,232,213,219,219,207,219,239,251,235,300
2,351,395,378,452,440,247,387,419,445,376,297,285,194,215,231,244,247,201,174,196,221,274,264,229
3,255,289,308,391,452,541,427,425,443,375,314,295,294,295,261,212,163,204,183,212,232,245,161,246
4,271,222,305,357,342,286,283,222,249,252,269,273,253,236,232,150,168,179,192,233,275,258,254,213
5,75,170,227,277,248,229,311,293,329,346,292,164,159,171,187,76,55,47,154,196,204,278,280,229
6,254,380,362,338,369,399,459,464,403,357,383,267,289,215,244,275,210,232,238,235,257,298,307,309
7,361,274,299,378,479,540,370,321,212,151,188,228,268,280,259,209,216,224,233,223,269,295,340,388
8,427,477,486,482,522,539,506,496,468,496,386,399,325,319,320,261,237,243,259,271,288,331,355,433
9,468,404,467,448,469,494,427,361,392,366,352,365,315,327,323,282,201,252,283,257,287,329,344,366
10,359,398,431,488,452,473,446,443,431,456,313,360,285,287,175,285,257,247,275,272,234,354,352,319
11,376,343,344,261,64,264,281,218,377,234,240,287,287,243,180,180,189,207,210,255,108,146,271,263
12,43,72,264,331,260,278,280,290,415,369,303,264,279,259,230,280,244,251,201,163,165,187,185,299
13,234,323,323,337,317,355,425,384,346,348,336,306,297,266,280,258,229,231,236,195,235,135,235,274
14,248,237,305,371,365,277,231,202,338,345,335,312,304,331,317,262,223,176,220,221,243,298,332,357
15,240,228,246,215,111,313,309,252,269,307,322,289,264,255,230,206,244,242,226,205,193,220,256,319
16,275,221,269,369,286,151,100,289,209,208,273,262,259,232,211,235,188,198,218,181,270,198,266,331
17,260,266,245,282,162,264,407,368,254,361,349,302,217,226,223,227,240,257,217,273,236,267,246,201
18,314,353,284,243,298,381,383,378,323,324,319,313,291,243,246,240,249,211,155,229,243,253,318,219
19,143,284,318,308,389,411,426,421,436,353,202,274,255,265,212,224,267,270,204,242,179,136,248,267
20,249,277,301,246,392,319,266,240,311,412,411,289,213,254,291,202,229,247,263,245,248,206,54,283
21,178,272,290,261,276,304,248,345,358,400,338,319,283,292,266,238,243,256,239,262,210,182,214,339
22,293,286,311,434,464,440,469,479,467,431,374,313,267,281,295,304,251,249,209,99,239,356,365,373
23,375,367,385,354,442,450,484,425,460,414,201,124,225,193,194,253,168,193,240,261,273,285,279,313
24,344,394,390,478,401,379,413,436,394,397,403,352,296,283,277,249,292,238,246,256,275,228,248,281
25,379,425,415,463,452,483,447,316,402,359,334,271,274,284,278,258,257,251,246,235,265,285,289,244
26,342,394,494,530,449,316,277,437,389,283,297,297,258,284,230,246,233,187,202,193,188,244,256,262
27,323,308,225,168,402,367,353,357,344,274,336,269,276,240,213,257,227,219,212,214,235,245,304,324
28,317,280,350,370,361,390,402,411,416,345,327,331,253,244,188,158,186,173,203,200,218,224,238,256
29,271,319,311,168,92,181,342,305,324,293,279,273,210,231,140,150,161,165,139,184,200,245,173,255
30,312,281,332,306,315,314,270,252,269,293,227,262,218,231,181,206,159,173,168,197,224,255,285,247
31,199,259,280,260,220,209,148,184,206,263,192,210,231,207,163,182,123,173,190,179,198,228,274,279
