jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,071,084,081,070,083,099,093,091,092,084,083,097,094,073,056,048,033,036,048,035,054,067,075,069
02,080,079,097,088,095,085,099,068,088,090,000,099,105,087,071,057,042,031,044,049,054,055,059,059
03,090,084,086,085,098,100,085,075,090,092,101,094,111,087,080,065,055,048,051,063,061,082,076,090
04,106,112,131,138,140,128,126,126,111,143,141,126,114,106,080,061,048,049,049,039,062,064,052,067
05,067,104,093,100,091,101,092,065,074,063,074,062,075,057,059,050,036,030,031,031,026,040,034,046
06,028,027,047,055,060,071,062,060,071,068,058,058,050,046,052,043,036,048,033,037,045,047,053,061
07,075,069,070,068,061,070,076,064,055,059,064,076,061,062,047,037,034,038,039,050,033,052,055,065
08,082,068,073,076,073,079,060,073,073,069,061,063,071,062,059,042,036,030,048,051,049,050,049,059
09,078,067,066,071,073,067,067,062,065,057,066,067,065,053,037,034,025,027,025,028,052,036,041,060
10,047,056,059,061,059,070,075,063,064,061,069,053,042,049,048,041,021,024,027,027,032,029,057,049
11,067,045,067,059,060,065,068,049,060,054,067,064,052,059,049,039,026,036,045,044,042,039,062,049
12,070,091,079,062,079,084,078,079,073,066,080,066,070,061,063,040,035,043,033,040,054,045,045,048
13,039,039,044,048,045,045,046,058,076,065,061,060,085,071,049,035,035,036,031,043,032,028,039,059
14,060,062,055,069,076,065,057,071,056,064,070,052,060,048,045,036,025,030,034,038,030,037,035,044
15,048,046,041,046,049,034,056,045,023,050,069,068,068,059,051,035,036,024,039,028,046,036,050,066
16,080,072,079,067,064,075,066,065,061,070,049,075,074,052,049,034,028,032,026,049,041,033,053,042
17,042,045,049,043,056,062,063,052,064,067,085,069,081,053,047,031,026,041,027,030,039,037,042,053
18,060,059,053,077,061,058,058,047,066,061,087,078,069,066,033,035,039,025,026,037,034,044,041,048
19,060,050,078,074,056,066,061,057,054,058,067,081,069,047,045,039,029,045,034,042,040,046,050,063
20,061,086,056,067,068,068,054,061,064,062,076,079,060,061,048,038,023,036,037,030,022,032,029,046
21,036,048,054,047,059,063,048,042,054,056,055,070,060,060,042,034,025,033,019,037,025,033,037,055
22,045,053,049,043,051,046,043,042,054,061,066,051,060,048,030,036,038,029,038,041,030,025,034,037
23,045,044,060,060,046,046,044,039,050,066,046,046,051,047,024,034,038,027,037,029,033,041,045,046
24,053,060,057,062,059,051,044,047,052,042,052,055,068,045,034,035,021,022,025,037,028,030,034,044
25,049,060,056,042,044,054,054,047,040,052,051,047,044,030,030,030,017,026,025,024,032,031,033,046
26,039,039,053,046,044,040,042,036,051,028,046,048,036,027,028,026,021,026,027,035,032,035,043,049
27,046,044,039,044,046,047,047,044,045,056,053,049,049,042,029,023,025,024,021,024,010,019,022,039
28,043,032,034,020,030,031,034,035,039,051,061,035,034,034,040,025,029,030,023,034,032,035,051,064
29,051,043,000,000,000,047,000,000,000,051,039,044,045,000,029,000,018,010,015,022,034,036,030,050
30,039,043,061,042,042,029,043,000,038,039,051,000,056,049,034,043,035,043,037,000,051,064,069,067
31,082,072,085,068,088,099,085,074,074,078,086,080,073,056,045,043,037,036,045,041,054,042,024,-1,-1
