jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,50,64,66,63,64,76,65,57,65,70,71,56,47,53,74,119,124,104,122,119,141,115,68,62,""
02,106,106,142,178,145,166,155,152,138,193,179,113,134,132,128,112,78,33,244,99,94,80,93,82,""
03,102,129,186,232,208,200,190,181,193,203,205,197,178,189,153,110,155,83,105,92,64,85,74,84,""
04,92,132,191,199,207,206,158,163,149,162,181,143,137,142,111,75,64,63,59,73,88,91,81,81,""
05,105,119,148,158,174,162,142,134,137,136,134,150,148,133,86,104,128,80,79,82,93,87,70,73,""
06,73,106,135,176,184,190,195,173,139,165,178,138,113,105,97,84,68,76,82,152,76,54,62,68,""
07,83,82,94,122,126,114,94,88,90,115,111,90,123,97,86,73,69,55,81,90,117,86,73,67,""
08,65,88,98,117,101,126,102,106,135,100,127,115,97,84,64,64,61,48,55,58,58,55,53,68,""
09,85,107,147,126,102,92,70,80,68,80,84,89,77,75,63,46,49,45,51,45,50,40,43,56,""
10,53,82,110,116,92,71,96,86,85,81,84,93,76,64,72,54,38,48,40,50,57,48,50,66,""
11,72,95,106,105,87,70,67,77,70,94,68,92,79,68,71,44,49,47,55,53,62,63,62,63,""
12,79,91,103,130,125,91,93,84,92,93,91,89,85,93,78,71,49,63,72,65,68,76,57,72,""
13,76,83,104,125,126,84,76,87,78,80,94,129,82,79,54,71,42,47,63,58,71,69,83,75,""
14,65,75,108,100,119,85,112,102,105,87,87,58,87,76,60,50,51,42,55,70,69,79,49,184,""
15,75,96,143,132,106,91,67,67,73,116,101,87,82,73,56,59,59,40,49,46,46,55,50,49,""
16,63,89,109,98,98,94,74,74,79,92,92,83,83,77,65,51,45,42,39,62,61,45,48,60,""
17,69,90,102,130,107,109,97,89,73,105,116,74,92,82,67,47,59,50,48,52,52,47,42,63,""
18,85,107,136,140,116,95,95,95,102,117,94,77,105,101,67,50,56,46,66,51,51,56,53,52,""
19,76,99,99,123,117,111,74,87,85,107,98,78,99,69,72,45,34,60,46,56,73,64,59,65,""
20,74,91,110,118,110,92,97,97,93,112,129,137,117,114,94,168,130,128,101,74,76,69,73,59,""
21,74,83,122,121,120,105,98,108,108,98,106,105,109,106,71,79,50,73,121,126,98,81,79,104,""
22,96,121,159,165,147,143,111,108,128,138,82,78,93,91,73,64,56,70,57,53,77,70,68,95,""
23,99,96,122,144,123,103,107,112,104,105,105,113,129,108,86,65,58,56,61,89,97,103,70,89,""
24,84,116,127,144,114,112,103,99,127,103,77,100,86,88,73,57,60,58,55,68,75,62,76,98,""
25,77,124,127,140,124,114,106,103,95,101,91,83,100,69,101,51,64,46,72,78,87,56,82,80,""
26,95,110,113,133,117,114,90,117,108,110,92,110,85,87,64,58,60,42,64,50,59,55,59,52,""
27,62,89,93,101,96,91,89,81,87,94,91,110,96,80,88,84,72,51,56,51,44,55,56,64,""
28,69,110,105,99,110,97,98,84,99,108,92,101,89,81,50,53,58,50,63,42,55,63,53,66,""
29,65,91,96,109,95,95,84,97,93,93,87,95,108,85,68,55,41,57,47,56,59,50,53,63,""
30,75,84,117,148,111,106,91,100,86,87,84,80,76,63,63,70,49,53,83,65,64,74,72,78,""
31,92,111,124,124,92,101,97,101,89,98,100,100,118,90,60,63,53,56,75,81,72,76,66,78,""
