May,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,5,6,-1,6,8,7,19,24,62,29,8,23,8,21,3,-1,6,1,4,3,-1,1,1,6
2,1,4,7,4,10,11,12,9,6,17,23,10,16,11,4,1,6,1,3,-1,1,-1,3,2
3,1,3,5,9,6,9,9,3,4,2,2,3,7,14,8,11,4,5,1,2,2,14,5,11
4,3,4,5,10,2,8,3,6,3,10,10,17,5,9,14,6,2,4,-1,3,-1,5,2,3
5,-1,-1,6,5,1,8,17,18,13,3,17,18,11,9,12,5,-1,4,2,7,1,5,1,1
6,1,3,4,4,1,3,-1,4,2,5,2,7,8,3,3,1,-1,2,3,1,1,2,3,7
7,1,2,5,12,4,-1,21,7,22,52,24,11,8,3,12,13,16,1,5,8,3,4,8,9
8,4,3,2,5,1,7,9,2,4,3,3,3,1,9,3,2,-1,2,3,1,1,1,1,-1,-1
9,2,3,1,4,5,2,3,-1,2,2,2,3,15,19,9,-1,3,1,-1,-1,-1,2,-1,1
10,2,-1,-1,1,2,2,6,4,1,3,3,2,1,3,1,2,1,1,1,15,7,21,4,16
11,-1,1,3,5,-1,5,4,1,2,2,3,1,-1,2,4,1,-1,2,-1,1,3,7,5,24
12,3,-1,2,9,3,9,-1,1,4,2,1,1,2,1,2,1,-1,3,6,-1,2,35,8,22
13,9,2,7,9,2,4,-1,1,2,4,3,2,1,1,15,18,7,8,2,3,1,6,2,8
14,3,1,-1,6,3,4,3,-1,3,3,10,8,3,9,4,10,1,6,1,7,-1,11,6,10
15,7,5,3,14,5,30,16,3,5,17,9,15,18,28,6,1,5,1,3,5,3,5,3,6
16,2,2,6,9,15,2,4,-1,11,6,6,4,2,2,5,-1,1,-1,3,1,2,-1,1,1
17,3,-1,4,1,-1,-1,1,3,-1,2,7,7,1,3,1,2,2,-1,-1,2,1,1,3,4
18,3,8,103,129,23,65,14,23,8,5,8,12,8,4,12,6,2,3,3,8,-1,3,4,15
19,7,2,4,53,152,154,92,6,24,39,33,12,5,1,7,4,-1,1,2,1,-1,-1,-1,4
20,-1,-1,3,3,1,2,2,1,1,2,3,5,6,3,4,1,-1,1,-1,1,4,4,1,4
21,14,5,-1,4,6,4,3,1,2,4,-1,2,3,12,2,3,-1,1,3,2,1,3,2,59
22,4,16,14,14,19,17,-1,-1,2,130,16,33,14,52,24,15,47,8,1,8,2,-1,-1,5
23,-1,1,3,4,-1,1,1,1,3,109,33,20,31,13,21,-1,1,6,11,1,2,1,2,5
24,2,1,-1,3,2,2,2,4,18,8,10,11,3,6,6,12,6,5,-1,4,1,7,2,8
25,1,4,2,16,12,14,11,4,-1,2,14,1,-1,9,7,5,2,2,2,1,-1,4,2,4
26,1,5,1,15,3,20,6,4,6,7,28,29,14,13,12,7,1,5,-1,2,1,2,5,1
27,4,4,6,8,5,11,5,1,-1,3,2,4,5,17,8,4,1,6,8,8,15,2,4,8
28,1,3,4,6,1,5,3,6,-1,5,22,7,10,6,8,1,1,4,3,6,2,3,1,15
29,3,5,4,10,4,23,14,7,7,14,14,9,27,18,30,17,5,4,1,1,-1,4,2,7
30,1,3,2,6,4,2,3,2,4,-1,7,13,94,92,29,39,91,35,3,2,4,33,34,9
31,6,-1,2,4,6,5,3,8,6,15,34,15,9,17,16,9,-1,6,2,6,22,22,8,40
