May,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,65,36,26,35,29,33,25,18,17,8,17,24,37,50,45,36,37,34,34,53,67,76,93,60
2,55,43,35,37,46,45,31,13,21,9,14,28,30,42,58,46,-1,-1,-1,-1,-1,-1,54,56
3,46,41,33,30,36,24,22,15,9,13,16,19,32,32,36,47,36,40,42,70,97,68,88,53
4,50,45,37,36,46,45,28,-1,-1,20,7,22,36,47,43,27,29,39,54,73,76,90,79,66
5,71,54,52,36,44,48,28,18,20,-1,-1,21,27,30,60,49,-1,-1,-1,-1,-1,-1,-1,71
6,58,44,25,20,35,33,24,15,15,16,10,30,21,28,33,44,48,-1,-1,-1,-1,81,69,72
7,51,38,23,27,29,37,23,22,6,8,11,28,21,32,42,37,-1,38,41,56,88,61,76,57
8,44,25,17,10,19,21,23,7,4,13,20,16,25,31,36,24,26,31,45,62,83,70,52,54
9,54,47,31,30,43,33,18,13,8,9,7,14,-1,-1,-1,33,30,34,58,68,78,81,65,53
10,-1,-1,-1,-1,-1,-1,22,8,9,14,9,16,23,31,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,56,42,20,26,37,38,34,18,16,11,15,23,38,40,44,33,34,32,42,67,65,85,78,54
12,37,27,24,27,36,30,36,14,14,5,12,13,22,27,34,33,43,26,47,49,69,60,66,55
13,37,25,19,28,31,32,32,16,11,7,16,23,23,35,44,41,36,36,52,58,56,58,48,52
14,49,36,36,37,42,38,33,15,14,10,7,17,32,39,59,34,40,37,32,63,74,61,74,62
15,53,26,21,30,32,40,36,18,9,4,17,16,34,34,49,40,50,51,68,58,88,80,73,67
16,44,31,26,32,51,52,25,23,20,15,16,29,24,43,42,43,58,38,67,54,70,76,79,68
17,40,33,36,40,36,29,21,16,22,6,19,24,20,54,42,48,37,40,45,47,80,71,69,61
18,41,30,18,20,47,38,34,25,14,12,24,32,24,-1,-1,49,28,41,44,52,59,71,79,70
19,45,-1,-1,-1,47,31,30,16,14,12,19,17,21,42,42,44,36,31,41,70,90,74,80,53
20,37,15,20,19,40,43,40,27,16,8,16,20,35,36,40,48,45,41,43,58,66,92,90,50
21,-1,-1,-1,15,27,22,28,10,10,16,12,18,19,47,59,48,44,37,44,52,69,64,51,56
22,47,18,20,29,30,40,28,15,9,13,18,17,21,48,48,38,31,36,-1,-1,-1,-1,56,60
23,26,22,25,39,27,36,35,19,14,9,6,24,24,34,41,49,44,39,40,-1,-1,-1,62,64
24,37,29,22,30,-1,-1,24,15,6,10,15,21,19,32,28,31,30,21,34,34,34,52,60,50
25,31,22,28,22,35,38,29,24,15,9,15,15,35,44,43,27,34,34,33,46,57,57,60,41
26,27,19,18,-1,-1,44,38,26,8,15,15,14,28,40,32,55,45,39,32,54,73,68,47,33
27,29,-1,-1,-1,34,40,16,15,6,15,10,13,24,30,29,47,29,36,48,56,66,91,65,54
28,32,17,11,26,-1,28,26,19,6,4,13,15,34,20,49,42,44,27,43,52,68,62,57,42
29,25,23,18,21,33,29,37,21,11,18,14,18,36,35,49,38,33,33,24,37,52,48,46,37
30,17,18,14,-1,-1,-1,-1,12,12,11,11,13,26,30,31,46,41,24,36,50,75,61,60,43
31,16,17,12,23,37,38,32,22,16,14,-1,26,30,26,46,27,36,19,22,39,49,58,55,58
