May,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,1,5,3,5,5,5,7,14,8,5,12,9,8,14,4,9,11,6,1,4,8,1,24,109
2,82,133,111,64,121,164,124,168,59,78,60,5,7,12,11,47,35,9,14,45,53,23,39,35
3,47,88,82,100,124,161,142,152,113,127,84,31,24,16,18,16,16,12,8,18,5,9,10,4
4,3,5,6,13,5,15,19,8,13,14,6,15,3,10,4,9,13,26,17,12,3,13,-1,-1,-1
5,22,37,34,22,31,32,44,66,75,80,53,38,28,41,37,11,26,19,20,24,34,30,34,33
6,54,47,40,47,28,32,37,61,50,46,21,12,13,25,9,7,8,6,26,15,26,16,35,23
7,50,34,34,34,64,57,110,80,82,77,27,22,23,6,5,12,13,12,7,2,1,4,8,7
8,14,25,9,4,10,17,12,10,18,13,11,11,8,5,4,2,3,2,3,1,1,5,12,38
9,15,11,16,45,19,21,32,29,15,24,6,7,10,6,6,1,3,4,3,1,1,4,4,4
10,8,2,24,54,39,76,94,185,110,39,84,12,4,7,6,18,59,7,9,6,6,4,4,5
11,6,6,9,12,6,12,35,29,38,22,19,6,9,4,17,5,12,17,36,41,33,24,50,32
12,47,32,17,7,22,7,11,15,24,13,44,12,16,20,11,16,6,8,5,4,8,11,9,14
13,13,12,20,7,4,10,16,41,56,21,13,11,8,6,3,8,11,18,13,14,14,21,28,29
14,20,80,76,50,34,26,31,79,44,39,20,4,7,11,11,48,21,6,5,7,4,21,9,15
15,32,32,34,26,21,21,30,73,115,74,29,12,32,20,13,9,17,12,7,3,7,2,3,15
16,15,25,37,41,55,46,2,13,10,7,8,7,2,3,2,1,-1,3,-1,3,2,11,24,29
17,22,20,13,22,22,34,39,86,79,33,15,17,11,16,14,12,13,16,13,13,21,18,41,51
18,95,61,63,96,99,131,110,130,126,155,21,10,17,5,15,9,19,12,17,23,16,6,10,35
19,38,18,10,13,22,36,49,53,74,118,75,12,5,22,13,27,22,15,12,32,42,58,41,43
20,39,44,89,93,42,36,107,70,74,118,108,17,11,12,7,15,9,2,2,10,38,23,27,24
21,109,147,165,91,31,58,121,107,131,85,44,22,14,9,9,6,9,10,15,9,8,9,9,27
22,19,32,33,40,14,36,29,39,22,23,11,9,2,2,2,2,3,3,5,6,4,3,28,35
23,60,30,41,33,46,63,33,66,32,37,36,21,14,22,25,2,4,5,4,2,4,6,11,5
24,6,9,16,11,7,35,35,35,51,16,13,10,8,8,12,5,9,9,5,12,10,16,34,36
25,46,66,59,34,34,53,71,144,113,15,5,7,3,6,5,8,2,7,13,8,5,7,7,27
26,33,46,85,99,121,131,139,143,139,76,70,85,75,60,35,40,83,30,50,15,33,11,7,15
27,14,12,12,17,14,26,71,58,38,20,15,7,11,12,7,8,26,29,6,4,14,10,20,50
28,167,180,97,154,159,156,147,145,103,93,16,13,8,4,2,2,2,3,2,-1,2,1,-1,4
29,8,74,33,19,22,21,13,24,57,19,6,1,2,13,3,-1,1,1,14,31,32,7,1,2
30,2,3,6,6,7,11,18,42,54,5,7,2,2,3,2,4,1,7,2,2,-1,3,4,2
31,9,6,6,6,8,6,9,29,50,51,38,22,23,21,27,14,23,22,25,5,20,17,13,9
