Nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,5,3,2,1,-1,-1,-1,-1,-1,1,3,2,1,4,2,3,6,1,1,7,5,5,7,4
2,4,4,1,2,-1,-1,-1,-1,2,2,2,2,10,3,2,4,3,6,4,2,1,4,5,4
3,11,2,3,3,3,2,2,2,-1,1,3,5,5,6,3,5,1,1,5,2,5,5,3,2
4,9,8,2,-1,1,1,-1,2,-1,-1,9,10,8,7,15,3,4,6,7,9,5,4,10,5
5,2,4,2,-1,1,1,-1,1,3,2,7,6,11,7,14,17,9,9,11,10,9,14,4,7
6,6,6,1,1,3,-1,-1,3,-1,3,-1,3,3,3,1,6,11,9,7,10,8,6,11,6
7,-1,1,1,2,-1,1,1,1,1,1,2,-1,5,3,2,5,3,3,5,5,2,2,5,4
8,5,4,1,4,-1,-1,-1,-1,3,2,4,8,2,5,4,1,3,2,3,3,2,11,9,8
9,12,6,5,5,-1,-1,2,3,2,5,12,12,20,14,10,4,2,7,2,8,5,7,9,10
10,17,7,6,9,-1,-1,-1,6,1,3,9,13,11,8,16,9,8,19,14,23,9,11,12,12
11,7,10,-1,1,2,3,5,3,3,1,8,7,6,12,9,13,10,11,11,9,7,9,11,4
12,9,6,7,5,2,1,2,1,1,5,2,9,12,10,10,9,8,12,9,9,10,7,11,11
13,13,7,11,8,7,3,1,2,3,1,7,6,5,11,2,8,6,18,9,16,15,6,12,14
14,4,3,2,-1,4,1,6,-1,2,5,5,12,12,5,4,5,10,8,5,5,7,8,3,5
15,6,4,7,2,3,4,1,1,-1,1,1,4,5,5,9,5,7,5,8,8,11,6,10,8
16,3,2,2,2,1,1,4,2,2,3,4,6,13,5,6,4,3,5,5,2,8,5,5,2
17,6,4,2,4,5,5,1,2,1,3,10,4,15,11,6,11,11,19,8,13,7,7,9,9
18,9,10,13,3,5,3,1,3,2,3,9,4,8,5,8,10,16,11,8,9,6,12,11,12
19,5,4,8,3,1,1,1,1,-1,3,6,5,6,6,2,5,7,5,2,2,9,5,9,5
20,5,4,2,2,1,1,2,5,3,3,3,5,4,8,2,16,15,17,14,16,12,11,15,11
21,6,1,2,1,1,1,3,-1,-1,2,5,10,8,7,8,1,10,5,6,3,2,6,2,3
22,6,4,4,5,3,3,4,1,3,7,4,12,11,11,9,4,11,6,4,5,6,13,6,6
23,8,6,3,1,5,-1,1,3,1,6,6,7,9,7,6,8,9,9,9,13,8,6,6,12
24,3,1,8,4,3,2,1,3,2,5,8,7,5,10,5,5,2,8,10,6,9,9,8,5
25,15,12,7,6,5,2,-1,1,3,1,3,3,5,9,4,5,5,10,9,7,15,5,10,10
26,8,4,7,3,-1,-1,2,1,-1,-1,6,13,9,7,5,7,8,7,9,7,3,10,12,6
27,9,2,6,1,4,3,3,2,4,3,6,12,17,9,13,9,6,8,9,9,4,6,11,10
28,11,4,6,7,3,5,-1,-1,1,6,5,5,10,8,9,11,11,12,13,13,13,18,14,15
29,12,4,9,3,3,-1,3,-1,-1,-1,3,3,6,3,7,6,9,14,10,12,12,13,3,10
30,6,4,2,-1,3,-1,-1,2,2,3,6,4,8,6,4,2,2,3,12,7,11,13,6,5
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
