mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,70,66,100,146,161,225,255,211,250,219,241,245,256,226,231,332,274,247,213,198,178,315,374,252,""
02,173,158,98,140,123,167,233,223,201,177,212,197,212,218,223,278,281,308,284,237,174,142,147,108,""
03,88,92,81,89,122,166,206,210,221,238,226,255,248,219,220,287,325,280,243,440,469,257,142,118,""
04,98,85,72,95,125,214,214,385,262,276,245,241,204,255,224,327,280,253,221,347,234,188,134,106,""
05,82,70,77,93,136,201,253,195,225,215,234,235,191,220,194,305,284,240,209,166,148,142,88,67,""
06,42,18,46,64,72,116,157,210,219,200,197,206,199,220,225,339,315,165,278,232,209,223,167,127,""
07,122,109,129,105,131,159,194,207,213,206,221,262,209,197,192,292,310,264,236,237,196,214,110,69,""
08,55,43,44,68,70,193,270,189,205,202,211,206,205,200,356,351,270,240,191,247,164,100,58,55,""
09,75,54,57,96,111,160,169,188,172,162,184,200,188,183,302,294,256,169,145,116,111,91,78,47,""
10,36,34,35,27,48,56,64,69,91,93,85,107,96,115,144,197,161,134,116,129,124,98,71,47,""
11,33,40,37,52,78,129,160,193,189,210,215,217,239,245,332,365,359,303,194,211,212,106,114,85,""
12,66,63,73,101,142,239,203,186,270,253,245,264,230,250,331,351,345,361,333,309,241,209,134,129,""
13,102,103,138,148,152,198,178,180,183,198,222,233,183,210,349,385,331,285,292,354,337,190,113,121,""
14,71,89,104,122,170,218,169,199,221,204,197,195,213,224,362,361,321,352,264,259,245,221,162,112,""
15,103,105,97,103,139,202,231,247,236,188,202,224,182,230,337,397,320,316,329,264,222,260,268,231,""
16,119,175,123,95,143,213,216,213,163,171,189,188,191,203,309,349,350,294,282,339,293,199,172,130,""
17,83,78,73,107,252,377,319,246,244,203,193,233,183,207,326,338,309,269,264,227,165,225,143,115,""
18,85,86,101,107,96,109,163,205,218,254,237,296,285,342,343,332,269,314,365,345,325,314,128,111,""
19,70,70,56,71,109,166,182,195,200,203,217,195,218,208,261,374,413,366,258,265,215,185,154,108,""
20,77,68,74,84,112,135,204,199,212,182,178,183,193,188,377,428,409,411,322,258,259,197,126,146,""
21,134,104,102,71,93,176,208,164,175,139,138,159,152,179,273,299,306,298,273,213,199,149,107,96,""
22,37,32,19,42,69,99,141,177,201,179,184,189,216,235,346,343,240,219,218,206,160,109,71,62,""
23,59,58,56,79,127,154,142,185,157,280,244,118,101,181,323,346,277,284,285,280,302,293,197,188,""
24,181,133,136,210,340,326,236,245,279,304,275,246,274,341,379,368,369,287,217,198,173,135,145,92,""
25,81,71,85,90,104,152,151,151,148,175,204,255,217,223,345,322,282,214,173,187,143,136,79,56,""
26,39,40,61,41,71,108,124,111,128,130,149,168,143,176,244,268,283,230,187,171,151,127,96,71,""
27,61,48,46,56,90,123,145,177,175,193,203,194,230,260,325,301,205,183,227,193,164,118,69,83,""
28,53,44,44,59,68,83,111,142,187,231,199,238,169,202,335,278,239,278,286,249,192,172,127,133,""
29,69,27,23,36,28,43,58,71,73,59,65,58,46,66,130,110,95,75,82,107,77,75,45,24,""
30,18,19,25,29,46,94,108,166,153,168,208,212,204,217,314,390,390,349,268,216,203,157,101,78,""
31,52,36,42,66,95,137,166,169,187,200,214,223,208,204,305,306,283,256,183,165,94,105,46,-1,""
