jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,24,10,9,6,5,2,6,3,3,3,4,3,4,10,10,15,9,14,10,14,26,15,25,24,""
02,17,6,7,7,2,6,5,5,1,6,3,5,5,10,23,10,8,15,14,18,34,15,20,27,""
03,23,7,11,1,3,3,4,4,5,5,1,10,8,7,10,11,8,8,17,15,20,24,18,16,""
04,20,7,5,3,3,4,1,8,6,5,2,5,11,8,14,20,10,16,17,23,27,14,23,22,""
05,11,9,8,5,6,2,2,4,2,2,3,10,10,6,9,7,12,6,9,15,34,15,19,26,""
06,19,14,4,7,7,5,5,4,6,1,3,4,6,17,16,14,10,4,13,22,23,25,22,19,""
07,4,7,1,3,3,5,5,4,5,5,2,7,12,11,14,17,15,9,13,19,22,22,30,14,""
08,16,7,5,4,5,3,5,5,3,5,2,14,3,15,10,12,11,17,10,24,15,14,32,32,""
09,17,16,15,4,7,6,7,6,5,3,5,4,10,17,12,19,15,10,16,17,20,15,17,12,""
10,11,3,3,-1,-1,5,8,5,4,-1,8,15,11,13,15,16,4,9,9,30,14,20,20,16,""
11,17,5,2,1,2,3,10,9,-1,5,5,1,8,13,6,11,19,8,8,18,17,20,15,18,""
12,4,10,6,3,6,5,4,5,4,3,3,3,10,12,12,12,18,13,11,14,17,23,11,13,""
13,10,13,6,7,1,-1,5,3,3,4,3,7,11,12,14,13,5,22,19,15,28,12,21,15,""
14,16,12,11,1,3,3,4,6,2,3,5,2,5,9,14,15,11,14,18,14,17,19,19,25,""
15,6,4,3,5,3,2,5,8,4,4,3,6,9,11,9,18,11,18,16,20,19,19,20,18,""
16,11,8,10,8,2,8,3,7,5,4,3,3,9,11,8,17,12,10,13,16,20,15,30,25,""
17,12,14,3,5,-1,3,6,6,2,4,6,3,11,9,4,15,13,6,11,9,15,17,7,15,""
18,16,6,9,1,4,5,6,6,3,5,4,6,6,13,15,8,17,20,16,15,24,19,13,8,""
19,14,10,4,4,5,2,5,2,6,7,4,3,8,11,11,20,16,11,18,13,17,17,14,11,""
20,7,6,7,4,3,3,3,1,2,4,6,3,5,9,12,15,20,11,11,23,15,17,32,10,""
21,11,8,10,7,4,5,6,1,3,5,4,8,6,19,18,17,12,16,16,17,19,27,13,19,""
22,22,14,3,1,2,3,5,4,7,3,5,9,10,19,20,16,22,23,12,17,22,19,20,12,""
23,16,15,9,9,7,5,5,7,1,2,3,5,14,20,21,17,34,26,26,26,23,23,17,19,""
24,19,10,10,3,2,7,3,12,11,10,9,8,14,17,30,26,31,31,24,24,38,24,23,14,""
25,15,-1,6,5,2,4,8,4,2,1,4,7,11,25,25,43,22,17,32,33,23,29,22,11,""
26,14,4,6,3,5,8,9,5,8,4,9,7,14,32,22,19,38,31,29,25,27,14,26,18,""
27,20,8,5,5,6,4,3,5,6,5,2,10,16,27,23,24,15,31,17,28,34,23,18,22,""
28,19,12,13,6,9,7,6,5,1,3,7,1,11,22,29,32,35,28,37,29,32,19,18,12,""
29,11,9,5,2,6,3,8,5,5,6,12,7,14,20,40,31,35,27,17,30,31,23,15,10,""
30,14,4,6,4,7,6,4,2,2,5,4,5,11,29,15,29,26,23,23,30,39,21,16,64,""
31,23,24,12,4,6,7,11,7,9,18,7,3,11,22,18,32,21,24,35,30,25,34,17,0,""
[E]g$zh`}fIb,"a'k`nefkl'gl'cy"
