jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,102,121,79,133,129,143,140,106,117,135,68,39,39,42,71,31,40,16,10,15,30,36,0,84
02,114,147,174,133,146,172,227,210,214,149,108,50,53,82,68,39,31,30,26,19,32,42,20,20
03,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,0,0,0,0,0,1,5,1,0,0,0,0,0,0,22,96,68,30,138,13,0,0,0,0
05,0,8,48,57,70,95,98,113,70,2,1,0,0,0,6,7,12,46,29,99,0,5,0,0
06,12,29,41,101,56,48,34,214,125,11,39,0,0,0,0,4,61,60,130,49,10,0,0,0
07,0,0,4,42,52,71,43,7,15,7,0,10,0,1,0,2,0,0,0,0,0,0,75,0
08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09,0,0,0,0,0,0,103,79,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0
10,0,0,0,0,0,3,110,145,166,180,111,87,124,93,138,71,30,86,181,118,72,24,1,0
11,0,0,0,1,23,59,91,117,80,64,13,5,51,111,0,0,21,40,121,0,3,0,0,0
12,0,0,0,0,0,2,42,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,68,33,58,35,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,9,0,0,0,25,1,6,0,1,0,76,136,22,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,0,0,0,0,0,0,0,0,4,0,0,15,52,66,73,29,66,5,0,0,0,0,0,0
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,30,251,105,67,36,6,8,26,27,6,78,163,60,172
19,151,24,30,65,32,34,29,39,60,19,13,5,7,38,56,69,63,66,52,66,145,61,64,45
20,33,24,25,40,21,13,23,18,42,26,93,26,98,4,39,7,5,12,112,5,13,16,37,16
21,19,12,13,21,14,52,21,16,33,8,56,21,31,12,20,25,17,16,16,18,21,42,43,35
22,41,40,45,41,65,37,67,137,78,134,209,35,6,131,26,63,45,29,29,35,195,234,86,69
23,75,53,61,73,53,69,61,99,52,67,103,117,87,52,30,17,15,23,39,19,80,116,104,64
24,57,44,53,127,32,31,23,50,58,176,95,45,145,86,84,38,9,82,8,85,89,129,111,95
25,111,57,51,74,42,45,41,29,49,24,17,16,2,15,20,8,54,8,41,193,399,7,69,49
26,19,20,44,15,7,49,108,120,286,181,118,105,92,131,85,57,45,27,39,6,19,18,46,30
27,53,39,36,47,25,55,32,16,85,271,124,116,79,75,96,62,67,38,13,12,26,24,36,59
28,39,40,53,39,30,35,32,22,11,18,0,0,0,0,0,0,0,0,0,0,0,8,12,0
29,0,0,0,0,0,1,0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,9,6,16,73,83,69,39,66,56,41,43,4,2,3,6,3,27,20
31,14,9,52,88,66,54,52,132,194,97,6,6,85,122,73,64,70,85,67,95,51,69,141,-1,-1
