jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,0,1,2,4,10,15,11,12,19,33,38,31,27,29,26,36,13,16,12,6,4,2,5,4,""
02,2,0,2,6,8,21,22,23,26,35,45,47,44,56,73,54,19,19,33,35,41,32,8,2,""
03,0,0,2,1,7,7,16,15,23,52,51,66,112,185,228,193,166,112,89,103,84,39,20,7,""
04,6,1,2,1,4,3,8,8,12,31,43,53,52,61,61,47,36,15,15,18,15,7,2,0,""
05,1,2,2,8,17,18,17,9,15,19,20,18,27,22,21,34,13,15,15,12,17,3,0,2,""
06,2,2,5,12,15,19,17,19,36,47,57,67,73,63,65,56,15,23,22,38,40,34,42,19,""
07,9,4,5,6,15,25,14,14,21,19,39,36,28,59,48,53,33,18,9,14,17,4,3,6,""
08,2,3,25,42,37,31,19,18,12,20,17,19,24,27,17,22,14,6,11,8,6,4,1,0,""
09,1,0,0,1,1,10,8,8,9,20,20,35,33,35,38,32,13,6,8,2,5,2,2,1,""
10,1,0,1,5,8,8,7,6,2,17,27,42,31,34,37,22,15,6,12,10,3,8,0,4,""
11,3,5,1,6,14,9,13,12,15,15,42,27,34,33,36,42,24,26,36,17,14,15,2,5,""
12,2,3,3,2,6,9,10,5,11,38,54,48,79,66,58,41,27,32,31,29,16,5,1,2,""
13,0,1,7,8,10,11,16,18,17,30,44,29,31,33,34,29,24,14,20,8,4,2,0,1,""
14,0,0,2,2,6,8,2,2,7,12,13,15,26,22,23,28,21,13,24,18,11,2,4,3,""
15,2,2,1,2,6,5,9,9,7,14,23,17,23,21,25,25,15,11,10,5,3,7,2,2,""
16,0,4,4,1,5,6,11,10,13,27,26,36,40,39,33,35,25,14,15,13,9,11,2,1,""
17,1,0,2,1,7,9,14,9,16,25,53,40,40,38,27,29,20,11,14,20,14,10,2,0,""
18,1,0,1,5,5,8,8,12,15,27,39,22,31,24,26,19,13,11,10,5,15,3,1,1,""
19,3,24,15,5,9,17,17,10,25,57,51,50,46,68,54,34,24,20,21,9,6,7,2,2,""
20,0,2,2,2,4,13,10,13,19,41,57,40,31,26,46,16,23,13,32,32,9,1,4,3,""
21,0,0,1,5,6,7,13,6,10,17,41,26,44,27,26,27,27,12,22,10,5,8,1,0,""
22,2,0,2,0,-1,13,12,10,14,30,32,41,33,25,45,15,16,4,17,17,7,5,1,2,""
23,0,3,2,1,7,12,11,10,9,11,10,7,15,5,11,11,4,6,8,3,0,1,1,2,""
24,0,0,2,2,3,7,9,6,14,15,14,12,14,10,7,13,12,8,9,5,3,6,3,0,""
25,1,3,3,7,16,19,19,5,7,10,23,14,27,11,16,33,28,19,19,16,7,5,0,1,""
26,1,0,1,3,2,2,6,5,4,18,21,11,29,32,39,30,10,11,13,-1,11,5,2,0,""
27,1,1,2,3,7,4,15,7,3,9,10,21,10,15,24,25,13,8,16,9,6,3,0,1,""
28,1,2,2,5,12,16,13,10,16,9,18,11,14,18,16,19,7,-1,7,7,5,5,6,3,""
29,1,2,3,3,5,20,17,10,7,15,20,27,24,18,25,18,10,10,8,3,2,0,1,2,""
30,0,0,3,1,6,8,13,6,10,16,27,22,15,17,30,22,6,10,18,7,9,6,4,1,""
31,0,1,1,2,3,10,9,7,17,17,20,22,23,27,17,27,30,23,27,17,12,10,5,-1,""
