dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,4,0,1,5,3,2,5,1,1,1,3,5,3,0,2,2,2,2,0,1,0,0,0,0,""
02,0,2,2,1,2,8,2,1,0,0,1,0,1,0,4,3,1,0,1,0,1,0,5,2,""
03,1,3,5,2,4,1,2,6,4,2,1,2,2,1,1,2,1,1,2,3,7,4,0,4,""
04,2,1,3,4,1,1,3,4,2,2,1,6,2,2,1,2,1,2,2,4,0,0,2,1,""
05,3,1,6,4,4,2,0,4,3,0,4,3,1,0,0,3,2,1,4,1,0,0,1,3,""
06,1,1,2,6,1,1,2,0,1,2,2,6,0,1,1,0,1,3,0,0,1,1,0,3,""
07,1,0,2,2,1,2,2,9,1,1,1,4,1,1,4,3,1,1,1,1,1,0,0,2,""
08,1,6,3,2,1,2,7,4,5,2,1,2,2,7,1,0,2,1,1,0,1,5,1,0,""
09,0,0,0,6,1,5,6,4,2,3,3,3,2,3,0,2,2,0,3,1,0,1,1,2,""
10,1,7,3,8,3,13,10,6,6,4,1,2,0,3,4,6,4,5,1,3,3,3,1,4,""
11,2,5,6,6,12,8,13,5,8,2,1,4,1,4,1,3,0,0,1,3,4,0,0,2,""
12,1,2,7,12,10,8,10,17,7,9,3,0,1,7,4,1,1,1,4,1,3,4,0,1,""
13,0,2,7,26,13,16,9,29,14,19,8,7,5,1,1,0,5,7,15,13,8,2,1,0,""
14,2,0,14,24,20,17,24,23,20,9,8,4,3,0,1,2,1,0,7,2,1,0,0,2,""
15,1,2,3,4,3,4,7,6,4,2,3,1,0,4,0,4,2,0,3,0,0,2,2,2,""
16,3,2,1,4,2,3,6,4,2,9,2,2,1,0,0,0,2,2,2,1,0,2,0,2,""
17,2,1,2,6,2,4,0,1,2,4,6,3,3,3,2,4,2,3,1,0,0,1,0,0,""
18,1,6,5,4,7,2,1,1,0,3,1,3,2,3,1,2,3,0,0,0,0,0,0,3,""
19,2,2,3,4,1,0,5,4,3,3,5,2,1,1,0,2,1,0,1,0,1,0,2,1,""
20,0,1,0,4,1,2,5,2,3,6,3,4,1,3,2,0,5,2,2,0,2,0,1,0,""
21,0,0,4,7,2,2,2,0,4,2,1,3,3,3,3,3,3,2,0,1,1,0,2,3,""
22,0,3,2,1,2,5,4,5,0,3,-1,6,1,3,0,5,0,1,1,0,0,1,2,3,""
23,0,1,2,3,3,1,5,3,4,1,7,0,1,0,0,0,2,0,2,1,1,0,0,0,""
24,1,1,0,3,2,2,3,1,0,4,4,1,1,1,1,2,3,2,0,0,0,0,0,1,""
25,4,0,3,3,0,1,0,3,2,3,3,1,0,1,1,0,4,0,0,0,0,0,1,1,""
26,5,0,4,2,0,4,2,2,1,0,10,2,1,4,2,1,1,2,1,2,1,0,1,1,""
27,2,1,3,0,4,4,1,2,1,2,2,3,2,2,2,3,2,0,0,0,1,1,1,2,""
28,0,0,1,1,2,3,0,0,1,1,1,3,1,3,3,1,0,0,0,2,1,0,0,2,""
29,3,4,4,1,2,5,4,1,1,3,4,2,2,2,1,2,1,0,1,0,2,0,0,0,""
30,0,2,1,0,2,2,3,0,5,1,2,0,1,1,1,0,1,2,0,0,2,0,0,2,""
31,2,4,3,1,2,1,2,1,1,2,5,0,0,4,1,2,3,2,0,1,1,1,1,-1,""
