May,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,57,47,58,58,86,117,71,111,82,41,41,44,59,59,55,35,65,50,44,70,54,46,54,142
2,136,158,170,124,153,142,121,113,98,48,51,28,56,46,68,50,49,40,42,41,27,26,22,22
3,36,25,49,41,28,32,28,53,76,39,24,27,18,35,17,19,23,20,24,15,21,25,28,39
4,53,97,104,66,117,165,206,175,180,93,44,37,29,31,36,32,53,95,77,99,78,148,164,157
5,62,86,172,94,115,98,100,99,75,43,39,39,28,50,39,117,33,43,95,60,51,73,126,51
6,44,37,18,66,68,26,48,49,49,62,36,44,26,32,14,19,26,38,35,59,86,50,31,23
7,25,35,51,88,82,75,155,111,104,30,37,33,38,29,54,48,38,54,49,49,52,71,124,83
8,123,83,36,43,31,159,151,134,153,86,70,63,53,49,45,105,86,87,71,84,102,47,60,38
9,41,20,26,55,33,37,34,56,81,51,53,35,24,34,31,24,28,35,30,34,26,49,53,63
10,36,60,72,55,92,129,172,178,179,126,45,20,26,26,23,29,16,18,17,29,41,33,136,198
11,207,169,183,217,188,209,207,198,208,217,155,31,29,28,13,12,24,28,47,14,24,28,16,46
12,54,35,42,25,58,96,83,107,97,110,81,71,67,45,72,31,58,55,98,99,98,119,112,102
13,68,156,131,117,153,155,169,173,166,105,97,68,70,56,58,45,26,37,47,66,85,104,108,146
14,87,103,162,141,78,83,95,103,109,62,44,42,39,44,21,16,13,5,3,9,12,84,73,99
15,94,98,116,188,150,94,142,167,189,164,34,36,37,30,43,43,39,32,37,33,43,35,46,52
16,54,49,52,65,86,46,107,103,137,197,175,37,52,38,61,72,46,45,35,85,85,170,159,33
17,48,70,71,53,57,50,57,72,90,51,42,37,30,24,49,41,60,72,76,48,54,90,110,101
18,109,58,88,106,95,126,97,119,120,75,50,46,25,25,38,74,71,90,88,52,19,42,11,64
19,93,127,126,119,101,130,179,141,176,157,112,104,91,68,52,30,29,40,26,55,34,60,24,37
20,27,33,50,29,68,83,95,59,81,74,75,117,159,106,42,44,31,71,135,161,116,34,27,28
21,30,21,24,38,35,42,61,78,68,68,70,92,118,103,64,31,28,54,44,26,37,56,43,43
22,45,49,57,52,31,31,63,52,34,80,25,78,36,15,34,52,51,28,24,36,89,87,111,53
23,103,156,90,196,107,204,202,109,87,152,143,55,40,35,44,53,59,49,89,175,175,154,177,89
24,88,35,42,151,131,113,90,114,103,106,92,60,60,79,45,27,36,41,30,27,24,25,37,42
25,79,79,114,53,44,39,25,22,17,19,33,34,20,21,24,32,40,57,82,155,171,91,68,68
26,106,161,177,198,205,161,166,171,180,85,41,39,33,39,49,31,45,42,33,33,15,31,24,27
27,29,17,73,35,36,126,165,76,151,82,34,52,17,28,25,28,28,47,28,36,23,25,61,39
28,29,16,77,114,120,86,110,170,108,131,90,33,32,24,34,60,83,106,66,88,65,71,39,30
29,109,99,108,92,69,106,137,125,138,89,27,21,9,40,62,73,62,89,105,87,73,76,75,124
30,90,41,147,117,118,95,88,129,120,172,113,20,28,30,60,51,48,53,60,46,66,60,123,140
31,153,102,96,96,61,57,100,22,48,68,97,33,24,39,22,125,79,194,67,123,140,160,190,170
