feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,100,110,129,151,145,138,133,136,126,117,131,98,94,82,64,40,37,45,54,70,70,66,67,94,""
02,99,129,95,80,36,86,113,63,134,110,125,79,67,58,78,87,44,54,35,29,22,28,61,67,""
03,88,113,129,140,142,136,127,117,121,137,135,128,84,53,55,68,2,41,55,40,27,26,56,74,""
04,94,113,114,152,118,147,115,85,66,65,95,90,89,86,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,98,74,45,39,33,22,24,26,43,42,46,53,""
06,35,65,88,92,62,55,61,50,67,47,64,87,109,77,0,30,29,36,40,59,50,56,57,55,""
07,57,61,83,72,74,69,49,29,78,17,128,106,113,73,59,51,48,38,46,54,43,61,44,51,""
08,53,88,118,102,144,125,121,99,100,98,64,38,21,19,12,8,4,7,10,17,18,17,18,22,""
09,31,35,64,67,72,86,78,97,77,52,35,43,32,22,18,20,30,26,38,50,55,54,30,30,""
10,37,29,56,65,75,77,83,77,64,59,76,38,58,51,53,38,29,38,32,34,39,42,48,58,""
11,69,58,94,76,41,31,53,45,60,53,96,27,0,3,5,4,0,1,0,0,0,0,0,0,""
12,0,1,0,0,0,0,0,0,3,71,88,106,91,80,72,58,38,50,38,45,61,48,58,67,""
13,109,110,151,121,144,127,127,135,106,107,108,126,100,51,75,66,49,54,39,54,55,62,67,56,""
14,68,102,128,132,147,118,112,94,89,99,80,97,92,92,60,29,28,20,18,29,25,37,21,20,""
15,36,37,65,58,46,68,47,38,42,30,43,43,35,29,35,18,19,8,21,19,34,50,53,47,""
16,88,91,73,39,29,77,56,78,76,53,50,47,84,87,68,47,32,48,38,37,45,44,63,73,""
17,72,82,57,75,55,85,77,63,80,105,93,89,85,71,52,32,25,21,28,36,45,57,73,70,""
18,76,89,120,126,127,130,100,87,91,85,91,83,60,17,16,8,18,28,26,39,37,55,54,74,""
19,80,87,78,90,61,38,50,39,50,42,29,38,17,19,18,39,25,28,23,19,30,18,45,69,""
20,84,71,119,138,116,132,107,83,92,88,81,74,75,40,23,14,12,20,16,23,35,24,40,40,""
21,41,31,44,34,31,26,23,20,22,20,30,27,32,31,22,35,26,24,13,38,43,24,26,10,""
22,69,71,92,74,80,72,54,52,78,96,116,94,78,46,27,18,20,12,20,16,19,14,47,51,""
23,76,82,41,41,43,41,47,34,69,30,43,83,76,46,79,35,36,43,25,46,37,46,52,45,""
24,39,43,36,49,36,34,47,38,67,96,91,97,91,81,70,55,41,33,20,29,29,20,14,16,""
25,25,14,22,21,32,26,32,16,32,26,39,21,26,30,21,22,20,16,20,24,20,20,21,20,""
26,36,54,60,57,48,41,27,30,94,97,91,99,97,90,72,65,33,49,41,38,45,57,62,61,""
27,91,107,91,106,94,57,24,50,74,79,86,60,79,67,51,33,21,20,20,20,28,17,18,27,""
28,34,44,50,48,42,40,26,30,33,32,25,35,33,31,19,24,13,15,14,13,15,49,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
