Jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,21,7,21,22,32,38,37,60,52,28,16,14,40,41,49,37,28,19,11,11,10,17,51,21
2,14,12,16,31,42,48,51,45,46,44,17,30,33,101,53,43,33,14,17,10,12,11,26,26
3,24,19,20,25,48,61,56,76,51,39,14,39,37,61,48,36,25,19,8,17,8,22,26,15
4,25,16,22,58,51,59,56,60,24,32,15,24,47,50,54,42,41,21,15,14,16,16,17,16
5,46,157,95,33,54,42,88,71,79,112,163,25,49,69,181,79,28,15,52,59,15,20,27,21
6,20,22,25,26,52,70,82,59,50,34,20,17,50,77,66,42,38,8,12,7,12,13,23,21
7,17,25,9,43,63,98,98,74,63,33,43,53,100,105,79,62,52,23,11,7,11,12,15,19
8,25,19,23,32,42,71,79,74,123,55,25,45,67,86,77,82,40,23,34,12,4,15,28,12
9,12,17,27,50,56,71,84,78,78,68,47,57,100,117,82,45,31,23,11,18,13,14,25,34
10,18,25,23,45,74,77,109,104,149,92,79,31,72,100,99,68,41,14,17,16,12,20,27,25
11,32,15,36,59,50,60,65,89,50,37,28,34,75,94,84,187,127,79,17,8,11,18,51,24
12,41,23,28,49,61,64,92,62,70,59,18,36,101,89,109,82,39,28,9,16,11,17,22,17
13,28,17,37,65,73,98,76,59,49,29,25,43,98,123,105,63,120,124,38,13,136,177,70,39
14,79,21,46,42,48,61,80,95,29,67,57,40,68,84,75,72,90,71,13,3,10,23,24,40
15,27,28,30,62,104,119,92,133,148,174,190,85,57,85,51,58,42,50,61,68,8,14,30,23
16,13,10,26,24,85,70,58,71,41,28,32,59,72,66,59,39,25,27,11,12,19,15,18,37
17,37,31,50,38,68,64,179,83,42,119,27,37,72,70,90,46,40,21,4,11,12,30,31,39
18,28,17,39,42,52,78,58,64,59,31,10,23,43,58,57,50,36,32,13,16,9,16,41,34
19,25,29,25,39,48,55,75,63,50,33,74,52,50,69,53,62,33,21,10,8,122,39,25,25
20,29,37,42,47,60,66,53,54,38,17,19,25,42,57,56,50,22,17,13,9,16,12,33,27
21,32,17,34,45,51,52,66,87,56,34,28,29,47,43,65,41,44,19,11,7,12,21,21,36
22,48,24,22,48,69,61,54,51,49,68,26,35,38,66,172,87,48,30,10,15,11,27,30,35
23,37,24,27,36,51,50,52,70,99,191,160,135,162,7,36,120,62,21,10,14,19,17,67,23
24,33,32,34,45,51,59,72,72,95,327,122,11,-1,-1,13,117,82,16,12,37,225,88,15,120
25,133,229,50,28,74,83,104,-1,-1,1,44,166,114,167,255,192,284,48,9,94,310,55,86,224
26,119,55,28,39,46,64,58,61,35,65,58,29,54,158,80,35,39,20,36,42,10,23,27,37
27,26,44,19,44,45,70,49,59,47,36,52,212,90,79,-1,22,24,33,83,189,215,27,18,34
28,42,34,35,34,47,69,68,141,82,22,150,11,25,18,25,18,24,77,86,18,61,13,22,70
29,4,60,155,29,17,60,49,129,38,15,11,13,8,24,24,21,24,17,14,7,5,17,18,27
30,21,12,33,26,25,36,31,34,43,32,142,73,18,25,25,26,23,14,4,7,16,19,26,36
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
