Jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,6,14,14,29,19,25,31,27,22,18,7,10,2,5,1,1,1,2,2,1,-1,-1,-1
2,-1,-1,5,22,31,37,16,40,30,28,29,16,15,11,10,1,1,2,2,3,1,1,-1,1
3,6,1,3,7,15,24,35,32,39,32,32,22,14,6,4,6,1,1,1,5,-1,2,4,-1,-1
4,-1,-1,14,16,11,23,36,60,46,41,43,32,17,4,5,1,-1,2,10,2,7,2,-1,-1,-1
5,-1,1,8,40,34,38,63,66,59,43,46,28,21,7,7,20,9,1,-1,1,2,4,-1,-1,-1
6,-1,-1,4,10,15,50,74,76,50,60,55,51,40,31,14,6,4,1,-1,1,1,4,1,-1,-1
7,-1,-1,7,20,19,39,35,53,48,39,41,37,38,20,3,2,1,1,5,2,6,1,-1,-1,-1
8,-1,-1,11,14,33,61,51,62,43,52,58,34,30,11,3,3,17,1,3,2,2,1,-1,-1,-1
9,-1,-1,12,29,40,-1,-1,33,45,-1,-1,45,31,11,12,3,3,-1,-1,-1,7,5,6,9
10,-1,-1,7,11,8,17,19,39,29,-1,37,39,-1,-1,35,-1,-1,-1,-1,-1,1,2,-1,-1,-1
11,-1,-1,5,21,23,50,66,58,43,51,-1,37,37,8,8,3,2,1,2,2,2,2,-1,-1,-1
12,-1,1,12,18,27,31,50,59,62,48,52,59,43,16,11,3,2,1,2,4,2,3,2,-1,-1
13,-1,-1,1,9,20,29,44,58,71,72,32,54,41,25,13,2,2,2,2,3,3,3,4,2
14,5,6,25,12,14,19,24,33,115,142,56,33,22,-1,-1,17,-1,-1,-1,1,3,5,-1,-1,-1
15,-1,-1,7,6,20,57,59,29,-1,-1,39,19,27,4,11,-1,-1,-1,-1,4,4,2,-1,-1,-1
16,-1,-1,15,24,56,32,42,31,28,28,24,28,22,14,4,2,2,2,4,2,3,3,-1,-1,-1
17,-1,-1,17,26,21,34,36,29,26,21,22,28,22,11,6,2,3,2,1,3,3,2,-1,-1,-1
18,-1,-1,9,12,30,32,27,26,25,30,22,24,22,16,9,7,1,2,1,2,3,3,1,-1,-1
19,-1,-1,13,10,13,33,21,47,118,47,28,30,19,15,10,2,1,2,1,2,9,4,2,-1,-1
20,-1,-1,-1,7,19,38,30,42,38,34,33,32,18,15,13,2,2,3,2,3,2,4,-1,-1,-1
21,-1,-1,16,5,23,40,24,35,20,17,25,15,20,12,5,3,-1,-1,2,3,3,4,-1,-1,-1
22,-1,-1,9,20,22,22,24,26,31,32,29,22,18,13,3,3,2,2,2,1,2,3,-1,-1,-1
23,-1,4,11,24,19,-1,-1,-1,-1,24,48,55,16,20,5,6,3,14,1,3,3,13,1,-1,-1
24,-1,-1,5,11,7,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,20,3,16,10,-1,-1
25,-1,-1,9,19,20,24,18,20,22,22,-1,15,9,12,-1,-1,-1,1,1,-1,-1,8,-1,-1,-1
26,-1,-1,8,8,15,30,33,27,43,30,27,-1,-1,23,11,16,-1,-1,-1,4,2,2,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,39,37,48,31,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1
28,-1,-1,9,15,25,27,35,41,25,29,25,21,13,13,8,6,1,4,-1,3,3,15,-1,-1,-1
29,-1,3,13,11,15,45,16,67,22,-1,-1,-1,10,12,8,4,-1,-1,-1,3,3,3,-1,-1,-1
30,-1,-1,20,17,17,18,12,26,25,18,20,15,8,10,10,-1,-1,-1,1,1,3,1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
