apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,91,89,93,98,63,59,74,79,79,71,77,62,49,54,41,36,11,23,27,27,31,48,62,60,""
02,70,68,99,84,67,72,76,64,67,61,71,59,64,53,58,26,28,16,22,22,35,47,63,64,""
03,85,84,83,68,58,61,78,62,63,66,63,62,59,53,44,27,26,21,20,20,33,51,51,75,""
04,80,71,93,78,83,76,64,75,73,73,69,64,60,74,39,33,19,27,34,31,33,50,51,69,""
05,89,86,103,94,79,76,64,65,63,68,71,66,67,43,34,48,28,22,16,21,34,47,59,64,""
06,77,80,79,73,83,61,65,73,78,71,82,59,70,59,53,42,23,24,23,27,41,51,55,69,""
07,83,95,90,82,74,83,89,67,70,63,74,67,62,51,47,39,27,23,21,28,30,37,51,53,""
08,85,85,93,88,76,88,82,73,78,57,83,59,75,69,62,38,27,31,22,21,36,45,51,62,""
09,89,84,104,92,66,80,83,62,67,74,63,44,61,44,52,47,28,26,24,25,35,47,56,60,""
10,82,93,102,77,81,69,65,70,62,70,58,66,73,65,53,41,31,23,18,34,43,47,61,65,""
11,85,86,90,89,72,78,73,63,80,60,62,61,70,68,55,36,34,25,25,29,40,36,54,84,""
12,84,98,94,82,67,85,68,66,74,68,63,58,67,53,34,33,25,29,29,22,37,38,47,64,""
13,72,90,94,103,82,80,81,87,70,97,64,64,57,61,52,36,26,18,25,29,34,44,57,89,""
14,92,115,83,75,75,76,89,74,90,63,72,64,67,57,58,36,29,25,32,20,42,54,66,79,""
15,76,126,94,72,70,70,94,75,0,0,0,0,1,45,52,36,31,23,17,30,36,58,72,74,""
16,83,107,113,96,92,91,90,90,84,77,99,87,69,59,62,44,37,35,28,41,43,51,65,88,""
17,83,101,111,99,84,83,85,103,81,86,81,83,89,67,62,36,31,19,25,34,39,50,79,76,""
18,101,95,104,116,75,85,92,82,77,101,79,85,76,67,49,41,35,20,32,25,46,56,90,95,""
19,95,114,108,88,85,85,84,84,88,84,85,84,68,61,42,31,24,20,22,24,30,51,53,71,""
20,89,98,93,81,80,81,92,84,77,74,77,73,75,55,48,36,28,20,33,31,43,45,75,77,""
21,107,91,85,87,82,71,81,76,102,97,85,93,71,58,66,50,24,21,25,30,36,56,62,68,""
22,89,93,110,82,85,77,91,86,89,98,94,73,70,67,54,43,35,26,27,40,48,54,76,98,""
23,116,114,111,69,97,94,102,82,96,103,85,71,73,69,57,38,33,23,25,26,37,47,67,79,""
24,87,103,83,85,92,88,86,94,101,81,73,79,63,75,67,48,37,26,28,22,36,54,89,84,""
25,124,100,91,82,94,99,101,100,102,82,86,70,88,63,61,38,37,16,33,40,45,52,79,81,""
26,115,105,103,102,101,89,91,76,93,92,91,110,81,73,50,48,61,64,32,40,38,47,73,75,""
27,84,104,112,94,103,102,101,85,89,105,96,87,71,75,60,44,54,23,23,29,45,54,79,107,""
28,100,103,98,87,88,110,108,114,83,92,109,88,61,60,59,44,24,19,36,42,43,48,72,83,""
29,98,101,90,101,101,104,108,110,98,91,100,93,65,79,58,37,31,34,35,26,30,50,72,80,""
30,110,84,101,90,102,84,109,85,109,83,87,100,65,58,58,42,36,29,29,28,43,56,85,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
