jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,8,2,7,4,5,7,8,7,7,6,2,8,12,10,4,2,5,11,10,6,9,2,1,2
02,9,7,5,4,5,2,9,5,8,7,9,3,6,6,4,1,6,6,8,6,3,4,5,5
03,6,2,10,3,4,6,6,3,4,1,5,8,8,5,1,6,1,7,5,5,6,3,5,3
04,8,5,6,4,7,4,3,9,5,3,12,4,5,3,7,5,7,5,1,5,8,5,6,3
05,7,7,3,4,7,9,4,9,6,6,5,2,10,9,11,5,17,18,13,12,6,11,23,25
06,11,1,6,29,32,25,28,10,7,3,6,19,10,7,26,24,16,22,11,20,5,7,8,17
07,12,31,37,43,35,35,12,13,8,11,6,23,21,19,10,1,7,7,6,12,5,27,18,10
08,16,22,8,25,12,8,9,27,13,4,6,21,1,20,14,5,4,9,21,11,5,9,3,13
09,11,2,11,5,5,3,15,12,7,5,5,2,4,3,1,6,6,10,25,5,16,8,8,8
10,23,9,10,10,15,13,7,7,4,2,8,6,7,5,3,9,7,7,7,12,11,37,7,15
11,4,22,39,30,40,12,17,35,29,7,6,10,12,27,16,6,14,6,12,16,19,25,29,29
12,9,6,19,19,22,6,18,16,18,4,8,6,14,5,12,17,26,4,24,2,9,10,7,7
13,8,9,5,9,9,10,16,17,12,7,3,5,10,5,2,10,12,18,10,8,12,10,9,14
14,7,10,5,6,6,7,12,11,11,8,9,14,17,20,19,2,3,8,13,10,11,13,6,4
15,8,7,6,9,2,4,10,6,9,15,9,14,19,5,14,3,4,4,7,12,2,6,6,14
16,10,9,9,8,4,9,4,6,17,5,5,8,10,22,5,4,9,6,13,20,4,7,6,4
17,10,8,8,5,3,9,5,6,8,4,7,8,8,10,11,6,15,11,6,9,15,9,8,2
18,6,11,10,5,3,7,5,10,9,5,6,7,9,8,4,4,5,20,25,18,8,15,17,6
19,12,7,4,7,8,4,13,7,11,13,9,6,15,16,26,11,38,6,2,5,17,11,2,5
20,2,3,9,4,3,3,3,12,14,9,8,9,9,7,6,6,4,1,20,5,3,6,3,5
21,2,5,3,2,7,3,5,9,6,2,10,2,3,7,4,1,9,17,12,21,10,6,12,16
22,8,4,10,9,8,12,11,8,13,11,11,8,10,15,7,10,9,5,22,24,19,25,4,11
23,7,3,11,8,6,8,10,13,17,17,11,4,11,6,9,12,10,12,4,10,10,7,6,5
24,5,7,9,9,15,17,13,24,25,17,14,26,13,9,12,37,42,29,9,8,10,9,6,5
25,8,6,6,9,9,7,6,5,14,7,12,3,6,17,10,10,8,7,26,17,15,11,12,13
26,7,3,10,9,6,6,9,5,8,3,7,9,9,3,5,10,4,9,8,10,23,9,8,8
27,12,5,6,7,12,4,14,3,12,2,8,4,12,17,11,8,10,6,5,11,9,6,5,5
28,3,7,14,7,9,8,13,11,3,14,11,12,16,8,25,18,17,12,17,9,8,12,10,10
29,16,22,17,21,11,15,9,14,13,13,15,15,13,19,15,12,15,10,13,21,11,13,9,21
30,12,19,16,7,15,15,9,19,7,14,18,17,9,10,8,13,11,14,9,17,15,13,10,6
31,6,7,13,8,13,11,17,12,12,9,12,8,13,17,10,8,11,13,35,12,11,10,10,7
