jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,10,10,15,29,16,20,8,17,4,6,11,6,17,12,20,25,17,16,18,8,15,21,92,25
02,20,78,144,17,9,13,13,13,3,7,7,10,10,17,11,20,25,14,16,11,23,63,71,31
03,19,15,7,5,6,8,5,10,7,4,10,7,9,14,16,14,16,10,15,32,26,6,28,10
04,8,10,6,9,14,11,11,11,13,8,6,12,18,11,11,20,22,14,29,14,12,8,22,13
05,9,10,10,16,12,13,7,8,7,9,9,8,9,9,13,30,14,16,9,5,6,24,28,9
06,21,11,15,22,14,9,11,13,13,11,14,7,9,13,21,26,27,4,-1,3,12,4,24,9
07,7,13,10,15,9,4,8,7,4,6,11,7,3,5,9,17,29,16,5,7,6,14,16,16
08,10,18,7,10,11,8,3,6,7,5,13,6,12,4,8,20,20,15,13,7,5,8,8,9
09,16,15,12,6,9,15,5,7,6,7,10,9,6,9,6,12,14,14,4,11,21,13,15,10
10,5,10,7,14,11,3,10,12,8,12,4,1,5,12,8,10,9,9,33,-1,11,21,4,7
11,20,3,24,15,8,7,6,3,7,9,5,5,5,4,12,6,12,10,7,27,89,30,6,3
12,-1,3,2,6,10,10,14,2,3,5,11,4,1,10,9,22,13,10,2,6,3,6,7,20
13,17,26,8,12,12,6,10,3,10,7,16,7,6,7,11,10,10,16,6,9,2,9,11,9
14,4,14,12,2,17,5,3,7,8,7,8,4,6,8,2,4,1,10,4,2,3,-1,4,2
15,7,7,27,22,8,10,4,4,4,7,3,4,6,8,8,13,10,12,10,4,33,148,21,6
16,11,5,6,11,10,5,12,9,9,9,13,9,8,10,14,20,34,29,41,15,17,150,51,10
17,19,7,27,33,13,19,8,5,7,2,4,4,3,11,12,16,16,6,2,18,147,83,8,10
18,27,37,24,9,7,3,4,4,3,1,-1,3,2,3,5,12,7,4,8,6,10,28,32,10
19,4,6,3,3,7,4,4,4,4,4,4,6,4,6,6,7,13,11,6,5,8,11,69,47
20,7,12,13,8,6,6,6,6,11,6,7,8,6,3,15,18,13,13,11,26,15,43,92,22
21,7,7,9,12,19,6,6,5,7,8,12,7,8,7,17,29,23,13,14,7,11,15,16,14
22,10,16,27,22,20,15,10,12,14,10,10,11,11,8,3,13,8,11,6,2,10,17,12,57
23,61,43,20,3,11,9,17,11,34,30,12,5,22,5,11,19,15,14,10,10,8,8,31,15
24,11,12,21,22,8,13,15,10,9,10,19,16,38,8,10,13,10,5,14,7,7,13,14,11
25,18,16,7,15,15,17,15,13,11,7,10,11,6,17,11,21,14,11,9,12,8,11,15,10
26,11,12,10,15,25,13,16,15,18,15,12,8,16,10,25,24,18,18,9,10,8,9,19,25
27,14,12,15,13,18,17,20,15,27,24,19,21,19,12,12,15,15,13,13,4,13,13,13,13
28,5,32,15,11,23,27,33,33,24,11,20,19,11,15,11,10,20,8,7,47,91,23,14,60
29,11,4,13,30,16,22,31,24,19,23,24,15,10,9,11,10,19,12,13,8,12,17,21,8
30,20,12,20,14,32,26,18,13,29,17,26,18,21,29,15,23,18,20,18,11,21,16,24,25
31,26,11,14,36,18,35,32,38,34,21,14,24,15,10,8,20,21,23,15,9,14,12,11,1
