May,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,57,60,74,81,74,108,115,149,143,146,112,124,127,115,99,75,49,15,21,22,30,31,42,49
2,55,63,69,74,78,116,111,130,133,141,109,111,108,128,95,78,56,36,15,26,32,37,47,32
3,58,53,52,70,78,107,113,166,155,161,130,89,108,113,75,62,65,32,9,26,25,51,39,42
4,42,70,78,83,108,146,121,165,135,147,126,111,138,116,105,77,43,44,25,20,13,26,35,54
5,50,54,68,84,86,130,153,168,150,152,146,127,125,124,107,69,58,25,21,24,28,35,46,59
6,71,67,95,95,143,181,172,202,195,148,125,114,130,128,113,75,47,26,29,26,35,17,37,41
7,62,60,86,94,146,154,161,201,177,162,128,124,111,131,88,78,46,24,18,29,21,29,40,36
8,66,57,62,88,128,164,141,159,226,282,217,341,146,77,66,82,41,35,17,17,30,26,55,66
9,59,47,68,96,103,150,139,190,190,148,123,107,108,103,103,65,35,36,31,19,23,26,42,43
10,51,51,62,72,91,145,137,165,168,121,116,146,110,121,104,89,41,30,19,16,14,24,44,56
11,61,64,86,95,137,129,124,185,153,141,139,115,112,123,118,76,49,37,25,20,13,21,39,46
12,39,40,62,71,92,85,127,118,120,120,99,108,138,120,114,89,50,26,20,11,23,28,38,42
13,54,61,68,97,83,130,147,152,192,128,164,94,109,115,119,94,56,23,27,25,29,24,47,67
14,84,65,77,95,78,111,141,137,143,164,118,97,110,132,130,101,61,33,25,20,34,39,56,58
15,82,70,82,85,80,120,34,157,222,167,194,227,130,117,91,54,19,24,24,28,15,27,54,50
16,61,72,69,96,81,133,119,113,144,99,121,91,131,176,98,93,55,31,20,22,17,13,32,49
17,34,51,59,59,60,89,120,150,102,117,85,75,84,116,110,77,49,31,15,26,18,44,44,64
18,64,63,105,102,108,147,131,187,139,138,171,135,128,289,130,239,101,37,29,46,24,36,49,61
19,42,52,75,81,82,119,153,132,164,92,105,86,231,159,143,125,49,28,26,24,28,25,59,63
20,63,52,67,74,90,113,111,182,192,297,119,178,125,142,246,83,70,40,21,49,34,31,42,53
21,57,63,67,84,73,117,103,176,161,165,115,91,93,103,161,114,56,38,30,32,17,28,46,50
22,66,49,59,53,69,104,112,158,129,178,219,246,177,112,96,76,59,36,39,30,33,39,45,49
23,53,77,83,62,98,104,28,137,184,158,123,110,110,125,130,77,59,32,20,21,26,40,44,40
24,44,55,73,82,73,130,97,158,128,119,100,69,92,103,103,72,51,30,29,24,19,29,39,50
25,56,66,60,77,68,99,112,96,130,198,135,93,114,133,144,71,68,41,30,26,23,39,35,47
26,50,73,68,77,86,113,153,117,115,99,196,200,110,68,83,78,216,269,69,26,53,28,44,43
27,59,62,71,65,85,103,101,145,162,130,109,81,106,133,127,90,106,36,30,73,192,20,42,56
28,48,56,59,77,100,138,124,114,173,138,99,119,96,106,135,106,87,49,19,43,29,46,40,50
29,61,54,56,71,76,111,24,144,178,130,156,128,99,109,143,101,69,31,40,18,28,32,60,50
30,56,80,73,85,99,101,159,185,177,169,130,105,131,146,145,101,88,43,25,36,36,33,41,51
31,68,63,67,78,96,138,120,156,185,184,134,89,146,173,165,129,97,96,47,40,45,41,49,57
