May,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,42,29,47,38,47,59,67,57,73,67,49,39,36,35,29,31,37,56,23,26,20,21,26,28
2,35,33,33,46,45,67,57,55,65,53,65,44,48,40,42,35,27,17,21,31,26,22,40,37
3,28,31,26,41,73,52,59,86,75,63,83,57,43,34,35,40,18,14,16,16,18,20,17,18
4,23,30,25,38,50,53,82,63,55,62,44,53,47,30,23,36,13,16,11,8,23,17,20,19
5,28,31,24,39,61,64,81,67,50,63,55,38,26,31,34,37,23,27,15,23,14,21,28,33
6,24,47,33,47,63,71,71,70,65,67,64,64,53,47,27,35,30,12,13,20,19,17,31,32
7,32,34,45,52,71,79,75,66,57,58,48,43,51,35,39,27,20,14,23,14,24,18,17,31
8,31,34,32,53,67,78,73,81,75,52,73,54,39,21,24,25,16,16,19,17,20,24,23,27
9,32,29,29,54,59,82,67,92,71,56,69,54,36,28,29,22,19,14,20,20,21,31,22,44
10,41,36,48,58,65,66,86,74,72,74,48,53,44,33,41,42,21,21,15,26,15,23,28,31
11,39,35,44,42,50,60,37,85,63,50,51,46,43,42,25,20,28,27,12,19,15,21,22,18
12,30,30,40,44,58,74,70,71,65,59,48,39,47,43,47,27,23,18,9,11,22,20,21,28
13,30,38,24,40,62,46,60,76,62,66,52,39,49,33,19,18,27,18,20,12,12,13,20,16
14,33,34,42,61,49,55,57,78,63,57,38,35,40,47,49,23,19,13,15,12,10,20,22,24
15,31,33,38,41,57,46,73,52,53,71,44,37,35,41,29,22,19,11,25,46,149,179,159,182
16,84,62,77,54,155,111,52,41,32,33,40,31,30,29,19,23,27,13,16,21,9,26,33,39
17,37,25,44,37,49,60,49,52,47,46,36,44,38,40,27,37,31,13,10,12,22,18,20,26
18,23,15,29,29,44,47,58,40,54,32,30,40,29,29,36,24,40,29,14,26,15,25,34,29
19,29,33,32,30,43,57,35,43,41,52,44,29,30,25,46,79,30,30,22,15,14,19,26,21
20,30,33,26,27,41,32,40,54,44,40,39,40,36,29,35,33,25,14,14,18,20,14,11,19
21,30,27,31,20,39,66,41,41,52,43,35,32,33,39,51,26,26,24,13,16,12,14,24,37
22,25,24,31,32,49,60,51,61,60,52,35,30,39,32,21,31,40,26,14,27,16,21,28,34
23,31,36,30,45,40,58,53,76,60,42,49,40,37,26,41,53,32,23,21,21,21,23,23,24
24,31,28,23,26,30,54,56,71,47,34,47,40,29,37,35,23,24,19,20,23,18,17,15,28
25,22,39,31,52,52,53,44,50,58,38,44,38,30,38,38,31,30,35,20,20,21,23,27,32
26,27,37,37,37,37,47,53,65,60,47,21,28,38,24,39,25,25,21,23,25,17,23,21,26
27,43,27,29,38,52,52,71,50,43,43,43,29,50,26,38,30,29,27,43,26,22,24,20,26
28,22,35,31,35,42,44,48,67,57,44,44,24,26,31,35,38,25,21,19,10,18,23,31,35
29,26,33,23,36,39,64,53,74,56,45,47,32,27,16,28,36,25,16,24,20,14,21,34,41
30,34,28,29,31,57,45,62,61,46,48,52,33,29,25,33,26,34,31,24,29,37,15,15,16
31,20,23,25,22,43,47,38,62,44,42,38,31,39,34,32,25,19,18,15,9,12,26,45,52
