jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,19,31,25,20,25,33,33,40,39,31,42,43,49,45,48,66,65,54,52,31,26,35,34,22,""
02,21,14,10,0,0,0,0,0,0,0,0,0,0,0,77,93,109,88,71,66,58,21,48,57,""
03,63,0,77,61,55,45,61,47,80,59,46,65,65,64,63,79,79,78,57,29,43,21,13,18,""
04,20,18,35,49,40,41,33,58,69,55,62,45,63,49,82,81,83,80,65,57,54,45,41,40,""
05,35,27,30,44,34,63,71,75,87,79,58,55,57,62,53,66,76,77,52,51,46,34,23,38,""
06,40,42,30,36,44,38,43,63,49,33,28,40,55,42,83,107,97,78,63,42,50,41,37,46,""
07,37,32,40,41,37,60,50,33,43,44,50,60,42,59,62,65,53,81,58,36,34,26,27,57,""
08,58,37,40,92,78,39,80,50,86,43,38,33,43,31,64,96,85,65,67,33,25,36,33,31,""
09,34,34,22,54,54,29,87,82,65,66,47,73,70,64,35,47,56,71,58,39,22,33,25,64,""
10,36,73,53,57,61,84,67,74,66,46,57,69,32,38,47,42,49,46,35,42,15,8,16,20,""
11,26,21,48,48,49,87,98,115,108,117,105,102,96,102,84,69,61,55,42,39,33,55,35,27,""
12,30,47,47,58,49,45,88,103,64,76,89,83,109,75,54,58,60,41,39,31,41,23,32,29,""
13,29,27,40,31,33,41,46,59,31,41,42,49,44,39,50,55,62,42,26,32,28,20,23,20,""
14,31,49,53,66,64,59,84,100,84,75,100,92,68,65,47,60,69,63,56,26,25,34,37,54,""
15,50,50,72,49,59,54,69,74,74,65,57,54,35,36,40,42,29,42,35,23,17,35,31,28,""
16,44,44,31,46,39,65,58,49,81,67,49,55,42,51,50,47,58,58,51,58,43,27,39,44,""
17,34,39,39,39,36,57,69,42,61,41,41,42,29,44,71,66,65,65,61,37,31,38,26,36,""
18,42,35,37,59,40,43,40,53,41,41,43,35,43,39,29,57,53,64,57,39,26,25,18,43,""
19,47,51,49,54,42,40,29,45,43,39,32,32,41,31,44,36,42,40,48,43,29,40,45,52,""
20,33,43,55,50,50,43,41,44,72,73,56,46,61,53,41,57,83,68,52,25,31,25,18,20,""
21,14,27,31,46,55,54,74,80,47,57,31,42,51,28,30,42,37,33,23,19,17,11,8,14,""
22,16,25,15,32,42,82,84,62,57,38,103,116,88,71,96,88,89,59,46,52,53,43,39,29,""
23,30,40,54,52,52,48,77,89,35,35,24,21,19,28,21,16,22,61,42,29,17,24,27,38,""
24,47,45,35,27,39,43,29,46,48,43,35,46,42,32,53,49,33,38,52,40,43,25,17,14,""
25,18,16,18,20,23,33,17,46,41,32,40,46,45,54,59,44,72,85,80,68,33,28,19,24,""
26,17,17,15,15,14,22,57,65,108,108,93,86,75,78,77,77,100,86,59,31,54,33,42,59,""
27,69,58,64,57,52,66,152,147,153,151,155,192,131,116,111,119,125,88,89,47,44,37,37,34,""
28,27,20,38,37,41,52,76,87,96,99,105,123,117,102,111,97,106,78,85,72,46,49,29,39,""
29,29,28,53,44,49,58,61,69,80,90,87,89,97,84,66,57,47,57,41,36,32,58,53,33,""
30,39,34,29,32,35,37,54,68,78,65,61,64,68,61,37,52,55,52,25,33,21,33,21,25,""
31,21,28,29,42,35,41,43,67,63,64,41,62,42,40,39,47,49,45,33,27,20,30,23,-1,""
