sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,56,63,71,56,54,57,51,67,75,64,49,55,47,34,27,29,19,27,25,24,29,46,47,53,""
02,58,61,69,47,65,62,61,74,61,58,49,49,47,59,45,37,28,42,24,38,39,34,52,68,""
03,70,47,56,49,68,52,59,69,88,58,43,49,52,35,44,37,22,33,30,28,32,33,47,59,""
04,63,61,69,61,64,72,43,61,49,37,39,32,39,24,26,26,28,34,46,34,52,33,53,76,""
05,69,60,63,55,59,66,88,53,49,27,29,29,35,37,26,27,27,22,23,26,43,57,59,56,""
06,65,79,70,81,72,68,76,78,46,29,36,36,39,51,58,59,28,39,20,28,43,50,49,54,""
07,69,60,55,61,64,62,61,65,79,73,59,59,68,71,50,43,17,17,14,24,23,31,40,56,""
08,50,62,56,57,51,66,67,64,60,79,53,61,40,42,37,28,20,15,14,11,32,47,34,37,""
09,43,45,49,53,49,54,57,70,68,69,67,66,52,-1,-1,-1,29,21,27,27,28,37,37,54,""
10,48,58,52,49,33,43,56,57,70,53,50,52,44,45,45,25,21,13,18,20,34,32,43,32,""
11,53,60,80,66,43,54,63,59,81,50,60,46,60,56,45,22,22,17,19,25,29,32,43,44,""
12,53,62,41,39,52,55,36,14,24,25,35,30,30,31,37,19,33,17,17,29,31,38,34,27,""
13,40,43,68,68,63,64,69,71,42,32,33,43,45,50,49,60,33,18,15,26,29,35,37,47,""
14,43,40,75,49,26,25,35,61,49,69,44,38,43,46,44,43,14,20,24,25,31,29,47,38,""
15,40,51,50,47,42,32,44,47,55,53,46,48,42,45,45,45,17,22,27,36,32,36,37,50,""
16,70,60,56,63,58,45,61,54,53,67,42,45,57,40,35,30,27,26,32,19,28,52,30,38,""
17,49,34,33,43,41,48,39,50,38,31,37,37,30,35,29,24,11,19,29,22,25,18,35,34,""
18,46,38,47,45,44,50,54,49,61,54,37,47,52,48,43,34,32,22,17,33,25,27,32,37,""
19,54,59,57,56,54,43,82,64,44,53,45,36,31,35,26,30,23,23,31,21,28,40,49,49,""
20,67,78,69,68,71,46,57,49,63,45,38,28,38,28,48,39,30,29,22,23,44,54,34,58,""
21,64,67,79,60,64,74,62,73,70,62,59,53,49,45,38,33,35,24,23,27,38,49,37,60,""
22,51,37,56,50,49,49,69,60,56,54,57,62,41,43,40,43,24,30,29,20,28,49,39,42,""
23,53,62,69,64,55,51,66,75,63,69,68,55,47,53,36,37,25,23,26,21,41,41,43,41,""
24,62,59,63,65,61,72,62,69,74,64,66,50,59,35,33,24,15,12,26,26,33,44,52,64,""
25,59,60,62,69,52,49,67,97,80,58,69,61,60,45,21,15,10,10,14,18,29,29,37,25,""
26,48,53,66,78,56,64,72,94,72,61,19,20,52,36,22,23,13,7,17,19,34,35,51,59,""
27,68,59,67,72,70,74,84,79,49,24,31,36,40,51,44,40,21,20,19,25,29,26,45,53,""
28,66,60,58,67,66,63,88,88,83,72,77,77,55,61,38,34,22,14,15,24,40,32,23,34,""
29,51,63,67,80,58,44,48,57,44,66,69,66,78,65,51,41,23,23,18,28,30,34,35,78,""
30,64,70,70,59,69,55,72,60,58,67,42,65,59,58,33,18,13,18,19,13,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
