Dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,80,-1,19,11,9,7,12,8,14,16,26,11,21,26,23,22,17,12,19,15,18,9,9,17
2,22,25,16,19,21,20,23,30,28,21,32,23,19,28,26,19,25,12,22,5,7,6,5,12
3,20,27,13,23,19,21,17,20,30,28,18,26,23,25,22,22,31,22,19,12,10,11,8,-1,-1
4,-1,31,17,16,26,21,25,28,36,32,21,15,32,19,18,18,19,18,13,8,9,8,6,13
5,2,17,15,23,26,18,22,26,13,27,28,24,26,33,19,17,13,15,17,21,17,13,7,7
6,13,27,19,17,21,13,13,15,20,27,21,24,22,26,24,18,17,18,15,17,14,11,8,9
7,12,15,19,19,16,20,18,25,23,27,29,29,25,26,21,23,14,18,19,13,14,12,9,9
8,13,16,14,16,20,10,21,16,19,18,17,13,28,22,18,19,17,15,18,11,14,8,14,11
9,16,29,19,18,20,20,20,28,21,21,40,45,35,34,31,24,20,20,11,7,7,8,8,11
10,17,22,27,29,21,23,24,28,29,22,37,21,30,40,32,19,31,17,17,16,17,15,14,21
11,20,18,16,15,22,14,20,18,25,18,25,31,23,23,14,13,23,25,14,7,10,11,12,10
12,25,35,24,30,43,22,17,21,34,34,40,47,42,34,23,12,25,9,18,13,11,10,8,17
13,31,35,47,50,41,26,19,42,44,56,66,78,66,39,35,16,19,13,12,8,10,9,6,21
14,34,61,69,63,55,30,22,35,47,54,59,72,64,56,33,11,10,7,11,9,11,9,6,9
15,15,14,16,13,23,9,14,11,18,15,20,14,27,16,20,24,18,12,20,17,14,6,7,9
16,13,13,7,10,12,7,16,22,17,23,21,21,28,25,23,17,13,17,8,13,11,9,11,9
17,4,9,21,9,14,12,13,23,17,23,22,23,26,37,41,21,23,23,18,11,10,11,10,7
18,10,11,22,14,18,19,19,37,18,19,18,27,24,30,31,39,32,22,14,23,9,8,7,13
19,12,23,13,20,21,12,10,13,29,28,25,24,29,22,-1,-1,-1,-1,-1,8,9,7,8,11
20,13,19,18,18,15,8,12,19,19,24,23,15,15,22,14,13,7,12,18,9,6,1,5,-1,-1
21,18,16,6,20,28,10,23,25,17,14,23,16,24,28,12,21,16,22,9,4,12,8,3,12
22,19,15,17,8,21,5,10,15,13,18,17,8,10,13,15,18,14,14,13,16,20,8,13,14
23,-1,14,11,12,15,13,12,9,10,21,16,17,13,12,12,20,15,8,5,12,10,8,7,10
24,6,9,11,15,12,14,18,20,19,20,24,24,16,26,27,20,18,24,20,16,19,16,12,7
25,7,8,11,13,15,20,26,21,20,25,23,20,17,19,23,24,24,23,10,12,11,8,11,13
26,10,12,14,15,12,17,14,15,20,22,18,23,15,22,22,26,18,24,17,20,19,13,6,9
27,14,8,10,11,14,13,17,14,16,21,17,24,32,33,26,28,28,23,18,12,7,9,12,13
28,25,25,10,7,16,11,11,18,14,28,25,14,16,25,26,19,19,18,17,15,16,15,14,12
29,7,12,10,6,6,18,13,18,17,17,21,12,26,25,28,31,28,25,16,14,8,8,7,3
30,8,26,13,10,6,13,18,18,13,19,18,26,23,26,27,33,36,24,20,11,8,5,2,8
31,6,14,14,21,17,25,20,16,18,22,17,17,15,14,15,16,18,17,-1,-1,-1,-1,-1,-1,-1
