Dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,8,5,7,10,7,13,29,19,9,15,27,14,23,21,22,6,23,29,8,8,12,6,11,13
2,8,5,8,11,14,20,22,23,18,23,28,32,46,33,65,20,21,20,32,17,10,8,12,5
3,7,10,13,22,13,20,15,11,17,32,33,20,23,26,28,37,23,12,20,21,7,10,5,15
4,11,8,15,20,17,15,16,25,31,22,57,18,31,34,37,25,21,12,12,16,15,8,7,7
5,7,7,24,16,14,22,9,25,21,25,30,40,28,33,32,31,27,28,18,13,10,11,6,7
6,11,11,11,16,15,16,28,25,30,34,23,35,46,34,29,53,21,21,40,15,4,16,7,13
7,11,5,19,19,18,29,29,18,20,40,29,48,29,41,24,30,24,12,14,14,6,3,7,4
8,6,10,15,15,21,23,28,37,36,26,24,34,33,39,37,30,18,36,24,12,14,10,12,10
9,11,14,23,18,20,21,26,28,22,29,33,43,39,42,44,34,26,15,18,13,9,8,7,8
10,7,13,17,17,19,32,22,10,7,17,29,38,33,35,39,28,47,24,22,17,18,16,6,5
11,6,12,32,30,38,28,21,14,18,20,37,44,50,60,44,38,33,22,34,13,19,11,12,9
12,11,11,32,38,43,35,38,22,26,17,28,74,60,63,80,60,25,19,17,9,11,9,7,6
13,13,18,52,65,88,82,48,24,27,24,38,65,96,127,104,87,41,29,20,9,5,20,10,8
14,13,30,91,80,95,105,78,28,24,68,30,78,122,120,136,96,56,24,18,10,8,15,5,5
15,7,18,37,22,32,38,55,33,31,42,33,34,48,59,60,25,26,52,15,6,15,8,6,5
16,10,25,25,13,22,26,23,23,15,26,28,36,18,52,37,31,26,22,25,11,10,9,8,6
17,7,12,23,14,14,17,11,14,25,40,44,31,17,27,28,36,15,14,6,10,8,9,8,5
18,9,10,11,17,6,19,14,16,38,22,29,43,26,28,28,27,17,29,18,11,20,8,19,-1,-1
19,6,2,17,18,14,10,12,25,22,40,36,24,37,41,23,22,28,14,18,8,14,2,8,8
20,3,7,12,10,10,9,16,14,21,25,16,17,21,19,32,28,34,31,31,21,11,16,8,6
21,5,5,16,8,12,19,13,20,12,22,24,28,24,35,35,49,30,13,9,18,6,15,3,3
22,5,9,9,4,12,15,14,22,30,24,28,26,21,26,39,37,30,30,29,42,62,43,23,24
23,23,20,17,20,12,13,17,21,21,19,18,23,14,24,18,22,26,5,18,13,14,14,3,9
24,5,7,9,10,9,16,11,24,26,27,30,18,46,19,41,54,25,20,19,7,2,2,5,2
25,4,2,12,6,11,12,18,28,22,12,19,29,16,34,22,21,17,20,25,10,20,20,11,12
26,11,8,2,6,11,11,8,14,14,14,14,9,15,23,29,27,17,21,12,3,3,6,9,4
27,6,9,7,8,12,10,11,18,19,30,25,26,24,24,29,24,21,11,9,22,6,5,3,10
28,7,6,8,15,10,15,15,8,20,18,14,17,17,21,37,24,28,24,29,9,14,8,12,6
29,3,5,5,10,16,7,16,21,15,8,9,14,14,18,28,31,18,36,25,14,6,13,7,3
30,6,9,16,13,12,16,20,19,29,19,19,30,24,20,38,30,30,14,23,26,15,16,5,6
31,5,4,9,12,15,10,17,14,25,30,25,18,15,25,34,32,26,31,20,16,16,12,5,8
