Dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,99,115,150,145,193,147,185,170,205,171,172,92,119,87,94,101,55,66,77,85,113,125,105,169
2,132,87,135,129,138,147,156,168,194,158,150,118,109,90,117,96,88,69,173,76,89,108,155,117
3,129,142,143,193,223,237,207,170,261,182,210,148,130,99,114,100,88,53,62,59,97,114,139,123
4,167,147,172,180,234,241,197,174,189,240,189,176,116,97,77,112,68,21,39,79,85,120,114,118
5,99,113,150,233,216,243,207,207,234,200,146,122,130,108,95,80,93,72,42,23,57,115,106,112
6,68,145,93,144,118,95,136,158,142,96,138,125,86,81,104,78,61,59,66,37,86,84,98,108
7,144,125,140,180,173,171,205,171,163,180,206,145,103,129,130,97,72,86,73,87,117,96,117,155
8,158,134,123,208,232,234,194,175,146,140,131,99,128,151,102,107,66,39,73,89,96,111,147,158
9,115,108,103,170,198,232,257,141,188,297,132,244,84,105,265,56,68,46,49,80,129,110,144,165
10,150,149,138,181,273,278,257,226,272,158,120,114,88,120,98,76,97,61,65,93,108,150,180,158
11,177,106,133,183,223,275,220,218,260,191,153,117,122,81,88,77,84,64,81,100,140,223,272,319
12,253,188,178,280,375,460,401,346,347,276,186,155,91,139,103,94,82,75,83,153,266,294,360,429
13,389,164,184,264,518,460,486,404,483,363,246,146,99,106,97,78,96,118,107,204,333,413,508,532
14,429,215,196,296,444,564,507,504,391,308,207,97,86,97,80,80,55,95,142,151,275,218,290,215
15,185,123,117,194,237,218,184,247,192,202,149,102,68,84,73,71,52,57,48,59,78,125,125,74
16,104,110,117,121,166,164,176,133,162,143,133,107,67,73,72,53,64,53,33,64,66,74,74,80
17,104,102,105,140,185,157,142,109,186,208,99,110,86,81,62,58,40,45,37,34,49,68,88,69
18,88,104,149,136,148,161,190,128,180,153,115,104,98,83,75,83,56,69,48,40,74,71,84,76
19,77,96,130,155,146,159,102,67,163,135,114,107,104,74,75,78,67,47,38,40,55,65,74,90
20,77,128,389,261,226,299,167,126,189,133,133,109,107,121,67,76,44,62,46,36,59,79,91,81
21,94,127,157,141,170,137,141,167,121,123,111,104,108,95,74,71,68,70,51,71,58,76,57,61
22,85,100,90,141,139,149,137,99,90,100,93,94,90,122,84,80,81,73,91,169,286,116,89,88
23,79,84,117,145,130,156,171,130,120,141,92,107,99,83,80,66,63,49,26,41,70,61,69,69
24,67,104,122,154,174,142,169,128,116,111,86,101,117,115,70,80,50,45,34,49,59,84,78,80
25,85,86,70,117,146,146,123,146,143,70,104,64,90,128,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,146,98,78,122,82,95,77,69,55,41,45,31,64,55,67,59
27,62,76,108,139,137,121,159,140,151,103,84,108,98,133,61,58,37,45,39,37,49,70,88,41
28,49,93,126,159,161,190,144,153,135,77,79,75,100,81,77,76,48,34,23,35,41,40,34,28
29,54,93,123,149,171,169,162,99,86,83,58,71,70,53,18,41,24,29,34,30,56,63,38,38
30,69,72,101,143,154,160,170,138,137,129,86,103,101,101,77,39,63,42,30,22,25,23,38,39
31,40,52,59,170,153,154,134,136,150,90,43,89,77,82,61,65,53,36,38,29,25,24,55,39
