apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,26,18,-1,7,55,69,84,97,132,164,199,167,170,165,184,188,144,97,94,80,77,61,49,24,""
02,16,18,17,34,47,76,75,93,155,201,205,172,165,188,168,148,131,73,79,74,75,59,35,29,""
03,17,13,16,35,70,85,106,128,157,183,187,154,140,145,193,143,133,111,93,86,82,59,32,29,""
04,21,13,13,26,47,64,77,95,119,156,180,179,185,185,198,195,158,106,77,81,72,77,40,17,""
05,24,12,15,25,70,106,126,118,156,195,192,185,148,146,137,180,144,106,93,73,97,57,41,15,""
06,13,13,-1,-1,66,73,79,105,136,186,186,176,178,158,191,155,152,108,84,89,60,57,32,23,""
07,17,8,18,44,52,84,97,137,128,164,232,205,173,155,177,180,145,121,104,100,69,66,46,24,""
08,19,18,29,29,63,72,99,102,128,186,154,149,169,195,192,181,162,147,136,113,80,54,61,26,""
09,11,14,14,31,45,68,92,112,151,187,203,180,169,184,192,183,149,107,103,92,71,60,42,27,""
10,22,52,118,7,63,64,79,125,137,165,167,124,183,163,151,138,150,110,93,86,74,64,49,35,""
11,19,10,12,38,73,67,105,102,163,172,174,226,202,177,195,175,125,85,104,75,73,64,57,30,""
12,15,13,10,27,49,89,120,131,193,202,213,222,207,198,179,188,184,103,80,99,104,93,66,36,""
13,17,22,23,26,71,103,141,149,171,232,260,244,214,259,204,210,176,139,111,110,131,66,38,1,""
14,17,12,51,28,63,75,92,119,148,240,230,217,227,216,240,246,159,106,109,116,194,142,62,37,""
15,14,8,17,24,36,71,67,88,111,147,175,126,131,136,198,247,221,142,139,124,95,87,56,35,""
16,34,31,24,31,76,73,97,122,164,216,197,228,222,214,256,222,200,144,128,109,98,80,56,19,""
17,30,11,16,20,55,70,110,128,164,250,215,212,210,229,212,219,159,132,114,97,87,61,48,29,""
18,20,25,25,61,71,90,145,179,178,239,258,230,210,236,276,205,188,117,117,133,98,81,58,33,""
19,22,25,38,37,78,116,123,149,190,237,237,247,235,288,302,271,227,143,133,130,117,113,66,37,""
20,27,19,33,50,64,100,142,141,226,243,241,244,276,246,274,263,199,122,123,142,113,104,54,31,""
21,29,26,26,38,65,102,132,164,197,235,239,209,225,266,305,249,202,160,128,127,100,74,37,24,""
22,17,20,22,20,54,82,151,224,277,326,341,284,329,374,335,271,198,118,90,87,88,61,39,25,""
23,21,11,19,34,58,76,123,185,221,264,276,220,239,254,326,240,207,141,127,134,104,99,76,48,""
24,27,11,14,34,51,78,125,176,200,197,195,228,190,207,194,239,173,131,138,107,73,79,55,31,""
25,27,18,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
