apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,72,92,86,97,79,68,68,80,79,73,70,72,77,69,50,38,37,24,21,29,39,49,54,58,""
02,100,106,90,84,61,71,67,67,85,76,70,79,67,57,55,33,25,31,27,23,52,56,57,87,""
03,88,91,87,83,78,78,78,85,66,108,93,80,59,57,44,39,28,8,21,34,38,45,66,71,""
04,94,101,85,113,79,79,83,74,71,88,80,80,68,47,39,51,29,29,28,31,40,67,66,78,""
05,100,96,112,85,80,82,74,76,81,92,91,68,77,57,50,48,33,29,27,24,40,49,68,80,""
06,102,111,106,114,85,68,81,79,83,70,87,71,76,56,48,44,39,29,26,28,42,47,63,75,""
07,74,93,81,90,74,82,96,91,82,67,84,77,90,69,54,47,27,25,29,22,38,45,72,78,""
08,110,95,96,91,89,75,88,85,90,78,74,82,81,57,55,46,32,31,20,27,32,48,65,90,""
09,85,104,94,107,86,84,85,99,82,103,93,77,66,66,71,47,35,22,26,28,36,53,66,80,""
10,82,92,110,103,66,85,83,91,79,72,82,77,61,59,51,46,33,31,17,23,35,42,76,79,""
11,87,95,109,80,71,79,70,89,95,82,79,74,84,70,58,33,35,30,20,26,41,55,82,76,""
12,88,111,112,106,79,93,85,97,108,91,77,71,75,61,42,43,28,19,20,41,44,37,61,73,""
13,100,113,106,92,79,82,98,79,75,86,62,92,63,63,66,44,30,26,24,25,33,53,56,83,""
14,109,93,113,84,78,72,69,66,64,84,87,94,69,59,54,41,32,23,33,33,33,43,58,69,""
15,82,93,96,105,74,85,95,69,94,79,86,82,80,66,47,36,30,19,16,34,33,45,67,91,""
16,81,108,92,98,84,93,91,76,89,76,82,83,81,68,43,35,21,28,23,17,43,48,50,77,""
17,97,106,120,81,71,78,74,74,95,70,88,87,79,68,55,41,30,17,31,35,28,51,63,88,""
18,96,105,88,103,71,97,88,82,91,83,72,67,70,62,46,50,35,29,17,29,33,53,67,75,""
19,96,77,104,86,68,85,86,80,77,79,89,75,73,58,55,33,27,41,26,35,28,49,57,69,""
20,98,91,105,77,79,71,98,76,91,91,80,91,73,70,46,27,31,37,32,34,35,48,78,96,""
21,78,101,113,94,74,101,82,100,83,98,90,79,85,73,60,39,40,23,31,38,43,59,82,75,""
22,119,113,98,121,98,85,99,99,89,94,81,79,77,66,47,41,30,34,33,28,41,53,62,100,""
23,93,107,108,104,118,87,110,111,108,83,81,81,66,65,46,40,29,27,32,26,40,65,73,63,""
24,87,80,92,97,96,95,104,116,99,82,94,87,78,73,43,44,48,30,41,41,52,54,61,71,""
25,95,89,76,88,89,105,109,115,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,49,123,107,104,72,71,69,42,40,24,27,31,40,57,50,80,""
28,105,102,98,95,86,112,77,102,91,98,97,86,73,58,55,48,40,34,33,40,39,63,64,61,""
29,103,101,101,107,87,112,100,105,117,93,88,83,88,108,55,45,36,32,28,37,39,38,62,104,""
30,76,104,105,90,74,94,90,118,98,93,111,85,76,77,53,41,21,28,24,37,45,59,75,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
